node_id,node_type,grid_position,description,space_type,space_id,space_name,room_id,room_name
A2,navigation,A2,green navigation-grid node,room,R01,Reception & Waiting,R01,Reception & Waiting
A3,navigation,A3,green navigation-grid node,room,R01,Reception & Waiting,R01,Reception & Waiting
A4,navigation,A4,green navigation-grid node,room,R01,Reception & Waiting,R01,Reception & Waiting
A6,navigation,A6,green navigation-grid node,room,R06,West Open Office,R06,West Open Office
A7,navigation,A7,green navigation-grid node,room,R06,West Open Office,R06,West Open Office
A8,navigation,A8,green navigation-grid node,room,R06,West Open Office,R06,West Open Office
A10,navigation,A10,green navigation-grid node,room,R08,Training Room,R08,Training Room
A11,navigation,A11,green navigation-grid node,room,R08,Training Room,R08,Training Room
A12,navigation,A12,green navigation-grid node,room,R08,Training Room,R08,Training Room
B2,navigation,B2,green navigation-grid node,room,R01,Reception & Waiting,R01,Reception & Waiting
B4,navigation,B4,green navigation-grid node,room,R01,Reception & Waiting,R01,Reception & Waiting
B6,navigation,B6,green navigation-grid node,room,R06,West Open Office,R06,West Open Office
B8,navigation,B8,green navigation-grid node,room,R06,West Open Office,R06,West Open Office
B10,navigation,B10,green navigation-grid node,room,R08,Training Room,R08,Training Room
B12,navigation,B12,green navigation-grid node,room,R08,Training Room,R08,Training Room
C2,navigation,C2,green navigation-grid node,room,R01,Reception & Waiting,R01,Reception & Waiting
C3,navigation,C3,green navigation-grid node,room,R01,Reception & Waiting,R01,Reception & Waiting
C4,navigation,C4,green navigation-grid node,room,R01,Reception & Waiting,R01,Reception & Waiting
C6,navigation,C6,green navigation-grid node,room,R06,West Open Office,R06,West Open Office
C7,navigation,C7,green navigation-grid node,room,R06,West Open Office,R06,West Open Office
C8,navigation,C8,green navigation-grid node,room,R06,West Open Office,R06,West Open Office
C10,navigation,C10,green navigation-grid node,room,R08,Training Room,R08,Training Room
C11,navigation,C11,green navigation-grid node,room,R08,Training Room,R08,Training Room
C12,navigation,C12,green navigation-grid node,room,R08,Training Room,R08,Training Room
E3,navigation,E3,green navigation-grid node,room,R02,IT / Server Room,R02,IT / Server Room
E4,navigation,E4,green navigation-grid node,hallway,H01,Central Hallway System,,
E5,navigation,E5,green navigation-grid node,hallway,H01,Central Hallway System,,
E6,navigation,E6,green navigation-grid node,hallway,H01,Central Hallway System,,
E7,navigation,E7,green navigation-grid node,hallway,H01,Central Hallway System,,
E8,navigation,E8,green navigation-grid node,hallway,H01,Central Hallway System,,
E9,navigation,E9,green navigation-grid node,hallway,H01,Central Hallway System,,
E10,navigation,E10,green navigation-grid node,hallway,H01,Central Hallway System,,
E11,navigation,E11,green navigation-grid node,hallway,H01,Central Hallway System,,
E12,navigation,E12,green navigation-grid node,hallway,H01,Central Hallway System,,
F9,navigation,F9,green navigation-grid node,hallway,H01,Central Hallway System,,
F10,navigation,F10,green navigation-grid node,hallway,H01,Central Hallway System,,
G2,navigation,G2,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
G3,navigation,G3,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
G4,navigation,G4,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
G5,navigation,G5,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
G6,navigation,G6,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
G7,navigation,G7,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
G8,navigation,G8,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
G9,navigation,G9,green navigation-grid node,hallway,H01,Central Hallway System,,
G10,navigation,G10,green navigation-grid node,hallway,H01,Central Hallway System,,
G11,navigation,G11,green navigation-grid node,room,R09,Conference Room A,R09,Conference Room A
G12,navigation,G12,green navigation-grid node,room,R09,Conference Room A,R09,Conference Room A
H2,navigation,H2,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
H3,navigation,H3,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
H4,navigation,H4,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
H5,navigation,H5,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
H6,navigation,H6,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
H7,navigation,H7,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
H8,navigation,H8,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
H9,navigation,H9,green navigation-grid node,hallway,H01,Central Hallway System,,
H10,navigation,H10,green navigation-grid node,hallway,H01,Central Hallway System,,
H11,navigation,H11,green navigation-grid node,room,R09,Conference Room A,R09,Conference Room A
I2,navigation,I2,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
I3,navigation,I3,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
I4,navigation,I4,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
I6,navigation,I6,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
I7,navigation,I7,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
I8,navigation,I8,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
I9,navigation,I9,green navigation-grid node,hallway,H01,Central Hallway System,,
I10,navigation,I10,green navigation-grid node,hallway,H01,Central Hallway System,,
I11,navigation,I11,green navigation-grid node,room,R09,Conference Room A,R09,Conference Room A
I12,navigation,I12,green navigation-grid node,room,R09,Conference Room A,R09,Conference Room A
J2,navigation,J2,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
J3,navigation,J3,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
J4,navigation,J4,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
J5,navigation,J5,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
J6,navigation,J6,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
J7,navigation,J7,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
J8,navigation,J8,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
J9,navigation,J9,green navigation-grid node,hallway,H01,Central Hallway System,,
J10,navigation,J10,green navigation-grid node,hallway,H01,Central Hallway System,,
K2,navigation,K2,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
K3,navigation,K3,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
K4,navigation,K4,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
K5,navigation,K5,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
K6,navigation,K6,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
K7,navigation,K7,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
K8,navigation,K8,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
K9,navigation,K9,green navigation-grid node,hallway,H01,Central Hallway System,,
K10,navigation,K10,green navigation-grid node,hallway,H01,Central Hallway System,,
K11,navigation,K11,green navigation-grid node,room,R10,Human Resources,R10,Human Resources
L2,navigation,L2,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
L3,navigation,L3,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
L4,navigation,L4,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
L5,navigation,L5,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
L6,navigation,L6,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
L7,navigation,L7,green navigation-grid node,room,R03,Central Open Office,R03,Central Open Office
