node_id,node_type,grid_position,capacity_units,effective_capacity_people,occupants_using_node,rooms_using_node,utilization_ratio,utilization_percent,is_congested
E10,navigation,E10,1.0,10.0,26,4,2.6,260.0,True
E6,navigation,E6,1.0,10.0,20,3,2.0,200.0,True
E8,navigation,E8,1.0,10.0,20,3,2.0,200.0,True
N2,navigation,N2,1.0,10.0,20,3,2.0,200.0,True
C10,navigation,C10,1.0,10.0,14,1,1.4,140.0,True
DOOR_04,door,D10,1.0,10.0,14,1,1.4,140.0,True
E11,navigation,E11,2.0,20.0,26,4,1.3,130.0,True
E12,navigation,E12,2.0,20.0,26,4,1.3,130.0,True
C6,navigation,C6,1.0,10.0,12,1,1.2,120.0,True
G8,navigation,G8,1.0,10.0,12,1,1.2,120.0,True
N4,navigation,N4,1.0,10.0,12,2,1.2,120.0,True
DOOR_03,door,D6,1.0,10.0,12,1,1.2,120.0,True
DOOR_05,door,F8,1.0,10.0,12,1,1.2,120.0,True
N8,navigation,N8,1.0,10.0,11,1,1.1,110.00000000000001,True
P8,navigation,P8,1.0,10.0,11,1,1.1,110.00000000000001,True
DOOR_09,door,O8,1.0,10.0,11,1,1.1,110.00000000000001,True
E7,navigation,E7,2.0,20.0,20,3,1.0,100.0,False
M10,navigation,M10,1.0,10.0,10,2,1.0,100.0,False
N10,navigation,N10,1.0,10.0,10,2,1.0,100.0,False
P10,navigation,P10,1.0,10.0,10,2,1.0,100.0,False
DOOR_10,door,O10,1.0,10.0,10,2,1.0,100.0,False
K10,navigation,K10,1.0,10.0,9,2,0.9,90.0,False
EXIT_A,exit,E13,3.0,30.0,26,4,0.8666666666666667,86.66666666666667,False
E4,navigation,E4,1.0,10.0,8,2,0.8,80.0,False
J2,navigation,J2,3.0,30.0,24,1,0.8,80.0,False
J3,navigation,J3,3.0,30.0,24,1,0.8,80.0,False
J4,navigation,J4,3.0,30.0,24,1,0.8,80.0,False
J5,navigation,J5,3.0,30.0,24,1,0.8,80.0,False
P2,navigation,P2,1.0,10.0,8,1,0.8,80.0,False
DOOR_07,door,O2,1.0,10.0,8,1,0.8,80.0,False
EXIT_D,exit,J1,3.0,30.0,24,1,0.8,80.0,False
EXIT_E,exit,N1,3.0,30.0,20,3,0.6666666666666666,66.66666666666666,False
C4,navigation,C4,1.0,10.0,6,1,0.6,60.0,False
N3,navigation,N3,2.0,20.0,12,2,0.6,60.0,False
Q12,navigation,Q12,3.0,30.0,18,3,0.6,60.0,False
