route_id,E001:A2--B2,E002:A2--A3,E003:A3--A4,E004:A4--B4,E005:A6--B6,E006:A6--A7,E007:A7--A8,E008:A8--B8,E009:A10--B10,E010:A10--A11,E011:A11--A12,E012:A12--B12,E013:B2--C2,E014:B4--C4,E015:B6--C6,E016:B8--C8,E017:B10--C10,E018:B12--C12,E019:C2--C3,E020:C3--C4,E021:C6--C7,E022:C7--C8,E023:C10--C11,E024:C11--C12,E025:E4--E5,E026:E5--E6,E027:E6--E7,E028:E7--E8,E029:E8--E9,E030:E9--F9,E031:E9--E10,E032:E10--F10,E033:E10--E11,E034:E11--E12,E035:F9--G9,E036:F9--F10,E037:F10--G10,E038:G2--H2,E039:G2--G3,E040:G3--H3,E041:G3--G4,E042:G4--H4,E043:G4--G5,E044:G5--H5,E045:G5--G6,E046:G6--H6,E047:G6--G7,E048:G7--H7,E049:G7--G8,E050:G8--H8,E051:G9--H9,E052:G9--G10,E053:G10--H10,E054:G11--H11,E055:G11--G12,E056:H2--I2,E057:H2--H3,E058:H3--I3,E059:H3--H4,E060:H4--I4,E061:H4--H5,E062:H5--H6,E063:H6--I6,E064:H6--H7,E065:H7--I7,E066:H7--H8,E067:H8--I8,E068:H9--I9,E069:H9--H10,E070:H10--I10,E071:H11--I11,E072:I2--J2,E073:I2--I3,E074:I3--J3,E075:I3--I4,E076:I4--J4,E077:I6--J6,E078:I6--I7,E079:I7--J7,E080:I7--I8,E081:I8--J8,E082:I9--J9,E083:I9--I10,E084:I10--J10,E085:I11--I12,E086:J2--K2,E087:J2--J3,E088:J3--K3,E089:J3--J4,E090:J4--K4,E091:J4--J5,E092:J5--K5,E093:J5--J6,E094:J6--K6,E095:J6--J7,E096:J7--K7,E097:J7--J8,E098:J8--K8,E099:J9--K9,E100:J9--J10,E101:J10--K10,E102:K2--L2,E103:K2--K3,E104:K3--L3,E105:K3--K4,E106:K4--L4,E107:K4--K5,E108:K5--L5,E109:K5--K6,E110:K6--L6,E111:K6--K7,E112:K7--L7,E113:K7--K8,E114:K8--L8,E115:K9--L9,E116:K9--K10,E117:K10--L10,E118:K11--L11,E119:L2--L3,E120:L3--L4,E121:L4--L5,E122:L5--L6,E123:L6--L7,E124:L7--L8,E125:L9--M9,E126:L9--L10,E127:L10--M10,E128:L11--L12,E129:M9--N9,E130:M9--M10,E131:M10--N10,E132:M11--N11,E133:M11--M12,E134:N2--N3,E135:N3--N4,E136:N4--N5,E137:N5--N6,E138:N6--N7,E139:N7--N8,E140:N8--N9,E141:N9--N10,E142:P2--Q2,E143:P2--P3,E144:P6--Q6,E145:P6--P7,E146:P7--P8,E147:P8--Q8,E148:P10--Q10,E149:P10--P11,E150:P11--P12,E151:P12--Q12,E152:Q2--R2,E153:Q4--R4,E154:Q6--R6,E155:Q8--R8,E156:Q10--R10,E157:Q12--R12,E158:R2--S2,E159:R2--R3,E160:R3--S3,E161:R3--R4,E162:R4--S4,E163:R6--S6,E164:R6--R7,E165:R7--S7,E166:R7--R8,E167:R8--S8,E168:R10--S10,E169:R10--R11,E170:R11--S11,E171:R11--R12,E172:R12--S12,E173:S2--S3,E174:S3--S4,E175:S6--S7,E176:S7--S8,E177:S10--S11,E178:S11--S12,E179:START_R01--C3,E180:START_R01--A3,E181:START_R01--B4,E182:START_R01--B2,E183:START_R02--E3,E184:START_R03--J5,E185:START_R03--H5,E186:START_R03--I6,E187:START_R03--I4,E188:START_R04--R3,E189:START_R04--P3,E190:START_R04--Q4,E191:START_R04--Q2,E192:START_R06--C7,E193:START_R06--A7,E194:START_R06--B8,E195:START_R06--B6,E196:START_R07--R7,E197:START_R07--P7,E198:START_R07--Q8,E199:START_R07--Q6,E200:START_R08--C11,E201:START_R08--A11,E202:START_R08--B12,E203:START_R08--B10,E204:START_R09--I12,E205:START_R09--G12,E206:START_R09--H11,E207:START_R10--L12,E208:START_R10--K11,E209:START_R11--M12,E210:START_R11--N11,E211:START_R12--P11,E212:START_R12--Q10,E213:START_R05--DOOR_08,E214:E3--DOOR_01,E215:DOOR_01--E4,E216:C4--DOOR_02,E217:DOOR_02--E4,E218:C6--DOOR_03,E219:DOOR_03--E6,E220:C10--DOOR_04,E221:DOOR_04--E10,E222:G8--DOOR_05,E223:DOOR_05--E8,E224:L2--DOOR_06,E225:DOOR_06--N2,E226:P2--DOOR_07,E227:DOOR_07--N2,E228:DOOR_08--N4,E229:P8--DOOR_09,E230:DOOR_09--N8,E231:P10--DOOR_10,E232:DOOR_10--N10,E233:G11--DOOR_11,E234:DOOR_11--G10,E235:K11--DOOR_12,E236:DOOR_12--K10,E237:M11--DOOR_13,E238:DOOR_13--M10,E239:E12--EXIT_A,E240:Q12--EXIT_B,E241:G2--EXIT_C,E242:J2--EXIT_D,E243:N2--EXIT_E,E244:START_R12--Q12,E245:START_R12--R11
R01__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,6,0,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
R01__EXIT_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,6,0,0,0,6,0
R01__EXIT_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
R01__EXIT_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,6,6,0,6,0,6,0,6,0,6,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
R01__EXIT_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,6,6,0,6,0,6,0,6,0,6,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
R02__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
R02__EXIT_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,2,0
R02__EXIT_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
R02__EXIT_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
R02__EXIT_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
