solver,assignment_penalty,penalty_source,run,problem_id,best_energy,valid_best_solution,valid_sample_rate,total_distance,congestion_objective,overload_objective,used_edge_count,overloaded_edge_count,maximum_edge_utilization,solver_wall_clock_seconds
dwave.system.LeapHybridSampler,1.8896963708126209,automatic_baseline,1,3d32b7f7-aa3b-4db0-aa86-444c6ed0425e,0.6105021105003692,True,1.0,104.25,174.18229166666677,9.697222222222225,82,11,1.85,1.5738327540002501
dwave.system.LeapHybridSampler,1.8896963708126209,automatic_baseline,2,b3431f50-bcce-412c-86e5-223ee20100e0,0.5988288617418137,True,1.0,103.25,167.28993055555563,3.7249999999999996,80,10,1.4,1.6223542240004463
dwave.system.LeapHybridSampler,1.8896963708126209,automatic_baseline,3,03f8d07e-b77a-48b4-bbd7-0d30c3302250,0.649008787985872,True,1.0,111.25,183.55104166666672,4.597222222222221,84,14,1.4,1.3787972909995005
dwave.system.LeapHybridSampler,1.8896963708126209,automatic_baseline,4,f3903cfa-d145-4148-afbf-f6065f81f382,0.6385025808118561,True,1.0,104.5,198.42326388888895,12.725000000000003,77,12,1.8,1.380369428999984
dwave.system.LeapHybridSampler,1.8896963708126209,automatic_baseline,5,40c1ea96-1ea7-4f0e-ad09-2da4f389a364,0.6150260845748837,True,1.0,104.0,179.14062500000006,3.963888888888889,81,13,1.4,1.4900444369995967
dwave.system.LeapHybridSampler,2.5,manual_test,1,62f56b58-71a4-443c-bf18-4fd9fcf28e24,0.6653071572537863,True,1.0,118.0,173.96770833333332,7.863888888888889,84,9,1.75,1.4420725310001217
dwave.system.LeapHybridSampler,2.5,manual_test,2,20f9b023-7732-453d-9480-85296ad502ee,0.6447582630518396,True,1.0,111.25,179.7350694444445,6.374999999999998,85,9,1.65,1.4298086270000567
dwave.system.LeapHybridSampler,2.5,manual_test,3,30aabc2c-10cd-43f9-bcda-1f1f0c597c5e,0.6691301387245736,True,1.0,111.0,202.60104166666673,15.700000000000003,79,10,2.0,1.5421806270005618
dwave.system.LeapHybridSampler,2.5,manual_test,4,10928d3e-a0f4-4b48-83af-3f3ff70bbee2,0.6395492622268012,True,1.0,113.75,166.20104166666675,5.130555555555555,87,9,1.55,1.4575877500001297
dwave.system.LeapHybridSampler,2.5,manual_test,5,1d448059-d214-4412-930a-d57b7b5cb93c,0.666888746911549,True,1.0,114.25,188.84062500000002,6.436111111111111,86,14,1.55,1.4984125460005089
dwave.system.LeapHybridSampler,3.0,manual_test,1,bcf837e0-119e-4e49-b0ec-939b7654d761,0.6689620517738395,True,1.0,118.5,175.54409722222232,5.822222222222222,84,11,1.6,1.6295903469999757
dwave.system.LeapHybridSampler,3.0,manual_test,2,e8f655b4-b713-474b-ad84-155a4e18431f,0.6696923529733159,True,1.0,115.5,186.93993055555566,9.60277777777778,82,10,1.85,1.5074396390000402
dwave.system.LeapHybridSampler,3.0,manual_test,3,b968fe6d-3af3-4639-a6bb-f0cf275b4c2f,0.6573933372000172,True,1.0,114.0,181.27951388888894,9.686111111111112,84,10,1.85,1.4032168609992368
dwave.system.LeapHybridSampler,3.0,manual_test,4,cd40d4eb-ffb7-44c2-b266-acf2d2e20938,0.6599242521921596,True,1.0,116.0,176.31006944444445,6.39722222222222,85,10,1.65,1.5616383830001723
dwave.system.LeapHybridSampler,3.0,manual_test,5,8ead2f7d-5382-4730-96da-05f7c42d965e,0.7058479061505027,True,1.0,122.25,195.20590277777788,3.8249999999999993,88,12,1.4,1.4316424110002117
dwave.system.LeapHybridSampler,4.0,manual_test,1,27903a4c-8435-4a08-b52e-1bdcac69e3e2,0.6559073939064235,True,1.0,114.0,179.8788194444444,7.863888888888889,84,9,1.75,1.4606210699994335
dwave.system.LeapHybridSampler,4.0,manual_test,2,504d42d2-964b-42f0-a318-249a90ce0596,0.6517180857055728,True,1.0,110.5,188.6739583333334,8.880555555555558,84,11,1.8,1.4585598789999494
dwave.system.LeapHybridSampler,4.0,manual_test,3,08b2c053-4fa9-42b4-9426-0c050dd8a541,0.6511142328115253,True,1.0,114.25,174.76770833333342,3.9000000000000004,80,10,1.4,1.4429660750001858
dwave.system.LeapHybridSampler,4.0,manual_test,4,9348ed73-5d9a-4569-b93f-0e917cee6a83,0.6606700702752448,True,1.0,111.5,193.21215277777785,9.422222222222222,80,13,1.6,1.4884654799998316
dwave.system.LeapHybridSampler,4.0,manual_test,5,adababab-6fcb-45eb-98b6-91f75be81269,0.7017199928024311,True,1.0,122.0,192.3079861111112,6.2,91,12,1.6,1.4024998499999128
dwave.system.LeapHybridSampler,5.0,manual_test,1,900a8640-380d-4eb2-b848-a71ddd02e3c5,0.6697186837647546,True,1.0,114.5,190.5065972222223,9.622222222222224,80,11,1.85,1.4630781870000646
dwave.system.LeapHybridSampler,5.0,manual_test,2,bdfd7cf1-477f-483a-b58f-6828ee6fbf62,0.6962106085252463,True,1.0,120.25,193.63993055555557,4.5249999999999995,92,14,1.4,1.4287035099996501
dwave.system.LeapHybridSampler,5.0,manual_test,3,e9e7fe7e-0ac1-4b97-9395-c784278b18f5,0.6634663201132427,True,1.0,113.0,190.34131944444457,9.322222222222223,86,11,1.6,1.4740312619996985
dwave.system.LeapHybridSampler,5.0,manual_test,4,e7e39c84-2d5d-40ec-acb4-d78ab7ce67ff,0.6901855533089731,True,1.0,122.25,181.14479166666678,4.112499999999998,88,11,1.4,1.5363820130005479
dwave.system.LeapHybridSampler,5.0,manual_test,5,14cc498c-f07f-4303-bbbc-d43e3e1de449,0.709638167706677,True,1.0,122.75,196.81493055555572,6.449999999999998,82,12,1.65,1.4823177800008125
