variable,x_R01_EXIT_A,x_R01_EXIT_B,x_R01_EXIT_C,x_R01_EXIT_D,x_R01_EXIT_E,x_R02_EXIT_A,x_R02_EXIT_B,x_R02_EXIT_C,x_R02_EXIT_D,x_R02_EXIT_E,x_R03_EXIT_A,x_R03_EXIT_B,x_R03_EXIT_C,x_R03_EXIT_D,x_R03_EXIT_E,x_R04_EXIT_A,x_R04_EXIT_B,x_R04_EXIT_C,x_R04_EXIT_D,x_R04_EXIT_E,x_R05_EXIT_A,x_R05_EXIT_B,x_R05_EXIT_C,x_R05_EXIT_D,x_R05_EXIT_E,x_R06_EXIT_A,x_R06_EXIT_B,x_R06_EXIT_C,x_R06_EXIT_D,x_R06_EXIT_E,x_R07_EXIT_A,x_R07_EXIT_B,x_R07_EXIT_C,x_R07_EXIT_D,x_R07_EXIT_E,x_R08_EXIT_A,x_R08_EXIT_B,x_R08_EXIT_C,x_R08_EXIT_D,x_R08_EXIT_E,x_R09_EXIT_A,x_R09_EXIT_B,x_R09_EXIT_C,x_R09_EXIT_D,x_R09_EXIT_E,x_R10_EXIT_A,x_R10_EXIT_B,x_R10_EXIT_C,x_R10_EXIT_D,x_R10_EXIT_E,x_R11_EXIT_A,x_R11_EXIT_B,x_R11_EXIT_C,x_R11_EXIT_D,x_R11_EXIT_E,x_R12_EXIT_A,x_R12_EXIT_B,x_R12_EXIT_C,x_R12_EXIT_D,x_R12_EXIT_E
x_R01_EXIT_A,-1.8311555419877188,1.8965606398325598,1.896059395035972,1.896059395035972,1.896059395035972,0.0014109112792842409,0.0008354079943130374,0.0006683263954504299,0.0006683263954504299,0.0006683263954504299,0.008911018606005731,0.0,0.0,0.0,0.0,0.0029703395353352442,0.0,0.0,0.0,0.0,0.00028775164248560177,0.0,0.0,0.0,0.0,0.006460488489354156,0.0030074687795269344,0.00200497918635129,0.00200497918635129,0.00200497918635129,0.00316526806734162,0.0,0.0,0.0,0.0,0.0028589518027601723,0.0,0.0023391423840765048,0.0023391423840765048,0.0023391423840765048,0.00102105421527149,0.0,0.0008354079943130374,0.0008354079943130374,0.0,0.0008168433722171922,0.0,0.0006683263954504299,0.0,0.0,0.00102105421527149,0.0,0.0,0.0,0.0,0.0016336867444343844,0.0,0.0,0.0,0.0
x_R01_EXIT_B,1.8965606398325598,-1.7762104252224105,1.896059395035972,1.896059395035972,1.896059395035972,0.0008354079943130374,0.004074934550038038,0.0006683263954504299,0.0006683263954504299,0.0006683263954504299,0.00200497918635129,0.020829505991538398,0.0,0.0,0.0,0.0006683263954504299,0.006943168663846133,0.0,0.0,0.0,0.0007518671948817337,0.0008678960829807666,0.0,0.0,0.0,0.0030074687795269344,0.022444628113876937,0.00200497918635129,0.00200497918635129,0.00200497918635129,0.008270539143699072,0.009546856912788433,0.0,0.0,0.0,0.0,0.01098097396969248,0.0011695711920382524,0.0011695711920382524,0.0011695711920382524,0.0,0.003921776417747315,0.0004177039971565187,0.0004177039971565187,0.002923927980095631,0.0,0.0031374211341978517,0.00033416319772521495,0.001002489593175645,0.001002489593175645,0.0,0.003921776417747315,0.0004177039971565187,0.0004177039971565187,0.0004177039971565187,0.005346611163603439,0.00046411555239613195,0.00601493755905387,0.00601493755905387,0.00601493755905387
x_R01_EXIT_C,1.896059395035972,1.896059395035972,-1.8138278960244527,1.9014060061995754,1.9014060061995754,0.0006683263954504299,0.0006683263954504299,0.0025247886050349575,0.0024505301166515767,0.0024505301166515767,0.018713139072612038,0.0,0.003564407442402294,0.0,0.0,0.007128814884804586,0.0,0.0002970339535335244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00200497918635129,0.00200497918635129,0.013143752443858455,0.012698201513558167,0.012698201513558167,0.0,0.0,0.0004084216861085961,0.0,0.0,0.0,0.0,0.012995235467091693,0.012475426048408027,0.012475426048408027,0.0,0.0,0.004641155523961319,0.004455509303002866,0.0,0.0,0.0,0.003712924419169055,0.0,0.0,0.0,0.0,0.00018564622095845277,0.0,0.0,0.0,0.0,0.0002970339535335244,0.0,0.0
x_R01_EXIT_D,1.896059395035972,1.896059395035972,1.9014060061995754,-1.8011715576409901,1.902074332595026,0.0006683263954504299,0.0006683263954504299,0.0024505301166515767,0.002747564070185101,0.0026733055818017196,0.018713139072612038,0.0,0.0026733055818017205,0.0008911018606005735,0.0,0.00801991674540516,0.0,0.0008911018606005733,0.0002970339535335244,0.0,0.0,0.0,0.00011138773257507166,0.0,0.0,0.00200497918635129,0.00200497918635129,0.012698201513558167,0.014480405234759314,0.014034854304459027,0.0,0.0,0.0012252650583257883,0.0004084216861085961,0.0,0.0,0.0,0.012475426048408027,0.014554663723142697,0.014034854304459029,0.0,0.0,0.004455509303002866,0.0051980941868366775,0.0,0.0,0.0,0.003564407442402293,0.0001485169767667622,0.0,0.0,0.0,0.0005569386628753583,0.00018564622095845277,0.0,0.0,0.0,0.0008911018606005733,0.0002970339535335244,0.0
x_R01_EXIT_E,1.896059395035972,1.896059395035972,1.9014060061995754,1.902074332595026,-1.7807320323539713,0.0006683263954504299,0.0006683263954504299,0.0024505301166515767,0.0026733055818017196,0.004232733837852723,0.018713139072612038,0.017822037212011466,0.0026733055818017205,0.0,0.01871313907261204,0.013960595816075649,0.0,0.006831780931271061,0.0059406790706704885,0.0002970339535335244,0.0,0.0,0.0008539726164088826,0.0007425848838338111,0.0,0.00200497918635129,0.00200497918635129,0.012698201513558167,0.014034854304459027,0.023391423840765046,0.0,0.0,0.00939369878049771,0.008168433722171922,0.0004084216861085961,0.0,0.0,0.012475426048408027,0.014034854304459029,0.024950852096816054,0.0,0.0,0.004455509303002866,0.005012447965878224,0.00018564622095845277,0.0,0.0,0.003564407442402293,0.0029703395353352442,0.0001485169767667622,0.0,0.0,0.004269863082044413,0.003712924419169055,0.00018564622095845277,0.0,0.0,0.006831780931271061,0.0059406790706704885,0.0002970339535335244
x_R02_EXIT_A,0.0014109112792842409,0.0008354079943130374,0.0006683263954504299,0.0006683263954504299,0.0006683263954504299,-1.8458095496989446,1.890434314540931,1.8903786206746434,1.8903786206746434,1.8903786206746434,0.0029703395353352442,0.0,0.0,0.0,0.0,0.0009901131784450816,0.0,0.0,0.0,0.0,9.591721416186729e-05,0.0,0.0,0.0,0.0,0.002153496163118052,0.001002489593175645,0.0006683263954504299,0.0006683263954504299,0.0006683263954504299,0.00105508935578054,0.0,0.0,0.0,0.0,0.0009529839342533908,0.0,0.0007797141280255016,0.0007797141280255016,0.0007797141280255016,0.00034035140509049676,0.0,0.00027846933143767916,0.00027846933143767916,0.0,0.00027228112407239746,0.0,0.00022277546515014337,0.0,0.0,0.00034035140509049676,0.0,0.0,0.0,0.0,0.0005445622481447949,0.0,0.0,0.0,0.0
x_R02_EXIT_B,0.0008354079943130374,0.004074934550038038,0.0006683263954504299,0.0006683263954504299,0.0006683263954504299,1.890434314540931,-1.7979684949889796,1.8903786206746434,1.8903786206746434,1.8903786206746434,0.0006683263954504299,0.006943168663846133,0.0,0.0,0.0,0.00022277546515014337,0.0023143895546153784,0.0,0.0,0.0,0.00025062239829391124,0.0002892986943269223,0.0,0.0,0.0,0.001002489593175645,0.007481542704625646,0.0006683263954504299,0.0006683263954504299,0.0006683263954504299,0.002756846381233024,0.0031822856375961456,0.0,0.0,0.0,0.0,0.00366032465656416,0.0003898570640127508,0.0003898570640127508,0.0003898570640127508,0.0,0.0013072588059157716,0.00013923466571883958,0.00013923466571883958,0.000974642660031877,0.0,0.0010458070447326173,0.00011138773257507169,0.00033416319772521506,0.00033416319772521506,0.0,0.0013072588059157716,0.00013923466571883958,0.00013923466571883958,0.00013923466571883958,0.001782203721201147,0.000154705184132044,0.00200497918635129,0.00200497918635129,0.00200497918635129
x_R02_EXIT_C,0.0006683263954504299,0.0006683263954504299,0.0025247886050349575,0.0024505301166515767,0.0024505301166515767,1.8903786206746434,1.8903786206746434,-1.8314522432710136,1.8909726885817104,1.8909726885817104,0.006237713024204013,0.0,0.0011881358141340977,0.0,0.0,0.002376271628268196,0.0,9.901131784450814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006683263954504299,0.0006683263954504299,0.004381250814619485,0.004232733837852723,0.004232733837852723,0.0,0.0,0.00013614056203619868,0.0,0.0,0.0,0.0,0.004331745155697231,0.0041584753494693415,0.0041584753494693415,0.0,0.0,0.0015470518413204398,0.0014851697676676221,0.0,0.0,0.0,0.001237641473056352,0.0,0.0,0.0,0.0,6.188207365281758e-05,0.0,0.0,0.0,0.0,9.901131784450814e-05,0.0,0.0
x_R02_EXIT_D,0.0006683263954504299,0.0006683263954504299,0.0024505301166515767,0.002747564070185101,0.0026733055818017196,1.8903786206746434,1.8903786206746434,1.8909726885817104,-1.8193899727946183,1.891046947070094,0.006237713024204013,0.0,0.0008911018606005733,0.0002970339535335244,0.0,0.0026733055818017205,0.0,0.0002970339535335244,9.901131784450814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0006683263954504299,0.0006683263954504299,0.004232733837852723,0.004826801744919772,0.00467828476815301,0.0,0.0,0.0004084216861085961,0.00013614056203619868,0.0,0.0,0.0,0.0041584753494693415,0.004851554574380899,0.0046782847681530095,0.0,0.0,0.0014851697676676221,0.0017326980622788925,0.0,0.0,0.0,0.001188135814134098,0.0,0.0,0.0,0.0,0.00018564622095845277,6.188207365281758e-05,0.0,0.0,0.0,0.0002970339535335244,9.901131784450814e-05,0.0
x_R02_EXIT_E,0.0006683263954504299,0.0006683263954504299,0.0024505301166515767,0.0026733055818017196,0.004232733837852723,1.8903786206746434,1.8903786206746434,1.8909726885817104,1.891046947070094,-1.8029109002213797,0.006237713024204013,0.0059406790706704885,0.0008911018606005733,0.0,0.006237713024204013,0.004653531938691884,0.0,0.0022772603104236878,0.001980226356890163,9.901131784450814e-05,0.0,0.0,0.00028465753880296097,0.0002475282946112704,0.0,0.0006683263954504299,0.0006683263954504299,0.004232733837852723,0.00467828476815301,0.007797141280255016,0.0,0.0,0.00313123292683257,0.002722811240723974,0.00013614056203619868,0.0,0.0,0.0041584753494693415,0.0046782847681530095,0.008316950698938683,0.0,0.0,0.0014851697676676221,0.001670815988626075,6.188207365281758e-05,0.0,0.0,0.001188135814134098,0.0009901131784450816,0.0,0.0,0.0,0.0014232876940148047,0.001237641473056352,6.188207365281758e-05,0.0,0.0,0.0022772603104236878,0.001980226356890163,9.901131784450814e-05
