variable_index,variable,coefficient
0,x_R01_EXIT_A,-1.8311555419877188
1,x_R01_EXIT_B,-1.7762104252224105
2,x_R01_EXIT_C,-1.8138278960244527
3,x_R01_EXIT_D,-1.8011715576409901
4,x_R01_EXIT_E,-1.7807320323539713
5,x_R02_EXIT_A,-1.8458095496989446
6,x_R02_EXIT_B,-1.7979684949889796
7,x_R02_EXIT_C,-1.8314522432710136
8,x_R02_EXIT_D,-1.8193899727946183
9,x_R02_EXIT_E,-1.8029109002213797
10,x_R03_EXIT_A,-1.7276763075153505
11,x_R03_EXIT_B,-1.5793394923539403
12,x_R03_EXIT_C,-1.8458933304382343
13,x_R03_EXIT_D,-1.8534537418766406
14,x_R03_EXIT_E,-1.7661815770445788
15,x_R04_EXIT_A,-1.7654680608166466
16,x_R04_EXIT_B,-1.795524393019552
17,x_R04_EXIT_C,-1.8244916007261676
18,x_R04_EXIT_D,-1.8376677485283137
19,x_R04_EXIT_E,-1.8615726699398902
20,x_R05_EXIT_A,-1.8094220160208787
21,x_R05_EXIT_B,-1.834425661454968
22,x_R05_EXIT_C,-1.8414565712180875
23,x_R05_EXIT_D,-1.8534631478281953
24,x_R05_EXIT_E,-1.869570927959517
25,x_R06_EXIT_A,-1.8173851717278722
26,x_R06_EXIT_B,-1.7384638455257795
27,x_R06_EXIT_C,-1.7900326298328495
28,x_R06_EXIT_D,-1.775371312263036
29,x_R06_EXIT_E,-1.7415652590670083
30,x_R07_EXIT_A,-1.7814690402781954
31,x_R07_EXIT_B,-1.809907140800016
32,x_R07_EXIT_C,-1.7760404353670018
33,x_R07_EXIT_D,-1.7902747666286112
34,x_R07_EXIT_E,-1.821234244436609
35,x_R08_EXIT_A,-1.8333243232084897
36,x_R08_EXIT_B,-1.7428588961664642
37,x_R08_EXIT_C,-1.7742449657921744
38,x_R08_EXIT_D,-1.7586182878733767
39,x_R08_EXIT_E,-1.7183764990174564
40,x_R09_EXIT_A,-1.8531548668386857
41,x_R09_EXIT_B,-1.818028134046106
42,x_R09_EXIT_C,-1.8194719124494865
43,x_R09_EXIT_D,-1.8070197849090786
44,x_R09_EXIT_E,-1.8053698695753735
45,x_R10_EXIT_A,-1.8420212142300427
46,x_R10_EXIT_B,-1.8421414897831738
47,x_R10_EXIT_C,-1.8096749126317446
48,x_R10_EXIT_D,-1.8114006335056743
49,x_R10_EXIT_E,-1.8293648758465804
50,x_R11_EXIT_A,-1.8270903228768791
51,x_R11_EXIT_B,-1.8440926780079125
52,x_R11_EXIT_C,-1.7999041663301152
53,x_R11_EXIT_D,-1.8123562938705233
54,x_R11_EXIT_E,-1.83143441353718
55,x_R12_EXIT_A,-1.808813506516241
56,x_R12_EXIT_B,-1.8810855420840848
57,x_R12_EXIT_C,-1.786393754872332
58,x_R12_EXIT_D,-1.7995699026744783
59,x_R12_EXIT_E,-1.8234748240860548
