i,j,variable_i,variable_j,coefficient
0,1,x_R01_EXIT_A,x_R01_EXIT_B,3.7931212796651197
0,2,x_R01_EXIT_A,x_R01_EXIT_C,3.792118790071944
0,3,x_R01_EXIT_A,x_R01_EXIT_D,3.792118790071944
0,4,x_R01_EXIT_A,x_R01_EXIT_E,3.792118790071944
0,5,x_R01_EXIT_A,x_R02_EXIT_A,0.0028218225585684817
0,6,x_R01_EXIT_A,x_R02_EXIT_B,0.0016708159886260749
0,7,x_R01_EXIT_A,x_R02_EXIT_C,0.0013366527909008598
0,8,x_R01_EXIT_A,x_R02_EXIT_D,0.0013366527909008598
0,9,x_R01_EXIT_A,x_R02_EXIT_E,0.0013366527909008598
0,10,x_R01_EXIT_A,x_R03_EXIT_A,0.017822037212011463
0,15,x_R01_EXIT_A,x_R04_EXIT_A,0.0059406790706704885
0,20,x_R01_EXIT_A,x_R05_EXIT_A,0.0005755032849712035
0,25,x_R01_EXIT_A,x_R06_EXIT_A,0.012920976978708311
0,26,x_R01_EXIT_A,x_R06_EXIT_B,0.006014937559053869
0,27,x_R01_EXIT_A,x_R06_EXIT_C,0.00400995837270258
0,28,x_R01_EXIT_A,x_R06_EXIT_D,0.00400995837270258
0,29,x_R01_EXIT_A,x_R06_EXIT_E,0.00400995837270258
0,30,x_R01_EXIT_A,x_R07_EXIT_A,0.00633053613468324
0,35,x_R01_EXIT_A,x_R08_EXIT_A,0.005717903605520345
0,37,x_R01_EXIT_A,x_R08_EXIT_C,0.0046782847681530095
0,38,x_R01_EXIT_A,x_R08_EXIT_D,0.0046782847681530095
0,39,x_R01_EXIT_A,x_R08_EXIT_E,0.0046782847681530095
0,40,x_R01_EXIT_A,x_R09_EXIT_A,0.00204210843054298
0,42,x_R01_EXIT_A,x_R09_EXIT_C,0.0016708159886260749
0,43,x_R01_EXIT_A,x_R09_EXIT_D,0.0016708159886260749
0,45,x_R01_EXIT_A,x_R10_EXIT_A,0.0016336867444343844
0,47,x_R01_EXIT_A,x_R10_EXIT_C,0.0013366527909008598
0,50,x_R01_EXIT_A,x_R11_EXIT_A,0.00204210843054298
0,55,x_R01_EXIT_A,x_R12_EXIT_A,0.003267373488868769
1,2,x_R01_EXIT_B,x_R01_EXIT_C,3.792118790071944
1,3,x_R01_EXIT_B,x_R01_EXIT_D,3.792118790071944
1,4,x_R01_EXIT_B,x_R01_EXIT_E,3.792118790071944
1,5,x_R01_EXIT_B,x_R02_EXIT_A,0.0016708159886260749
1,6,x_R01_EXIT_B,x_R02_EXIT_B,0.008149869100076076
1,7,x_R01_EXIT_B,x_R02_EXIT_C,0.0013366527909008598
1,8,x_R01_EXIT_B,x_R02_EXIT_D,0.0013366527909008598
1,9,x_R01_EXIT_B,x_R02_EXIT_E,0.0013366527909008598
1,10,x_R01_EXIT_B,x_R03_EXIT_A,0.00400995837270258
1,11,x_R01_EXIT_B,x_R03_EXIT_B,0.041659011983076796
1,15,x_R01_EXIT_B,x_R04_EXIT_A,0.0013366527909008598
1,16,x_R01_EXIT_B,x_R04_EXIT_B,0.013886337327692266
1,20,x_R01_EXIT_B,x_R05_EXIT_A,0.0015037343897634674
1,21,x_R01_EXIT_B,x_R05_EXIT_B,0.0017357921659615333
1,25,x_R01_EXIT_B,x_R06_EXIT_A,0.006014937559053869
1,26,x_R01_EXIT_B,x_R06_EXIT_B,0.044889256227753874
1,27,x_R01_EXIT_B,x_R06_EXIT_C,0.00400995837270258
1,28,x_R01_EXIT_B,x_R06_EXIT_D,0.00400995837270258
1,29,x_R01_EXIT_B,x_R06_EXIT_E,0.00400995837270258
1,30,x_R01_EXIT_B,x_R07_EXIT_A,0.016541078287398144
1,31,x_R01_EXIT_B,x_R07_EXIT_B,0.019093713825576866
1,36,x_R01_EXIT_B,x_R08_EXIT_B,0.02196194793938496
1,37,x_R01_EXIT_B,x_R08_EXIT_C,0.0023391423840765048
1,38,x_R01_EXIT_B,x_R08_EXIT_D,0.0023391423840765048
1,39,x_R01_EXIT_B,x_R08_EXIT_E,0.0023391423840765048
1,41,x_R01_EXIT_B,x_R09_EXIT_B,0.00784355283549463
1,42,x_R01_EXIT_B,x_R09_EXIT_C,0.0008354079943130374
1,43,x_R01_EXIT_B,x_R09_EXIT_D,0.0008354079943130374
1,44,x_R01_EXIT_B,x_R09_EXIT_E,0.005847855960191262
1,46,x_R01_EXIT_B,x_R10_EXIT_B,0.006274842268395703
1,47,x_R01_EXIT_B,x_R10_EXIT_C,0.0006683263954504299
1,48,x_R01_EXIT_B,x_R10_EXIT_D,0.00200497918635129
1,49,x_R01_EXIT_B,x_R10_EXIT_E,0.00200497918635129
1,51,x_R01_EXIT_B,x_R11_EXIT_B,0.00784355283549463
1,52,x_R01_EXIT_B,x_R11_EXIT_C,0.0008354079943130374
1,53,x_R01_EXIT_B,x_R11_EXIT_D,0.0008354079943130374
1,54,x_R01_EXIT_B,x_R11_EXIT_E,0.0008354079943130374
1,55,x_R01_EXIT_B,x_R12_EXIT_A,0.010693222327206878
1,56,x_R01_EXIT_B,x_R12_EXIT_B,0.0009282311047922639
1,57,x_R01_EXIT_B,x_R12_EXIT_C,0.01202987511810774
1,58,x_R01_EXIT_B,x_R12_EXIT_D,0.01202987511810774
1,59,x_R01_EXIT_B,x_R12_EXIT_E,0.01202987511810774
2,3,x_R01_EXIT_C,x_R01_EXIT_D,3.802812012399151
2,4,x_R01_EXIT_C,x_R01_EXIT_E,3.802812012399151
2,5,x_R01_EXIT_C,x_R02_EXIT_A,0.0013366527909008598
2,6,x_R01_EXIT_C,x_R02_EXIT_B,0.0013366527909008598
2,7,x_R01_EXIT_C,x_R02_EXIT_C,0.005049577210069915
2,8,x_R01_EXIT_C,x_R02_EXIT_D,0.004901060233303153
2,9,x_R01_EXIT_C,x_R02_EXIT_E,0.004901060233303153
2,10,x_R01_EXIT_C,x_R03_EXIT_A,0.037426278145224076
2,12,x_R01_EXIT_C,x_R03_EXIT_C,0.007128814884804588
2,15,x_R01_EXIT_C,x_R04_EXIT_A,0.014257629769609172
2,17,x_R01_EXIT_C,x_R04_EXIT_C,0.0005940679070670488
2,25,x_R01_EXIT_C,x_R06_EXIT_A,0.00400995837270258
2,26,x_R01_EXIT_C,x_R06_EXIT_B,0.00400995837270258
2,27,x_R01_EXIT_C,x_R06_EXIT_C,0.02628750488771691
2,28,x_R01_EXIT_C,x_R06_EXIT_D,0.025396403027116335
2,29,x_R01_EXIT_C,x_R06_EXIT_E,0.025396403027116335
2,32,x_R01_EXIT_C,x_R07_EXIT_C,0.0008168433722171922
2,37,x_R01_EXIT_C,x_R08_EXIT_C,0.025990470934183385
2,38,x_R01_EXIT_C,x_R08_EXIT_D,0.024950852096816054
2,39,x_R01_EXIT_C,x_R08_EXIT_E,0.024950852096816054
2,42,x_R01_EXIT_C,x_R09_EXIT_C,0.009282311047922638
2,43,x_R01_EXIT_C,x_R09_EXIT_D,0.008911018606005731
2,47,x_R01_EXIT_C,x_R10_EXIT_C,0.00742584883833811
2,52,x_R01_EXIT_C,x_R11_EXIT_C,0.00037129244191690553
2,57,x_R01_EXIT_C,x_R12_EXIT_C,0.0005940679070670488
3,4,x_R01_EXIT_D,x_R01_EXIT_E,3.804148665190052
3,5,x_R01_EXIT_D,x_R02_EXIT_A,0.0013366527909008598
3,6,x_R01_EXIT_D,x_R02_EXIT_B,0.0013366527909008598
3,7,x_R01_EXIT_D,x_R02_EXIT_C,0.004901060233303153
3,8,x_R01_EXIT_D,x_R02_EXIT_D,0.005495128140370202
3,9,x_R01_EXIT_D,x_R02_EXIT_E,0.005346611163603439
3,10,x_R01_EXIT_D,x_R03_EXIT_A,0.037426278145224076
3,12,x_R01_EXIT_D,x_R03_EXIT_C,0.005346611163603441
3,13,x_R01_EXIT_D,x_R03_EXIT_D,0.001782203721201147
3,15,x_R01_EXIT_D,x_R04_EXIT_A,0.01603983349081032
3,17,x_R01_EXIT_D,x_R04_EXIT_C,0.0017822037212011465
3,18,x_R01_EXIT_D,x_R04_EXIT_D,0.0005940679070670488
3,22,x_R01_EXIT_D,x_R05_EXIT_C,0.00022277546515014332
3,25,x_R01_EXIT_D,x_R06_EXIT_A,0.00400995837270258
3,26,x_R01_EXIT_D,x_R06_EXIT_B,0.00400995837270258
3,27,x_R01_EXIT_D,x_R06_EXIT_C,0.025396403027116335
3,28,x_R01_EXIT_D,x_R06_EXIT_D,0.02896081046951863
3,29,x_R01_EXIT_D,x_R06_EXIT_E,0.028069708608918054
3,32,x_R01_EXIT_D,x_R07_EXIT_C,0.0024505301166515767
3,33,x_R01_EXIT_D,x_R07_EXIT_D,0.0008168433722171922
3,37,x_R01_EXIT_D,x_R08_EXIT_C,0.024950852096816054
3,38,x_R01_EXIT_D,x_R08_EXIT_D,0.029109327446285395
3,39,x_R01_EXIT_D,x_R08_EXIT_E,0.028069708608918057
3,42,x_R01_EXIT_D,x_R09_EXIT_C,0.008911018606005731
3,43,x_R01_EXIT_D,x_R09_EXIT_D,0.010396188373673355
3,47,x_R01_EXIT_D,x_R10_EXIT_C,0.007128814884804586
3,48,x_R01_EXIT_D,x_R10_EXIT_D,0.0002970339535335244
3,52,x_R01_EXIT_D,x_R11_EXIT_C,0.0011138773257507166
3,53,x_R01_EXIT_D,x_R11_EXIT_D,0.00037129244191690553
3,57,x_R01_EXIT_D,x_R12_EXIT_C,0.0017822037212011465
3,58,x_R01_EXIT_D,x_R12_EXIT_D,0.0005940679070670488
4,5,x_R01_EXIT_E,x_R02_EXIT_A,0.0013366527909008598
