variable_index,variable_name,route_id,room_id,room_name,start_node,exit_node,occupancy,distance,self_congestion_cost,bqm_linear_bias
0,x_R01_EXIT_A,R01__EXIT_A,R01,Reception & Waiting,START_R01,EXIT_A,6,12.5,0.008590778874852401,-1.8311555419877188
1,x_R01_EXIT_B,R01__EXIT_B,R01,Reception & Waiting,START_R01,EXIT_B,6,24.25,0.01658284868711379,-1.7762104252224105
2,x_R01_EXIT_C,R01__EXIT_C,R01,Reception & Waiting,START_R01,EXIT_C,6,16.0,0.01193241085210455,-1.8138278960244527
3,x_R01_EXIT_D,R01__EXIT_D,R01,Reception & Waiting,START_R01,EXIT_D,6,19.0,0.01260073724755498,-1.8011715576409901
4,x_R01_EXIT_E,R01__EXIT_E,R01,Reception & Waiting,START_R01,EXIT_E,6,23.0,0.017056246550557846,-1.7807320323539713
5,x_R02_EXIT_A,R02__EXIT_A,R02,IT / Server Room,START_R02,EXIT_A,2,10.75,0.0009297781566335843,-1.8458095496989446
6,x_R02_EXIT_B,R02__EXIT_B,R02,IT / Server Room,START_R02,EXIT_B,2,22.5,0.0018177859135515167,-1.7979684949889796
7,x_R02_EXIT_C,R02__EXIT_C,R02,IT / Server Room,START_R02,EXIT_C,2,14.25,0.0013010705985504899,-1.8314522432710136
8,x_R02_EXIT_D,R02__EXIT_D,R02,IT / Server Room,START_R02,EXIT_D,2,17.25,0.0013753290869338711,-1.8193899727946183
9,x_R02_EXIT_E,R02__EXIT_E,R02,IT / Server Room,START_R02,EXIT_E,2,21.25,0.001870385676156412,-1.8029109002213797
10,x_R03_EXIT_A,R03__EXIT_A,R03,Central Open Office,START_R03,EXIT_A,24,11.5,0.11606601734322465,-1.7276763075153505
11,x_R03_EXIT_B,R03__EXIT_B,R03,Central Open Office,START_R03,EXIT_B,24,21.75,0.22344379154559374,-1.5793394923539403
12,x_R03_EXIT_C,R03__EXIT_C,R03,Central Open Office,START_R03,EXIT_C,24,6.0,0.01982701639836276,-1.8458933304382343
13,x_R03_EXIT_D,R03__EXIT_D,R03,Central Open Office,START_R03,EXIT_D,24,5.0,0.016262608955960465,-1.8534537418766406
14,x_R03_EXIT_E,R03__EXIT_E,R03,Central Open Office,START_R03,EXIT_E,24,9.0,0.08755075780400633,-1.7661815770445788
15,x_R04_EXIT_A,R04__EXIT_A,R04,Executive Conference,START_R04,EXIT_A,8,23.5,0.03032221608988062,-1.7654680608166466
16,x_R04_EXIT_B,R04__EXIT_B,R04,Executive Conference,START_R04,EXIT_B,8,17.75,0.023242906863998283,-1.795524393019552
17,x_R04_EXIT_C,R04__EXIT_C,R04,Executive Conference,START_R04,EXIT_C,8,12.0,0.017252722134405544,-1.8244916007261676
18,x_R04_EXIT_D,R04__EXIT_D,R04,Executive Conference,START_R04,EXIT_D,8,9.0,0.016064586320271447,-1.8376677485283137
19,x_R04_EXIT_E,R04__EXIT_E,R04,Executive Conference,START_R04,EXIT_E,8,5.0,0.008143680892710795,-1.8615726699398902
20,x_R05_EXIT_A,R05__EXIT_A,R05,Copy / Supply Room,START_R05,EXIT_A,1,20.0,0.00035427487166238075,-1.8094220160208787
21,x_R05_EXIT_B,R05__EXIT_B,R05,Copy / Supply Room,START_R05,EXIT_B,1,13.75,0.0003256544125979526,-1.834425661454968
22,x_R05_EXIT_C,R05__EXIT_C,R05,Copy / Supply Room,START_R05,EXIT_C,1,12.0,0.0002877516424856018,-1.8414565712180875
23,x_R05_EXIT_D,R05__EXIT_D,R05,Copy / Supply Room,START_R05,EXIT_D,1,9.0,0.00026918702038975656,-1.8534631478281953
24,x_R05_EXIT_E,R05__EXIT_E,R05,Copy / Supply Room,START_R05,EXIT_E,1,5.0,0.00014542287308412136,-1.869570927959517
25,x_R06_EXIT_A,R06__EXIT_A,R06,West Open Office,START_R06,EXIT_A,12,10.5,0.030353157126707022,-1.8173851717278722
26,x_R06_EXIT_B,R06__EXIT_B,R06,West Open Office,START_R06,EXIT_B,12,22.25,0.06232143637575258,-1.7384638455257795
27,x_R06_EXIT_C,R06__EXIT_C,R06,West Open Office,START_R06,EXIT_C,12,14.0,0.04371968503571562,-1.7900326298328495
28,x_R06_EXIT_D,R06__EXIT_D,R06,West Open Office,START_R06,EXIT_D,12,17.0,0.04639299061751734,-1.775371312263036
29,x_R06_EXIT_E,R06__EXIT_E,R06,West Open Office,START_R06,EXIT_E,12,21.0,0.06421502782952881,-1.7415652590670083
30,x_R07_EXIT_A,R07__EXIT_A,R07,East Open Office,START_R07,EXIT_A,11,17.75,0.03729825960535482,-1.7814690402781954
31,x_R07_EXIT_B,R07__EXIT_B,R07,East Open Office,START_R07,EXIT_B,11,11.5,0.03383518405855901,-1.809907140800016
32,x_R07_EXIT_C,R07__EXIT_C,R07,East Open Office,START_R07,EXIT_C,11,17.75,0.04272686451654824,-1.7760404353670018
33,x_R07_EXIT_D,R07__EXIT_D,R07,East Open Office,START_R07,EXIT_D,11,14.75,0.04048054524295096,-1.7902747666286112
34,x_R07_EXIT_E,R07__EXIT_E,R07,East Open Office,START_R07,EXIT_E,11,10.75,0.0255050834189691,-1.821234244436609
35,x_R08_EXIT_A,R08__EXIT_A,R08,Training Room,START_R08,EXIT_A,14,6.5,0.03039802163010532,-1.8333243232084897
36,x_R08_EXIT_B,R08__EXIT_B,R08,Training Room,START_R08,EXIT_B,14,18.25,0.073910401719084,-1.7428588961664642
37,x_R08_EXIT_C,R08__EXIT_C,R08,Training Room,START_R08,EXIT_C,14,14.0,0.0595073490763907,-1.7742449657921744
38,x_R08_EXIT_D,R08__EXIT_D,R08,Training Room,START_R08,EXIT_D,14,17.0,0.06314601500717638,-1.7586182878733767
39,x_R08_EXIT_E,R08__EXIT_E,R08,Training Room,START_R08,EXIT_E,14,21.0,0.08740378787908087,-1.7183764990174564
40,x_R09_EXIT_A,R09__EXIT_A,R09,Conference Room A,START_R09,EXIT_A,5,8.0,0.00457347200590355,-1.8531548668386857
41,x_R09_EXIT_B,R09__EXIT_B,R09,Conference Room A,START_R09,EXIT_B,5,15.75,0.00873117382945223,-1.818028134046106
42,x_R09_EXIT_C,R09__EXIT_C,R09,Conference Room A,START_R09,EXIT_C,5,15.5,0.008286396425072605,-1.8194719124494865
43,x_R09_EXIT_D,R09__EXIT_D,R09,Conference Room A,START_R09,EXIT_D,5,18.5,0.008750511977468737,-1.8070197849090786
44,x_R09_EXIT_E,R09__EXIT_E,R09,Conference Room A,START_R09,EXIT_E,5,19.0,0.008402425313171638,-1.8053698695753735
45,x_R10_EXIT_A,R10__EXIT_A,R10,Human Resources,START_R10,EXIT_A,4,11.0,0.003719112626534337,-1.8420212142300427
46,x_R10_EXIT_B,R10__EXIT_B,R10,Human Resources,START_R10,EXIT_B,4,10.75,0.004597838072404348,-1.8421414897831738
47,x_R10_EXIT_C,R10__EXIT_C,R10,Human Resources,START_R10,EXIT_C,4,18.5,0.006095384254802533,-1.8096749126317446
48,x_R10_EXIT_D,R10__EXIT_D,R10,Human Resources,START_R10,EXIT_D,4,18.0,0.0063676653788749295,-1.8114006335056743
49,x_R10_EXIT_E,R10__EXIT_E,R10,Human Resources,START_R10,EXIT_E,4,14.0,0.004387439021984768,-1.8293648758465804
50,x_R11_EXIT_A,R11__EXIT_A,R11,Finance / Administration,START_R11,EXIT_A,5,14.0,0.006661991991686144,-1.8270903228768791
51,x_R11_EXIT_B,R11__EXIT_B,R11,Finance / Administration,START_R11,EXIT_B,5,9.75,0.006642653843669638,-1.8440926780079125
52,x_R11_EXIT_C,R11__EXIT_C,R11,Finance / Administration,START_R11,EXIT_C,5,20.0,0.009872124562426055,-1.7999041663301152
53,x_R11_EXIT_D,R11__EXIT_D,R11,Finance / Administration,START_R11,EXIT_D,5,17.0,0.009408009010029923,-1.8123562938705233
54,x_R11_EXIT_E,R11__EXIT_E,R11,Finance / Administration,START_R11,EXIT_E,5,13.0,0.006313905327389044,-1.83143441353718
