solver,assignment_penalty,penalty_source,run,global_run_number,seeds,best_energy,valid_best_solution,valid_sample_rate,total_distance,congestion_objective,overload_objective,used_edge_count,overloaded_edge_count,maximum_edge_utilization,solver_wall_clock_seconds
neal.SimulatedAnnealingSampler,1.8896963708126209,automatic_baseline,1,1,43 | 44 | 45 | 46,0.7225180241709097,True,1.0,126.75,193.93923611111114,7.466666666666664,94,14,1.5,4.975872269999854
neal.SimulatedAnnealingSampler,1.8896963708126209,automatic_baseline,2,2,1043 | 1044 | 1045 | 1046,0.7223204423908669,True,1.0,125.0,200.16215277777778,9.597222222222221,84,14,1.8,4.23594508899987
neal.SimulatedAnnealingSampler,1.8896963708126209,automatic_baseline,3,3,2043 | 2044 | 2045 | 2046,0.7177636784674348,True,1.0,122.5,204.9843750000001,11.530555555555557,81,14,1.75,4.241737512999862
neal.SimulatedAnnealingSampler,1.8896963708126209,automatic_baseline,4,4,3043 | 3044 | 3045 | 3046,0.6825886853078771,True,1.0,112.0,211.00729166666673,16.455555555555552,77,12,2.0,4.29198544799965
neal.SimulatedAnnealingSampler,1.8896963708126209,automatic_baseline,5,5,4043 | 4044 | 4045 | 4046,0.722096197149142,True,1.0,122.5,208.80729166666677,10.597222222222221,87,13,1.85,4.362011613000504
neal.SimulatedAnnealingSampler,2.5,manual_test,1,6,5043 | 5044 | 5045 | 5046,0.7562198059183203,True,1.0,125.75,227.78298611111114,13.272222222222226,89,18,1.8,4.1914016780001475
neal.SimulatedAnnealingSampler,2.5,manual_test,2,7,6043 | 6044 | 6045 | 6046,0.7080079695562489,True,1.0,122.5,196.15937500000004,9.61388888888889,88,11,1.8,4.243165978000434
neal.SimulatedAnnealingSampler,2.5,manual_test,3,8,7043 | 7044 | 7045 | 7046,0.734599269214911,True,1.0,129.0,196.89131944444455,9.322222222222223,93,11,1.6,4.107763182999406
neal.SimulatedAnnealingSampler,2.5,manual_test,4,9,8043 | 8044 | 8045 | 8046,0.6984538491498284,True,1.0,119.75,197.50312500000007,14.122222222222216,85,13,2.05,4.226428531000238
neal.SimulatedAnnealingSampler,2.5,manual_test,5,10,9043 | 9044 | 9045 | 9046,0.7213790304352727,True,1.0,126.0,195.78506944444442,4.716666666666667,81,13,1.4,4.234960681000302
neal.SimulatedAnnealingSampler,3.0,manual_test,1,11,10043 | 10044 | 10045 | 10046,0.7327664536388738,True,1.0,127.25,201.3461805555556,9.116666666666667,92,13,1.7,4.151954451000165
neal.SimulatedAnnealingSampler,3.0,manual_test,2,12,11043 | 11044 | 11045 | 11046,0.7510360296889473,True,1.0,125.5,224.02604166666669,14.113888888888889,79,13,1.8,4.10522747900086
neal.SimulatedAnnealingSampler,3.0,manual_test,3,13,12043 | 12044 | 12045 | 12046,0.7348660193583214,True,1.0,120.25,228.34340277777792,12.73055555555555,87,18,1.7,4.127423697000268
neal.SimulatedAnnealingSampler,3.0,manual_test,4,14,13043 | 13044 | 13045 | 13046,0.7722799129747102,True,1.0,108.0,305.8788194444445,65.38055555555555,72,14,3.2,4.197818868000468
neal.SimulatedAnnealingSampler,3.0,manual_test,5,15,14043 | 14044 | 14045 | 14046,0.6852076586146154,True,1.0,118.0,191.92256944444446,3.2722222222222213,90,13,1.4,4.1486151379995135
neal.SimulatedAnnealingSampler,4.0,manual_test,1,16,15043 | 15044 | 15045 | 15046,0.7218310558781695,True,1.0,129.25,184.4204861111112,5.177777777777777,94,12,1.55,3.941487323999354
neal.SimulatedAnnealingSampler,4.0,manual_test,2,17,16043 | 16044 | 16045 | 16046,0.732660588773058,True,1.0,123.75,213.8739583333333,9.863888888888889,87,13,1.8,4.081911512999795
neal.SimulatedAnnealingSampler,4.0,manual_test,3,18,17043 | 17044 | 17045 | 17046,0.7313215072190928,True,1.0,127.25,200.1156250000001,6.422222222222221,87,16,1.5,4.038063981999585
neal.SimulatedAnnealingSampler,4.0,manual_test,4,19,18043 | 18044 | 18045 | 18046,0.7443730937787905,True,1.0,118.5,243.15659722222213,41.38749999999999,89,10,2.85,4.045234216000608
neal.SimulatedAnnealingSampler,4.0,manual_test,5,20,19043 | 19044 | 19045 | 19046,0.708150267415192,True,1.0,123.5,192.69965277777783,3.488888888888888,86,14,1.4,3.863039732999823
neal.SimulatedAnnealingSampler,5.0,manual_test,1,21,20043 | 20044 | 20045 | 20046,0.7144714285091425,True,1.0,126.5,187.61215277777777,8.26388888888889,89,11,1.75,4.259647627000049
neal.SimulatedAnnealingSampler,5.0,manual_test,2,22,21043 | 21044 | 21045 | 21046,0.681475001557061,True,1.0,118.25,187.6079861111112,14.999999999999998,88,9,2.1,4.067013228000178
neal.SimulatedAnnealingSampler,5.0,manual_test,3,23,22043 | 22044 | 22045 | 22046,0.7250955670892836,True,1.0,121.75,214.19062500000004,12.875000000000002,85,13,1.8,3.9596569829991495
neal.SimulatedAnnealingSampler,5.0,manual_test,4,24,23043 | 23044 | 23045 | 23046,0.7772603144804862,True,1.0,131.25,227.05243055555556,14.216666666666665,86,16,2.0,3.89428683099959
neal.SimulatedAnnealingSampler,5.0,manual_test,5,25,24043 | 24044 | 24045 | 24046,0.6734753664912034,True,1.0,112.75,200.13506944444447,16.286111111111108,76,10,2.15,4.2878063420002945
