edge_id,source,target,edge_type,distance,capacity_units,effective_capacity_people,selected_load_people,utilization,utilization_percent,over_capacity,overload_ratio,congestion_cost,overload_cost
E231:P10--DOOR_10,P10,DOOR_10,room_to_door,1.0,1.0,10.0,23.0,2.3,229.99999999999997,True,1.2999999999999998,26.449999999999996,8.449999999999998
E232:DOOR_10--N10,DOOR_10,N10,door_to_hallway,0.75,1.0,10.0,23.0,2.3,229.99999999999997,True,1.2999999999999998,26.449999999999996,8.449999999999998
E220:C10--DOOR_04,C10,DOOR_04,room_to_door,1.0,1.0,10.0,14.0,1.4,140.0,True,0.3999999999999999,9.799999999999999,0.7999999999999996
E221:DOOR_04--E10,DOOR_04,E10,door_to_hallway,0.5,1.0,10.0,14.0,1.4,140.0,True,0.3999999999999999,9.799999999999999,0.7999999999999996
E033:E10--E11,E10,E11,navigation,1.0,2.0,20.0,25.0,1.25,125.0,True,0.25,7.8125,0.3125
E034:E11--E12,E11,E12,navigation,1.0,2.0,20.0,25.0,1.25,125.0,True,0.25,7.8125,0.3125
E218:C6--DOOR_03,C6,DOOR_03,room_to_door,1.0,1.0,10.0,12.0,1.2,120.0,True,0.19999999999999996,7.199999999999999,0.1999999999999999
E219:DOOR_03--E6,DOOR_03,E6,door_to_hallway,0.5,1.0,10.0,12.0,1.2,120.0,True,0.19999999999999996,7.199999999999999,0.1999999999999999
E029:E8--E9,E8,E9,navigation,1.0,2.0,20.0,23.0,1.15,114.99999999999999,True,0.1499999999999999,6.612499999999999,0.11249999999999988
E141:N9--N10,N9,N10,navigation,1.0,2.0,20.0,23.0,1.15,114.99999999999999,True,0.1499999999999999,6.612499999999999,0.11249999999999988
E229:P8--DOOR_09,P8,DOOR_09,room_to_door,1.0,1.0,10.0,11.0,1.1,110.00000000000001,True,0.10000000000000009,6.050000000000001,0.050000000000000086
E230:DOOR_09--N8,DOOR_09,N8,door_to_hallway,0.75,1.0,10.0,11.0,1.1,110.00000000000001,True,0.10000000000000009,6.050000000000001,0.050000000000000086
E240:Q12--EXIT_B,Q12,EXIT_B,exit,1.0,3.0,30.0,31.0,1.0333333333333334,103.33333333333334,True,0.03333333333333344,5.3388888888888895,0.0055555555555555905
E027:E6--E7,E6,E7,navigation,1.0,2.0,20.0,20.0,1.0,100.0,False,0.0,5.0,0.0
E028:E7--E8,E7,E8,navigation,1.0,2.0,20.0,20.0,1.0,100.0,False,0.0,5.0,0.0
E239:E12--EXIT_A,E12,EXIT_A,exit,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
E242:J2--EXIT_D,J2,EXIT_D,exit,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
E087:J2--J3,J2,J3,navigation,1.0,3.0,30.0,24.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E089:J3--J4,J3,J4,navigation,1.0,3.0,30.0,24.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E091:J4--J5,J4,J5,navigation,1.0,3.0,30.0,24.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E115:K9--L9,K9,L9,navigation,1.0,2.0,20.0,16.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E125:L9--M9,L9,M9,navigation,1.0,2.0,20.0,16.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E129:M9--N9,M9,N9,navigation,1.0,2.0,20.0,16.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E226:P2--DOOR_07,P2,DOOR_07,room_to_door,1.0,1.0,10.0,8.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E227:DOOR_07--N2,DOOR_07,N2,door_to_hallway,1.0,1.0,10.0,8.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E244:START_R12--Q12,START_R12,Q12,room_start,1.0,4.0,40.0,31.0,0.775,77.5,False,0.0,3.0031250000000003,0.0
E148:P10--Q10,P10,Q10,navigation,1.0,3.0,30.0,23.0,0.7666666666666667,76.66666666666667,False,0.0,2.938888888888889,0.0
E140:N8--N9,N8,N9,navigation,1.0,2.0,20.0,15.0,0.75,75.0,False,0.0,2.8125,0.0
E222:G8--DOOR_05,G8,DOOR_05,room_to_door,1.0,1.0,10.0,7.0,0.7,70.0,False,0.0,2.4499999999999997,0.0
E223:DOOR_05--E8,DOOR_05,E8,door_to_hallway,0.5,1.0,10.0,7.0,0.7,70.0,False,0.0,2.4499999999999997,0.0
E030:E9--F9,E9,F9,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E035:F9--G9,F9,G9,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E051:G9--H9,G9,H9,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E068:H9--I9,H9,I9,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E082:I9--J9,I9,J9,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E099:J9--K9,J9,K9,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E184:START_R03--J5,START_R03,J5,room_start,1.0,4.0,40.0,24.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E216:C4--DOOR_02,C4,DOOR_02,room_to_door,1.0,1.0,10.0,6.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E217:DOOR_02--E4,DOOR_02,E4,door_to_hallway,0.5,1.0,10.0,6.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E212:START_R12--Q10,START_R12,Q10,room_start,1.0,4.0,40.0,23.0,0.575,57.49999999999999,False,0.0,1.6531249999999997,0.0
E031:E9--E10,E9,E10,navigation,1.0,2.0,20.0,11.0,0.55,55.00000000000001,False,0.0,1.5125000000000002,0.0
E032:E10--F10,E10,F10,navigation,1.0,2.0,20.0,10.0,0.5,50.0,False,0.0,1.25,0.0
E037:F10--G10,F10,G10,navigation,1.0,2.0,20.0,10.0,0.5,50.0,False,0.0,1.25,0.0
E233:G11--DOOR_11,G11,DOOR_11,room_to_door,0.75,1.0,10.0,5.0,0.5,50.0,False,0.0,1.25,0.0
E234:DOOR_11--G10,DOOR_11,G10,door_to_hallway,0.25,1.0,10.0,5.0,0.5,50.0,False,0.0,1.25,0.0
E237:M11--DOOR_13,M11,DOOR_13,room_to_door,0.75,1.0,10.0,5.0,0.5,50.0,False,0.0,1.25,0.0
E238:DOOR_13--M10,DOOR_13,M10,door_to_hallway,0.25,1.0,10.0,5.0,0.5,50.0,False,0.0,1.25,0.0
E023:C10--C11,C10,C11,navigation,1.0,3.0,30.0,14.0,0.4666666666666667,46.666666666666664,False,0.0,1.088888888888889,0.0
E021:C6--C7,C6,C7,navigation,1.0,3.0,30.0,12.0,0.4,40.0,False,0.0,0.8000000000000002,0.0
E025:E4--E5,E4,E5,navigation,1.0,2.0,20.0,8.0,0.4,40.0,False,0.0,0.8000000000000002,0.0
E026:E5--E6,E5,E6,navigation,1.0,2.0,20.0,8.0,0.4,40.0,False,0.0,0.8000000000000002,0.0
E235:K11--DOOR_12,K11,DOOR_12,room_to_door,0.75,1.0,10.0,4.0,0.4,40.0,False,0.0,0.8000000000000002,0.0
E236:DOOR_12--K10,DOOR_12,K10,door_to_hallway,0.25,1.0,10.0,4.0,0.4,40.0,False,0.0,0.8000000000000002,0.0
E243:N2--EXIT_E,N2,EXIT_E,exit,1.0,3.0,30.0,12.0,0.4,40.0,False,0.0,0.8000000000000002,0.0
E146:P7--P8,P7,P8,navigation,1.0,3.0,30.0,11.0,0.36666666666666664,36.666666666666664,False,0.0,0.672222222222222,0.0
E200:START_R08--C11,START_R08,C11,room_start,1.0,4.0,40.0,14.0,0.35,35.0,False,0.0,0.6124999999999999,0.0
E192:START_R06--C7,START_R06,C7,room_start,1.0,4.0,40.0,12.0,0.3,30.0,False,0.0,0.44999999999999996,0.0
E197:START_R07--P7,START_R07,P7,room_start,1.0,4.0,40.0,11.0,0.275,27.500000000000004,False,0.0,0.37812500000000004,0.0
E143:P2--P3,P2,P3,navigation,1.0,3.0,30.0,8.0,0.26666666666666666,26.666666666666668,False,0.0,0.35555555555555557,0.0
E053:G10--H10,G10,H10,navigation,1.0,2.0,20.0,5.0,0.25,25.0,False,0.0,0.3125,0.0
E070:H10--I10,H10,I10,navigation,1.0,2.0,20.0,5.0,0.25,25.0,False,0.0,0.3125,0.0
E084:I10--J10,I10,J10,navigation,1.0,2.0,20.0,5.0,0.25,25.0,False,0.0,0.3125,0.0
