room_id,room_name,start_node,primary_exit,distance,hops,path,astar_matches_distance,astar_same_exact_path
R01,Reception & Main Office,START_R01,EXIT_C,5.0,5,START_R01 -> C3 -> DOOR_01 -> E3 -> E2 -> EXIT_C,True,True
R02,Attendance Office,START_R02,EXIT_C,5.0,5,START_R02 -> G3 -> DOOR_03 -> E3 -> E2 -> EXIT_C,True,True
R03,Registrar & Student Records,START_R03,EXIT_E,4.0,4,START_R03 -> DOOR_02 -> Y3 -> Y2 -> EXIT_E,True,True
R04,West Administrative Office,START_R04,EXIT_E,6.0,6,START_R04 -> AB3 -> AA3 -> DOOR_04 -> Y3 -> Y2 -> EXIT_E,True,True
R05,Media Center / Library,START_R05,EXIT_D,5.0,5,START_R05 -> O4 -> O3 -> O2 -> P2 -> EXIT_D,True,True
R06,School Nurse Office,START_R06,EXIT_C,9.25,9,START_R06 -> C7 -> DOOR_12 -> E7 -> E6 -> E5 -> E4 -> E3 -> E2 -> EXIT_C,True,True
R07,Counseling Office,START_R07,EXIT_C,9.0,9,START_R07 -> H6 -> DOOR_05 -> H4 -> G4 -> G3 -> DOOR_03 -> E3 -> E2 -> EXIT_C,True,True
R08,Curriculum Office,START_R08,EXIT_E,8.0,8,START_R08 -> DOOR_11 -> Y7 -> Y6 -> Y5 -> Y4 -> Y3 -> Y2 -> EXIT_E,True,False
R09,Student Services Office,START_R09,EXIT_E,9.0,9,START_R09 -> AB6 -> DOOR_06 -> AB4 -> AA4 -> AA3 -> DOOR_04 -> Y3 -> Y2 -> EXIT_E,True,True
R10,Special Education Office,START_R10,EXIT_E,12.0,12,START_R10 -> AD7 -> DOOR_10 -> START_R09 -> AB6 -> DOOR_06 -> AB4 -> AA4 -> AA3 -> DOOR_04 -> Y3 -> Y2 -> EXIT_E,True,True
R11,Testing & Assessment Office,START_R11,EXIT_C,15.0,15,START_R11 -> B12 -> DOOR_18 -> B10 -> C10 -> D10 -> E10 -> E9 -> E8 -> E7 -> E6 -> E5 -> E4 -> E3 -> E2 -> EXIT_C,True,False
R12,Academic Advising Office,START_R12,EXIT_C,12.0,12,START_R12 -> E12 -> DOOR_19 -> E10 -> E9 -> E8 -> E7 -> E6 -> E5 -> E4 -> E3 -> E2 -> EXIT_C,True,True
R13,Records Support Office,START_R13,EXIT_C,15.0,15,START_R13 -> H12 -> DOOR_17 -> H10 -> G10 -> F10 -> E10 -> E9 -> E8 -> E7 -> E6 -> E5 -> E4 -> E3 -> E2 -> EXIT_C,True,True
R14,Human Resources Office,START_R14,EXIT_D,16.5,16,START_R14 -> K12 -> DOOR_20 -> K10 -> M10 -> N10 -> DOOR_16 -> O10 -> O8 -> O7 -> O6 -> P6 -> P5 -> P4 -> P3 -> P2 -> EXIT_D,True,False
R15,Finance Office,START_R15,EXIT_D,16.5,16,START_R15 -> S12 -> DOOR_25 -> S10 -> R10 -> Q10 -> DOOR_15 -> O10 -> O8 -> O7 -> O6 -> P6 -> P5 -> P4 -> P3 -> P2 -> EXIT_D,True,False
R16,Payroll Office,START_R16,EXIT_E,15.0,15,START_R16 -> V12 -> DOOR_23 -> V10 -> W10 -> X10 -> Y10 -> Y9 -> Y8 -> Y7 -> Y6 -> Y5 -> Y4 -> Y3 -> Y2 -> EXIT_E,True,True
R17,Operations Office,START_R17,EXIT_E,12.0,12,START_R17 -> Y12 -> DOOR_22 -> Y10 -> Y9 -> Y8 -> Y7 -> Y6 -> Y5 -> Y4 -> Y3 -> Y2 -> EXIT_E,True,True
R18,Facilities Office,START_R18,EXIT_E,15.0,15,START_R18 -> AB12 -> DOOR_21 -> AB10 -> AA10 -> Z10 -> Y10 -> Y9 -> Y8 -> Y7 -> Y6 -> Y5 -> Y4 -> Y3 -> Y2 -> EXIT_E,True,True
R19,Principal's Office,START_R19,EXIT_E,17.5,18,START_R19 -> AE12 -> DOOR_24 -> AE10 -> AD10 -> AC10 -> AB10 -> AA10 -> Z10 -> Y10 -> Y9 -> Y8 -> Y7 -> Y6 -> Y5 -> Y4 -> Y3 -> Y2 -> EXIT_E,True,True
R20,Assistant Principal's Office,START_R20,EXIT_A,8.0,8,START_R20 -> C20 -> DOOR_37 -> C22 -> DOOR_44 -> C24 -> START_R28 -> C26 -> EXIT_A,True,True
R21,Conference Room A,START_R21,EXIT_G,11.0,11,START_R21 -> H18 -> DOOR_29 -> H16 -> G16 -> F16 -> E16 -> D16 -> C16 -> B16 -> A16 -> EXIT_G,True,True
R22,Conference Room B,START_R22,EXIT_F,13.75,13,START_R22 -> N18.5 -> O18.5 -> DOOR_33 -> P18.5 -> P19 -> P20 -> P21 -> P22 -> P23 -> P24 -> P25 -> P26 -> EXIT_F,True,True
