source,target,edge_type,distance,capacity,notes
AA10,AB10,navigation,1,3,adjacent room grid points
AA10,START_R10,room_start,1,4,room center connected to adjacent graph node
AA10,Z10,navigation,1,3,adjacent room grid points
AA12,DOOR_19,room_to_door,1,1,upper room side of doorway
AA12,Z12,navigation,1,3,adjacent room grid points
AA14,DOOR_19,room_to_door,1,1,lower room side of doorway
AA14,Z14,navigation,1,3,adjacent room grid points
AA16,AB16,navigation,1,2,adjacent hallway or shared grid points
AA16,Z16,navigation,1,2,adjacent hallway or shared grid points
AA18,AA19,navigation,1.5,3,adjacent room grid points
AA18,AB18,navigation,1,3,adjacent room grid points
AA18,Z18,navigation,1,3,adjacent room grid points
AA19,AA20,navigation,1,3,adjacent room grid points
AA19,AB19,navigation,1,3,adjacent room grid points
AA19,Z19,navigation,1,3,adjacent room grid points
AA2,AB2,navigation,1,3,adjacent room grid points
AA2,START_R06,room_start,1.25,4,room center connected to adjacent graph node
AA2,Z2,navigation,1,3,adjacent room grid points
AA20,AB20,navigation,1,3,adjacent room grid points
AA20,Z20,navigation,1,3,adjacent room grid points
AA21.5,AA22,navigation,1,2,adjacent hallway or shared grid points
AA21.5,AB21.5,navigation,1,2,adjacent hallway or shared grid points
AA21.5,Z21.5,navigation,1,2,adjacent hallway or shared grid points
AA22,AA23,navigation,1,2,adjacent hallway or shared grid points
AA22,AB22,navigation,1,2,adjacent hallway or shared grid points
AA22,Z22,navigation,1,2,adjacent hallway or shared grid points
AA23,AA24,navigation,1,2,adjacent hallway or shared grid points
AA23,AB23,navigation,1,2,adjacent hallway or shared grid points
AA23,Z23,navigation,1,2,adjacent hallway or shared grid points
AA24,AA25,navigation,1,2,adjacent hallway or shared grid points
AA25,AA26,navigation,1,2,adjacent hallway or shared grid points
AA26,AA27,navigation,1.5,2,adjacent hallway or shared grid points
AA26,DOOR_40,door_to_hallway,1,1,hallway side of doorway
AA26,DOOR_42,door_to_hallway,1,1,hallway side of doorway
AA27,EXIT_E,exit,1,3,interior graph connected to evacuation exit
AA4,AB4,navigation,1,3,adjacent room grid points
AA4,Z4,navigation,1,3,adjacent room grid points
AA6,AB6,navigation,1,2,adjacent hallway or shared grid points
AA6,Z6,navigation,1,2,adjacent hallway or shared grid points
AA8,AB8,navigation,1,3,adjacent room grid points
AA8,Z8,navigation,1,3,adjacent room grid points
AB10,AB11,navigation,1,3,adjacent room grid points
AB10,AB9,navigation,1,3,adjacent room grid points
AB11,AB12,navigation,1,2,adjacent hallway or shared grid points
AB12,AB13,navigation,1,2,adjacent hallway or shared grid points
AB13,AB14.5,navigation,1,2,adjacent hallway or shared grid points
