source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
DOOR_45,Q22,room_to_door,1.0,1.0,10.0,16,3,1.6,160.0,True
DOOR_29,L20,room_to_door,1.0,1.0,10.0,10,1,1.0,100.0,False
DOOR_29,N20,room_to_door,1.0,1.0,10.0,10,1,1.0,100.0,False
N23,O23,navigation,1.0,2.0,20.0,12,2,0.6,60.0,False
O23,P23,navigation,0.5,2.0,20.0,12,2,0.6,60.0,False
P22,P23,navigation,1.0,2.0,20.0,12,2,0.6,60.0,False
DOOR_45,EXIT_STAIRWELL,exit,1.0,3.0,30.0,16,3,0.5333333333333333,53.333333333333336,False
N21,N22,navigation,1.0,2.0,20.0,10,1,0.5,50.0,False
N22,N23,navigation,1.0,2.0,20.0,10,1,0.5,50.0,False
D6,DOOR_08,room_to_door,1.0,1.0,10.0,4,2,0.4,40.0,False
DOOR_08,F6,door_to_hallway,1.0,1.0,10.0,4,2,0.4,40.0,False
DOOR_09,O6,door_to_hallway,1.5,1.0,10.0,4,1,0.4,40.0,False
DOOR_09,O8,door_to_hallway,1.0,1.0,10.0,4,1,0.4,40.0,False
DOOR_30,T20,room_to_door,0.5,1.0,10.0,4,1,0.4,40.0,False
DOOR_30,V20,room_to_door,1.0,1.0,10.0,4,1,0.4,40.0,False
F2,F3,navigation,1.5,2.0,20.0,8,4,0.4,40.0,False
O2,O3,navigation,1.5,2.0,20.0,8,3,0.4,40.0,False
P22,Q22,navigation,1.0,3.0,30.0,12,2,0.4,40.0,False
X2,X3,navigation,1.5,2.0,20.0,8,4,0.4,40.0,False
AE16,AF16,navigation,1.0,2.0,20.0,7,4,0.35,35.0,False
H20,I20,navigation,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
I20,J20,navigation,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
J20,K20,navigation,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
K20,L20,navigation,1.0,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
N20,N21,navigation,1.5,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
B16,C16,navigation,1.0,2.0,20.0,6,3,0.3,30.0,False
C16,D16,navigation,1.0,2.0,20.0,6,3,0.3,30.0,False
D16,E16,navigation,1.0,2.0,20.0,6,3,0.3,30.0,False
E16,F16,navigation,1.0,2.0,20.0,6,3,0.3,30.0,False
F13,F14.5,navigation,1.5,2.0,20.0,6,3,0.3,30.0,False
F14.5,F16,navigation,1.5,2.0,20.0,6,3,0.3,30.0,False
EXIT_A,F2,exit,1.0,3.0,30.0,8,4,0.26666666666666666,26.666666666666668,False
EXIT_B,O2,exit,1.0,3.0,30.0,8,3,0.26666666666666666,26.666666666666668,False
EXIT_C,X2,exit,1.0,3.0,30.0,8,4,0.26666666666666666,26.666666666666668,False
AB13,AB14.5,navigation,1.0,2.0,20.0,5,3,0.25,25.0,False
AB14.5,AB16,navigation,1.5,2.0,20.0,5,3,0.25,25.0,False
AB16,AC16,navigation,1.0,2.0,20.0,5,3,0.25,25.0,False
AC16,AD16,navigation,1.0,2.0,20.0,5,3,0.25,25.0,False
AD16,AE16,navigation,1.0,2.0,20.0,5,3,0.25,25.0,False
H20,START_R36,room_start,1.0,4.0,40.0,10,1,0.25,25.0,False
AF16,EXIT_D,exit,1.0,3.0,30.0,7,4,0.23333333333333334,23.333333333333332,False
AA26,AA27,navigation,1.5,2.0,20.0,4,2,0.2,20.0,False
AA26,DOOR_40,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
AA26,DOOR_42,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
AA6,AB6,navigation,1.0,2.0,20.0,4,2,0.2,20.0,False
AA6,Z6,navigation,1.0,2.0,20.0,4,2,0.2,20.0,False
AB13,DOOR_20,door_to_hallway,0.5,1.0,10.0,2,1,0.2,20.0,False
AB6,AC6,navigation,1.0,2.0,20.0,4,2,0.2,20.0,False
AC26,DOOR_42,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
AC6,AD6,navigation,1.0,2.0,20.0,4,2,0.2,20.0,False
AD13,DOOR_20,room_to_door,1.5,1.0,10.0,2,1,0.2,20.0,False
AD6,AE6,navigation,1.0,2.0,20.0,4,2,0.2,20.0,False
AE16,DOOR_25,door_to_hallway,1.5,1.0,10.0,2,1,0.2,20.0,False
AE18,DOOR_25,room_to_door,1.5,1.0,10.0,2,1,0.2,20.0,False
AE4,DOOR_07,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
AE6,DOOR_07,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
AE6,DOOR_11,door_to_hallway,1.5,1.0,10.0,2,1,0.2,20.0,False
AE8,DOOR_11,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
B16,EXIT_H,exit,1.0,3.0,30.0,6,3,0.2,20.0,False
C8,DOOR_14,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
D26,DOOR_44,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
D3,DOOR_04,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_01,F3,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_01,H3,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_02,M3,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_02,O3,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_03,O3,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_03,Q3,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_04,F3,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_05,V3,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_05,X3,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_06,X3,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_06,Z3,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_14,START_R35,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_15,F9,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_15,H9,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_21,E13,room_to_door,0.5,1.0,10.0,2,1,0.2,20.0,False
DOOR_21,F13,door_to_hallway,0.5,1.0,10.0,2,1,0.2,20.0,False
DOOR_22,F13,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_22,H13,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_34,M23,door_to_hallway,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_34,M25,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
DOOR_39,P26,room_to_door,1.0,1.0,10.0,2,1,0.2,20.0,False
