node_id,node_type,grid_position,capacity_units,effective_capacity_people,occupants_using_node,rooms_using_node,utilization_ratio,utilization_percent,is_congested
DOOR_45,door,Q21,1.0,10.0,16,3,1.6,160.0,True
Q22,navigation,Q22,1.0,10.0,16,3,1.6,160.0,True
O23,navigation,O23,1.0,10.0,12,2,1.2,120.0,True
DOOR_29,door,M20,1.0,10.0,10,1,1.0,100.0,False
L20,navigation,L20,1.0,10.0,10,1,1.0,100.0,False
N20,navigation,N20,1.0,10.0,10,1,1.0,100.0,False
F3,navigation,F3,1.0,10.0,8,4,0.8,80.0,False
O3,navigation,O3,1.0,10.0,8,3,0.8,80.0,False
X3,navigation,X3,1.0,10.0,8,4,0.8,80.0,False
AE16,navigation,AE16,1.0,10.0,7,4,0.7,70.0,False
F13,navigation,F13,1.0,10.0,6,3,0.6,60.0,False
N23,navigation,N23,2.0,20.0,12,2,0.6,60.0,False
P22,navigation,P22,2.0,20.0,12,2,0.6,60.0,False
P23,navigation,P23,2.0,20.0,12,2,0.6,60.0,False
EXIT_STAIRWELL,exit,Q20,3.0,30.0,16,4,0.5333333333333333,53.333333333333336,False
AB13,navigation,AB13,1.0,10.0,5,3,0.5,50.0,False
N21,navigation,N21,2.0,20.0,10,1,0.5,50.0,False
N22,navigation,N22,2.0,20.0,10,1,0.5,50.0,False
AA26,navigation,AA26,1.0,10.0,4,2,0.4,40.0,False
AB6,navigation,AB6,1.0,10.0,4,2,0.4,40.0,False
AE6,navigation,AE6,1.0,10.0,4,2,0.4,40.0,False
D6,navigation,D6,1.0,10.0,4,2,0.4,40.0,False
DOOR_08,door,E6,1.0,10.0,4,2,0.4,40.0,False
DOOR_09,door,O7,1.0,10.0,4,1,0.4,40.0,False
DOOR_30,door,U20,1.0,10.0,4,1,0.4,40.0,False
F2,navigation,F2,2.0,20.0,8,4,0.4,40.0,False
F26,navigation,F26,1.0,10.0,4,2,0.4,40.0,False
F6,navigation,F6,1.0,10.0,4,2,0.4,40.0,False
O2,navigation,O2,2.0,20.0,8,3,0.4,40.0,False
O6,navigation,O6,1.0,10.0,4,1,0.4,40.0,False
O8,navigation,O8,1.0,10.0,4,1,0.4,40.0,False
R26,navigation,R26,1.0,10.0,4,2,0.4,40.0,False
T20,navigation,T20,1.0,10.0,4,1,0.4,40.0,False
V20,navigation,V20,1.0,10.0,4,1,0.4,40.0,False
X2,navigation,X2,2.0,20.0,8,4,0.4,40.0,False
AF16,navigation,AF16,2.0,20.0,7,4,0.35,35.0,False
H20,navigation,H20,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
I20,navigation,I20,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
J20,navigation,J20,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
K20,navigation,K20,3.0,30.0,10,1,0.3333333333333333,33.33333333333333,False
B16,navigation,B16,2.0,20.0,6,3,0.3,30.0,False
C16,navigation,C16,2.0,20.0,6,3,0.3,30.0,False
D16,navigation,D16,2.0,20.0,6,3,0.3,30.0,False
E16,navigation,E16,2.0,20.0,6,3,0.3,30.0,False
F14.5,navigation,F14.5,2.0,20.0,6,3,0.3,30.0,False
F16,navigation,F16,2.0,20.0,6,3,0.3,30.0,False
EXIT_A,exit,F1,3.0,30.0,8,4,0.26666666666666666,26.666666666666668,False
EXIT_B,exit,O1,3.0,30.0,8,3,0.26666666666666666,26.666666666666668,False
EXIT_C,exit,X1,3.0,30.0,8,4,0.26666666666666666,26.666666666666668,False
AB14.5,navigation,AB14.5,2.0,20.0,5,3,0.25,25.0,False
AB16,navigation,AB16,2.0,20.0,5,3,0.25,25.0,False
AC16,navigation,AC16,2.0,20.0,5,3,0.25,25.0,False
AD16,navigation,AD16,2.0,20.0,5,3,0.25,25.0,False
EXIT_D,exit,AG16,3.0,30.0,7,4,0.23333333333333334,23.333333333333332,False
AA27,navigation,AA27,2.0,20.0,4,2,0.2,20.0,False
AA6,navigation,AA6,2.0,20.0,4,2,0.2,20.0,False
AC26,navigation,AC26,1.0,10.0,2,1,0.2,20.0,False
AC6,navigation,AC6,2.0,20.0,4,2,0.2,20.0,False
AD13,navigation,AD13,1.0,10.0,2,1,0.2,20.0,False
AD6,navigation,AD6,2.0,20.0,4,2,0.2,20.0,False
AE18,navigation,AE18,1.0,10.0,2,1,0.2,20.0,False
AE4,navigation,AE4,1.0,10.0,2,1,0.2,20.0,False
AE8,navigation,AE8,1.0,10.0,2,1,0.2,20.0,False
C8,navigation,C8,1.0,10.0,2,1,0.2,20.0,False
D26,navigation,D26,1.0,10.0,2,1,0.2,20.0,False
D3,navigation,D3,1.0,10.0,2,1,0.2,20.0,False
DOOR_01,door,G3,1.0,10.0,2,1,0.2,20.0,False
DOOR_02,door,N3,1.0,10.0,2,1,0.2,20.0,False
DOOR_03,door,P3,1.0,10.0,2,1,0.2,20.0,False
DOOR_04,door,E3,1.0,10.0,2,1,0.2,20.0,False
DOOR_05,door,W3,1.0,10.0,2,1,0.2,20.0,False
DOOR_06,door,Y3,1.0,10.0,2,1,0.2,20.0,False
DOOR_07,door,AE5,1.0,10.0,2,1,0.2,20.0,False
DOOR_11,door,AE7,1.0,10.0,2,1,0.2,20.0,False
DOOR_14,door,C7,1.0,10.0,2,1,0.2,20.0,False
DOOR_15,door,G9,1.0,10.0,2,1,0.2,20.0,False
DOOR_20,door,AC13,1.0,10.0,2,1,0.2,20.0,False
DOOR_21,door,E_A13,1.0,10.0,2,1,0.2,20.0,False
DOOR_22,door,G13,1.0,10.0,2,1,0.2,20.0,False
DOOR_25,door,AE17,1.0,10.0,2,1,0.2,20.0,False
DOOR_34,door,M24,1.0,10.0,2,1,0.2,20.0,False
DOOR_39,door,Q26,1.0,10.0,2,1,0.2,20.0,False
DOOR_40,door,Z26,1.0,10.0,2,1,0.2,20.0,False
DOOR_41,door,S26,1.0,10.0,2,1,0.2,20.0,False
DOOR_42,door,AB26,1.0,10.0,2,1,0.2,20.0,False
DOOR_43,door,G26,1.0,10.0,2,1,0.2,20.0,False
DOOR_44,door,E26,1.0,10.0,2,1,0.2,20.0,False
E13,navigation,E13,1.0,10.0,2,1,0.2,20.0,False
EXIT_H,exit,A16,3.0,30.0,6,3,0.2,20.0,False
F27,navigation,F27,2.0,20.0,4,2,0.2,20.0,False
F4,navigation,F4,2.0,20.0,4,2,0.2,20.0,False
F5,navigation,F5,2.0,20.0,4,2,0.2,20.0,False
F9,navigation,F9,1.0,10.0,2,1,0.2,20.0,False
H13,navigation,H13,1.0,10.0,2,1,0.2,20.0,False
H26,navigation,H26,1.0,10.0,2,1,0.2,20.0,False
H3,navigation,H3,1.0,10.0,2,1,0.2,20.0,False
H9,navigation,H9,1.0,10.0,2,1,0.2,20.0,False
M23,navigation,M23,1.0,10.0,2,1,0.2,20.0,False
M25,navigation,M25,1.0,10.0,2,1,0.2,20.0,False
M3,navigation,M3,1.0,10.0,2,1,0.2,20.0,False
O10.25,navigation,O10.25,2.0,20.0,4,1,0.2,20.0,False
O4,navigation,O4,2.0,20.0,4,1,0.2,20.0,False
O5,navigation,O5,2.0,20.0,4,1,0.2,20.0,False
O9,navigation,O9,2.0,20.0,4,1,0.2,20.0,False
P26,navigation,P26,1.0,10.0,2,1,0.2,20.0,False
Q3,navigation,Q3,1.0,10.0,2,1,0.2,20.0,False
R22,navigation,R22,2.0,20.0,4,1,0.2,20.0,False
R27,navigation,R27,2.0,20.0,4,2,0.2,20.0,False
S21,navigation,S21,2.0,20.0,4,1,0.2,20.0,False
S22,navigation,S22,2.0,20.0,4,1,0.2,20.0,False
T26,navigation,T26,1.0,10.0,2,1,0.2,20.0,False
V3,navigation,V3,1.0,10.0,2,1,0.2,20.0,False
X4,navigation,X4,2.0,20.0,4,2,0.2,20.0,False
X5,navigation,X5,2.0,20.0,4,2,0.2,20.0,False
X6,navigation,X6,2.0,20.0,4,2,0.2,20.0,False
Y26,navigation,Y26,1.0,10.0,2,1,0.2,20.0,False
Y6,navigation,Y6,2.0,20.0,4,2,0.2,20.0,False
Z3,navigation,Z3,1.0,10.0,2,1,0.2,20.0,False
Z6,navigation,Z6,2.0,20.0,4,2,0.2,20.0,False
EXIT_E,exit,AA28,3.0,30.0,4,2,0.13333333333333333,13.333333333333334,False
EXIT_F,exit,R28,3.0,30.0,4,2,0.13333333333333333,13.333333333333334,False
EXIT_G,exit,F28,3.0,30.0,4,2,0.13333333333333333,13.333333333333334,False
O11.25,navigation,O11.25,3.0,30.0,4,1,0.13333333333333333,13.333333333333334,False
O12.5,navigation,O12.5,3.0,30.0,4,1,0.13333333333333333,13.333333333333334,False
P12.5,navigation,P12.5,3.0,30.0,4,1,0.13333333333333333,13.333333333333334,False
S20,navigation,S20,3.0,30.0,4,1,0.13333333333333333,13.333333333333334,False
W20,navigation,W20,3.0,30.0,4,1,0.13333333333333333,13.333333333333334,False
X20,navigation,X20,3.0,30.0,4,1,0.13333333333333333,13.333333333333334,False
AB11,navigation,AB11,2.0,20.0,2,1,0.1,10.0,False
AB12,navigation,AB12,2.0,20.0,2,1,0.1,10.0,False
DOOR_19,door,AA13,1.0,10.0,1,1,0.1,10.0,False
F10.5,navigation,F10.5,2.0,20.0,2,1,0.1,10.0,False
F12,navigation,F12,2.0,20.0,2,1,0.1,10.0,False
AA10,navigation,AA10,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
AB10,navigation,AB10,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
AD26,navigation,AD26,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
AE19,navigation,AE19,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
D13,navigation,D13,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
AA12,navigation,AA12,1.0,10.0,0,0,0.0,0.0,False
AA14,navigation,AA14,1.0,10.0,0,0,0.0,0.0,False
AA16,navigation,AA16,2.0,20.0,0,0,0.0,0.0,False
AA18,navigation,AA18,3.0,30.0,0,0,0.0,0.0,False
AA19,navigation,AA19,3.0,30.0,0,0,0.0,0.0,False
AA2,navigation,AA2,3.0,30.0,0,0,0.0,0.0,False
