edge_id,source,target,edge_type,distance,capacity_units,effective_capacity_people,selected_load_people,utilization,utilization_percent,over_capacity,overload_ratio,congestion_cost,overload_cost
E316:I18--DOOR_28,I18,DOOR_28,room_to_door,1.0,1.0,10.0,10.0,1.0,100.0,False,0.0,5.0,0.0
E354:K18--DOOR_28,K18,DOOR_28,door_to_hallway,1.0,1.0,10.0,10.0,1.0,100.0,False,0.0,5.0,0.0
E251:F2--F3,F2,F3,navigation,1.5,2.0,20.0,16.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E264:F3--F4,F3,F4,navigation,1.5,2.0,20.0,16.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E265:F4--F5,F4,F5,navigation,1.0,2.0,20.0,16.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E266:F5--F6,F5,F6,navigation,1.0,2.0,20.0,16.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E504:Q22--DOOR_45,Q22,DOOR_45,room_to_door,1.0,1.0,10.0,8.0,0.8,80.0,False,0.0,3.2000000000000006,0.0
E352:K16--K17,K16,K17,navigation,1.0,2.0,20.0,14.0,0.7,70.0,False,0.0,2.4499999999999997,0.0
E353:K17--K18,K17,K18,navigation,1.5,2.0,20.0,14.0,0.7,70.0,False,0.0,2.4499999999999997,0.0
E193:C8--DOOR_14,C8,DOOR_14,room_to_door,1.0,1.0,10.0,6.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E218:DOOR_14--START_R35,DOOR_14,START_R35,door_to_hallway,1.0,1.0,10.0,6.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E224:DOOR_26--Q16,DOOR_26,Q16,door_to_hallway,1.0,1.0,10.0,6.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E225:DOOR_26--Q18,DOOR_26,Q18,room_to_door,1.0,1.0,10.0,6.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E258:F26--DOOR_43,F26,DOOR_43,door_to_hallway,1.0,1.0,10.0,6.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E269:F6--G6,F6,G6,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E279:G6--H6,G6,H6,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E301:H26--DOOR_43,H26,DOOR_43,room_to_door,1.0,1.0,10.0,6.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E309:H6--I6,H6,I6,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E332:I6--J6,I6,J6,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E344:J6--K6,J6,K6,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E345:K10.5--K11.5,K10.5,K11.5,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
E346:K10.5--K9,K10.5,K9,navigation,1.0,2.0,20.0,12.0,0.6,60.0,False,0.0,1.7999999999999998,0.0
