rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
1,0.5451096001398241,1,True,0,28,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_F | x_R04_EXIT_D | x_R05_EXIT_D | x_R06_EXIT_C | x_R07_EXIT_A | x_R08_EXIT_B | x_R09_EXIT_A | x_R10_EXIT_E | x_R11_EXIT_D | x_R12_EXIT_B | x_R13_EXIT_B | x_R14_EXIT_B | x_R15_EXIT_C | x_R16_EXIT_D | x_R20_EXIT_F | x_R24_EXIT_F | x_R25_EXIT_F | x_R28_EXIT_G | x_R29_EXIT_H | x_R30_EXIT_H | x_R31_EXIT_STAIRWELL | x_R32_EXIT_F | x_R33_EXIT_F | x_R34_EXIT_F | x_R35_EXIT_B | x_R36_EXIT_STAIRWELL
2,0.585537136710343,1,True,0,28,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_A | x_R04_EXIT_E | x_R05_EXIT_C | x_R06_EXIT_G | x_R07_EXIT_C | x_R08_EXIT_H | x_R09_EXIT_B | x_R10_EXIT_F | x_R11_EXIT_B | x_R12_EXIT_B | x_R13_EXIT_A | x_R14_EXIT_B | x_R15_EXIT_B | x_R16_EXIT_D | x_R20_EXIT_E | x_R24_EXIT_C | x_R25_EXIT_D | x_R28_EXIT_A | x_R29_EXIT_H | x_R30_EXIT_F | x_R31_EXIT_F | x_R32_EXIT_F | x_R33_EXIT_A | x_R34_EXIT_E | x_R35_EXIT_B | x_R36_EXIT_H
3,0.6342415361021381,1,True,0,28,x_R01_EXIT_A | x_R02_EXIT_STAIRWELL | x_R03_EXIT_G | x_R04_EXIT_B | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_F | x_R08_EXIT_C | x_R09_EXIT_C | x_R10_EXIT_H | x_R11_EXIT_B | x_R12_EXIT_H | x_R13_EXIT_D | x_R14_EXIT_C | x_R15_EXIT_D | x_R16_EXIT_D | x_R20_EXIT_F | x_R24_EXIT_H | x_R25_EXIT_D | x_R28_EXIT_E | x_R29_EXIT_B | x_R30_EXIT_B | x_R31_EXIT_F | x_R32_EXIT_F | x_R33_EXIT_E | x_R34_EXIT_STAIRWELL | x_R35_EXIT_A | x_R36_EXIT_H
4,0.6405650739213229,1,True,0,28,x_R01_EXIT_H | x_R02_EXIT_A | x_R03_EXIT_A | x_R04_EXIT_B | x_R05_EXIT_B | x_R06_EXIT_G | x_R07_EXIT_B | x_R08_EXIT_B | x_R09_EXIT_D | x_R10_EXIT_A | x_R11_EXIT_C | x_R12_EXIT_C | x_R13_EXIT_STAIRWELL | x_R14_EXIT_H | x_R15_EXIT_B | x_R16_EXIT_C | x_R20_EXIT_E | x_R24_EXIT_STAIRWELL | x_R25_EXIT_F | x_R28_EXIT_D | x_R29_EXIT_F | x_R30_EXIT_H | x_R31_EXIT_H | x_R32_EXIT_F | x_R33_EXIT_F | x_R34_EXIT_STAIRWELL | x_R35_EXIT_D | x_R36_EXIT_STAIRWELL
5,0.6415684124859808,1,True,0,28,x_R01_EXIT_E | x_R02_EXIT_A | x_R03_EXIT_A | x_R04_EXIT_F | x_R05_EXIT_C | x_R06_EXIT_C | x_R07_EXIT_D | x_R08_EXIT_A | x_R09_EXIT_D | x_R10_EXIT_B | x_R11_EXIT_D | x_R12_EXIT_F | x_R13_EXIT_C | x_R14_EXIT_D | x_R15_EXIT_D | x_R16_EXIT_STAIRWELL | x_R20_EXIT_F | x_R24_EXIT_D | x_R25_EXIT_STAIRWELL | x_R28_EXIT_STAIRWELL | x_R29_EXIT_STAIRWELL | x_R30_EXIT_D | x_R31_EXIT_STAIRWELL | x_R32_EXIT_D | x_R33_EXIT_H | x_R34_EXIT_E | x_R35_EXIT_B | x_R36_EXIT_B
6,0.648500027414002,1,True,0,28,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_B | x_R04_EXIT_D | x_R05_EXIT_A | x_R06_EXIT_F | x_R07_EXIT_B | x_R08_EXIT_A | x_R09_EXIT_E | x_R10_EXIT_A | x_R11_EXIT_D | x_R12_EXIT_G | x_R13_EXIT_B | x_R14_EXIT_A | x_R15_EXIT_D | x_R16_EXIT_F | x_R20_EXIT_D | x_R24_EXIT_G | x_R25_EXIT_STAIRWELL | x_R28_EXIT_G | x_R29_EXIT_STAIRWELL | x_R30_EXIT_F | x_R31_EXIT_E | x_R32_EXIT_H | x_R33_EXIT_G | x_R34_EXIT_E | x_R35_EXIT_F | x_R36_EXIT_H
7,0.6526005057519342,1,True,0,28,x_R01_EXIT_A | x_R02_EXIT_C | x_R03_EXIT_G | x_R04_EXIT_D | x_R05_EXIT_C | x_R06_EXIT_STAIRWELL | x_R07_EXIT_C | x_R08_EXIT_D | x_R09_EXIT_C | x_R10_EXIT_A | x_R11_EXIT_G | x_R12_EXIT_F | x_R13_EXIT_A | x_R14_EXIT_F | x_R15_EXIT_C | x_R16_EXIT_B | x_R20_EXIT_G | x_R24_EXIT_STAIRWELL | x_R25_EXIT_D | x_R28_EXIT_H | x_R29_EXIT_G | x_R30_EXIT_G | x_R31_EXIT_E | x_R32_EXIT_F | x_R33_EXIT_D | x_R34_EXIT_STAIRWELL | x_R35_EXIT_A | x_R36_EXIT_STAIRWELL
8,0.6640210453500686,1,True,0,28,x_R01_EXIT_A | x_R02_EXIT_D | x_R03_EXIT_B | x_R04_EXIT_C | x_R05_EXIT_B | x_R06_EXIT_D | x_R07_EXIT_STAIRWELL | x_R08_EXIT_A | x_R09_EXIT_A | x_R10_EXIT_E | x_R11_EXIT_B | x_R12_EXIT_A | x_R13_EXIT_F | x_R14_EXIT_B | x_R15_EXIT_H | x_R16_EXIT_F | x_R20_EXIT_STAIRWELL | x_R24_EXIT_B | x_R25_EXIT_STAIRWELL | x_R28_EXIT_F | x_R29_EXIT_A | x_R30_EXIT_STAIRWELL | x_R31_EXIT_STAIRWELL | x_R32_EXIT_B | x_R33_EXIT_F | x_R34_EXIT_STAIRWELL | x_R35_EXIT_C | x_R36_EXIT_STAIRWELL
9,0.664557795490964,1,True,0,28,x_R01_EXIT_A | x_R02_EXIT_C | x_R03_EXIT_A | x_R04_EXIT_G | x_R05_EXIT_C | x_R06_EXIT_D | x_R07_EXIT_H | x_R08_EXIT_H | x_R09_EXIT_H | x_R10_EXIT_B | x_R11_EXIT_STAIRWELL | x_R12_EXIT_A | x_R13_EXIT_H | x_R14_EXIT_F | x_R15_EXIT_A | x_R16_EXIT_D | x_R20_EXIT_D | x_R24_EXIT_B | x_R25_EXIT_B | x_R28_EXIT_G | x_R29_EXIT_STAIRWELL | x_R30_EXIT_H | x_R31_EXIT_H | x_R32_EXIT_H | x_R33_EXIT_STAIRWELL | x_R34_EXIT_D | x_R35_EXIT_A | x_R36_EXIT_H
10,0.6654205249161578,1,True,0,28,x_R01_EXIT_D | x_R02_EXIT_STAIRWELL | x_R03_EXIT_H | x_R04_EXIT_H | x_R05_EXIT_B | x_R06_EXIT_C | x_R07_EXIT_D | x_R08_EXIT_H | x_R09_EXIT_STAIRWELL | x_R10_EXIT_D | x_R11_EXIT_D | x_R12_EXIT_B | x_R13_EXIT_H | x_R14_EXIT_A | x_R15_EXIT_A | x_R16_EXIT_C | x_R20_EXIT_B | x_R24_EXIT_F | x_R25_EXIT_C | x_R28_EXIT_G | x_R29_EXIT_G | x_R30_EXIT_G | x_R31_EXIT_D | x_R32_EXIT_B | x_R33_EXIT_G | x_R34_EXIT_D | x_R35_EXIT_B | x_R36_EXIT_A
11,0.6660955792557957,1,True,0,28,x_R01_EXIT_C | x_R02_EXIT_B | x_R03_EXIT_B | x_R04_EXIT_E | x_R05_EXIT_D | x_R06_EXIT_C | x_R07_EXIT_B | x_R08_EXIT_STAIRWELL | x_R09_EXIT_STAIRWELL | x_R10_EXIT_B | x_R11_EXIT_E | x_R12_EXIT_STAIRWELL | x_R13_EXIT_B | x_R14_EXIT_STAIRWELL | x_R15_EXIT_H | x_R16_EXIT_D | x_R20_EXIT_STAIRWELL | x_R24_EXIT_G | x_R25_EXIT_D | x_R28_EXIT_E | x_R29_EXIT_G | x_R30_EXIT_STAIRWELL | x_R31_EXIT_C | x_R32_EXIT_F | x_R33_EXIT_F | x_R34_EXIT_A | x_R35_EXIT_STAIRWELL | x_R36_EXIT_H
