room_id,room_name,occupancy,selected_exit,route_id,distance,edge_count,path,edge_ids
R01,Apartment 102,2,EXIT_A,R01__EXIT_A,5.5,5,START_R01 -> D3 -> DOOR_04 -> F3 -> F2 -> EXIT_A,E578:START_R01--D3 | E212:D3--DOOR_04 | E263:F3--DOOR_04 | E251:F2--F3 | E250:F2--EXIT_A
R02,Apartment 103,2,EXIT_A,R02__EXIT_A,5.5,5,START_R02 -> H3 -> DOOR_01 -> F3 -> F2 -> EXIT_A,E307:H3--START_R02 | E305:H3--DOOR_01 | E262:F3--DOOR_01 | E251:F2--F3 | E250:F2--EXIT_A
R03,Apartment 106,2,EXIT_F,R03__EXIT_F,35.5,32,START_R03 -> M3 -> DOOR_02 -> O3 -> O4 -> O5 -> O6 -> DOOR_09 -> O8 -> O9 -> O10.25 -> O11.25 -> O12.5 -> O13.5 -> O15 -> O16 -> P16 -> Q16 -> DOOR_26 -> Q18 -> R18 -> S18 -> S19 -> S20 -> S21 -> S22 -> R22 -> R23 -> R24 -> R25 -> R26 -> R27 -> EXIT_F,E582:START_R03--M3 | E402:M3--DOOR_02 | E458:O3--DOOR_02 | E460:O3--O4 | E461:O4--O5 | E462:O5--O6 | E463:O6--DOOR_09 | E465:O8--DOOR_09 | E466:O8--O9 | E436:O10.25--O9 | E435:O10.25--O11.25 | E438:O11.25--O12.5 | E440:O12.5--O13.5 | E442:O13.5--O15 | E444:O15--O16 | E446:O16--P16 | E479:P16--Q16 | E224:DOOR_26--Q16 | E225:DOOR_26--Q18 | E501:Q18--R18 | E528:R18--S18 | E558:S18--S19 | E560:S19--S20 | E563:S20--S21 | E565:S21--S22 | E532:R22--S22 | E531:R22--R23 | E533:R23--R24 | E535:R24--R25 | E536:R25--R26 | E539:R26--R27 | E540:R27--EXIT_F
R04,Apartment 104,2,EXIT_D,R04__EXIT_D,33.5,33,START_R04 -> Q3 -> DOOR_03 -> O3 -> O4 -> O5 -> O6 -> P6 -> Q6 -> R6 -> S6 -> T6 -> U6 -> V6 -> W6 -> X6 -> X7 -> X8 -> X9 -> X10.5 -> X11.5 -> X12.5 -> X13.5 -> X15 -> X16 -> Y16 -> Z16 -> AA16 -> AB16 -> AC16 -> AD16 -> AE16 -> AF16 -> EXIT_D,E510:Q3--START_R04 | E508:Q3--DOOR_03 | E459:O3--DOOR_03 | E460:O3--O4 | E461:O4--O5 | E462:O5--O6 | E464:O6--P6 | E487:P6--Q6 | E512:Q6--R6 | E542:R6--S6 | E572:S6--T6 | E665:T6--U6 | E693:U6--V6 | E719:V6--W6 | E735:W6--X6 | E766:X6--X7 | E768:X7--X8 | E769:X8--X9 | E737:X10.5--X9 | E736:X10.5--X11.5 | E738:X11.5--X12.5 | E739:X12.5--X13.5 | E740:X13.5--X15 | E742:X15--X16 | E744:X16--Y16 | E771:Y16--Z16 | E009:AA16--Z16 | E008:AA16--AB16 | E050:AB16--AC16 | E061:AC16--AD16 | E078:AD16--AE16 | E105:AE16--AF16 | E131:AF16--EXIT_D
R05,Apartment 101,2,EXIT_D,R05__EXIT_D,24.5,24,START_R05 -> V3 -> DOOR_05 -> X3 -> X4 -> X5 -> X6 -> X7 -> X8 -> X9 -> X10.5 -> X11.5 -> X12.5 -> X13.5 -> X15 -> X16 -> Y16 -> Z16 -> AA16 -> AB16 -> AC16 -> AD16 -> AE16 -> AF16 -> EXIT_D,E586:START_R05--V3 | E717:V3--DOOR_05 | E761:X3--DOOR_05 | E763:X3--X4 | E764:X4--X5 | E765:X5--X6 | E766:X6--X7 | E768:X7--X8 | E769:X8--X9 | E737:X10.5--X9 | E736:X10.5--X11.5 | E738:X11.5--X12.5 | E739:X12.5--X13.5 | E740:X13.5--X15 | E742:X15--X16 | E744:X16--Y16 | E771:Y16--Z16 | E009:AA16--Z16 | E008:AA16--AB16 | E050:AB16--AC16 | E061:AC16--AD16 | E078:AD16--AE16 | E105:AE16--AF16 | E131:AF16--EXIT_D
R06,Apartment 105,2,EXIT_C,R06__EXIT_C,5.5,5,START_R06 -> Z3 -> DOOR_06 -> X3 -> X2 -> EXIT_C,E589:START_R06--Z3 | E790:Z3--DOOR_06 | E762:X3--DOOR_06 | E750:X2--X3 | E749:X2--EXIT_C
R07,Apartment 107,2,EXIT_A,R07__EXIT_A,34.25,33,START_R07 -> AE4 -> DOOR_07 -> AE6 -> AD6 -> AC6 -> AB6 -> AA6 -> Z6 -> Y6 -> X6 -> W6 -> V6 -> U6 -> T6 -> S6 -> R6 -> Q6 -> P6 -> O6 -> N6 -> M6 -> L6 -> K6 -> J6 -> I6 -> H6 -> G6 -> F6 -> F5 -> F4 -> F3 -> F2 -> EXIT_A,E591:START_R07--AE4 | E122:AE4--DOOR_07 | E124:AE6--DOOR_07 | E096:AD6--AE6 | E069:AC6--AD6 | E058:AB6--AC6 | E038:AA6--AB6 | E039:AA6--Z6 | E781:Y6--Z6 | E767:X6--Y6 | E735:W6--X6 | E719:V6--W6 | E693:U6--V6 | E665:T6--U6 | E572:S6--T6 | E542:R6--S6 | E512:Q6--R6 | E487:P6--Q6 | E464:O6--P6 | E431:N6--O6 | E404:M6--N6 | E380:L6--M6 | E363:K6--L6 | E344:J6--K6 | E332:I6--J6 | E309:H6--I6 | E279:G6--H6 | E269:F6--G6 | E266:F5--F6 | E265:F4--F5 | E264:F3--F4 | E251:F2--F3 | E250:F2--EXIT_A
R08,Apartment 109,2,EXIT_B,R08__EXIT_B,21.25,20,START_R08 -> C8 -> DOOR_14 -> START_R35 -> D6 -> DOOR_08 -> F6 -> G6 -> H6 -> I6 -> J6 -> K6 -> L6 -> M6 -> N6 -> O6 -> O5 -> O4 -> O3 -> O2 -> EXIT_B,E593:START_R08--C8 | E193:C8--DOOR_14 | E218:DOOR_14--START_R35 | E635:START_R35--D6 | E213:D6--DOOR_08 | E267:F6--DOOR_08 | E269:F6--G6 | E279:G6--H6 | E309:H6--I6 | E332:I6--J6 | E344:J6--K6 | E363:K6--L6 | E380:L6--M6 | E404:M6--N6 | E431:N6--O6 | E462:O5--O6 | E461:O4--O5 | E460:O3--O4 | E449:O2--O3 | E448:O2--EXIT_B
R09,Apartment 111,2,EXIT_A,R09__EXIT_A,18.0,18,START_R09 -> H9 -> DOOR_15 -> F9 -> DOOR_16 -> E9 -> D9 -> D8 -> C8 -> DOOR_14 -> START_R35 -> D6 -> DOOR_08 -> F6 -> F5 -> F4 -> F3 -> F2 -> EXIT_A,E595:START_R09--H9 | E312:H9--DOOR_15 | E219:DOOR_15--F9 | E221:DOOR_16--F9 | E220:DOOR_16--E9 | E216:D9--E9 | E214:D8--D9 | E192:C8--D8 | E193:C8--DOOR_14 | E218:DOOR_14--START_R35 | E635:START_R35--D6 | E213:D6--DOOR_08 | E267:F6--DOOR_08 | E266:F5--F6 | E265:F4--F5 | E264:F3--F4 | E251:F2--F3 | E250:F2--EXIT_A
R10,Printer Room,2,EXIT_E,R10__EXIT_E,37.5,34,START_R10 -> AA10 -> AB10 -> AB11 -> AB12 -> AB13 -> AB14.5 -> AB16 -> AA16 -> Z16 -> Y16 -> X16 -> X17 -> X18 -> W18 -> V18 -> U18 -> T18 -> T19 -> T20 -> T21 -> T22 -> U22 -> U23 -> V23 -> W23 -> X23 -> DOOR_36 -> X25 -> Y25 -> Y26 -> DOOR_40 -> AA26 -> AA27 -> EXIT_E,E002:AA10--START_R10 | E001:AA10--AB10 | E042:AB10--AB11 | E044:AB11--AB12 | E045:AB12--AB13 | E046:AB13--AB14.5 | E049:AB14.5--AB16 | E008:AA16--AB16 | E009:AA16--Z16 | E771:Y16--Z16 | E744:X16--Y16 | E743:X16--X17 | E745:X17--X18 | E722:W18--X18 | E704:V18--W18 | E681:U18--V18 | E652:T18--U18 | E651:T18--T19 | E653:T19--T20 | E655:T20--T21 | E656:T21--T22 | E658:T22--U22 | E684:U22--U23 | E687:U23--V23 | E714:V23--W23 | E730:W23--X23 | E755:X23--DOOR_36 | E757:X25--DOOR_36 | E759:X25--Y25 | E778:Y25--Y26 | E779:Y26--DOOR_40 | E033:AA26--DOOR_40 | E032:AA26--AA27 | E035:AA27--EXIT_E
