source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
K15,EXIT_B,exit,1.0,3.0,30.0,110,5,3.6666666666666665,366.66666666666663,True
E10,DOOR_07,room_to_door,0.5,1.0,10.0,25,1,2.5,250.0,True
F2,DOOR_01,room_to_door,1.0,1.0,10.0,25,1,2.5,250.0,True
G10,DOOR_07,room_to_door,0.5,1.0,10.0,25,1,2.5,250.0,True
H14,DOOR_11,room_to_door,1.0,1.0,10.0,25,1,2.5,250.0,True
I2,DOOR_01,room_to_door,0.5,1.0,10.0,25,1,2.5,250.0,True
J14,DOOR_11,room_to_door,0.5,1.0,10.0,25,1,2.5,250.0,True
L14,DOOR_12,room_to_door,0.5,1.0,10.0,25,1,2.5,250.0,True
M2,DOOR_02,room_to_door,0.5,1.0,10.0,25,1,2.5,250.0,True
N14,DOOR_12,room_to_door,1.0,1.0,10.0,25,1,2.5,250.0,True
O10,DOOR_08,door_to_hallway,0.5,1.0,10.0,25,1,2.5,250.0,True
P2,DOOR_02,room_to_door,1.0,1.0,10.0,25,1,2.5,250.0,True
Q10,DOOR_08,room_to_door,0.5,1.0,10.0,25,1,2.5,250.0,True
K14,K15,navigation,1.0,3.0,30.0,60,3,2.0,200.0,True
K2,EXIT_A,exit,1.0,3.0,30.0,54,3,1.8,180.0,True
K14,L14,navigation,1.0,3.0,30.0,50,2,1.6666666666666667,166.66666666666669,True
F14,H14,navigation,1.0,2.0,20.0,25,1,1.25,125.0,True
G10,G11,navigation,1.0,2.0,20.0,25,1,1.25,125.0,True
G11,I11,navigation,1.0,2.0,20.0,25,1,1.25,125.0,True
M11,O11,navigation,1.0,2.0,20.0,25,1,1.25,125.0,True
O10,O11,navigation,1.0,2.0,20.0,25,1,1.25,125.0,True
J2,K2,navigation,1.0,3.0,30.0,29,2,0.9666666666666667,96.66666666666667,False
D2,E2,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
D9,D10,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
D10,E10,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
E2,F2,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
E14,F14,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
I2,J2,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
I11,J11,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
J11,J12,navigation,0.5,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
J12,J13,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
J13,J14,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
J14,J15,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
J14,K14,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
J15,K15,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
K2,L2,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
K12,K13,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
K12,L12,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
K13,K14,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
K15,L15,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
L2,M2,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
L11,L12,navigation,0.5,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
L11,M11,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
L14,L15,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
N14,P14,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
P2,P3,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
P3,Q3,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
P14,Q14,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
Q8,Q9,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
Q9,Q10,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
D2,START_R01,room_start,1.0,4.0,40.0,25,1,0.625,62.5,False
D9,START_R04,room_start,1.0,4.0,40.0,25,1,0.625,62.5,False
E14,START_R06,room_start,1.0,4.0,40.0,25,1,0.625,62.5,False
Q3,START_R03,room_start,1.0,4.0,40.0,25,1,0.625,62.5,False
Q8,START_R05,room_start,1.0,4.0,40.0,25,1,0.625,62.5,False
Q14,START_R08,room_start,1.0,4.0,40.0,25,1,0.625,62.5,False
K14,START_R07,room_start,0.5,4.0,40.0,10,1,0.25,25.0,False
J2,J3,navigation,1.0,3.0,30.0,4,1,0.13333333333333333,13.333333333333334,False
J3,START_R02,room_start,1.0,4.0,40.0,4,1,0.1,10.0,False
B2,B3,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B2,C2,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B3,B4,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B3,C3,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B4,C4,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B6,B7,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B6,C6,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B7,B8,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B7,C7,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B8,B9,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B8,C8,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B9,B10,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B9,C9,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B10,B11,navigation,1.0,2.0,20.0,0,0,0.0,0.0,False
B10,C10,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B11,C11,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B13,B14,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B13,C13,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B14,B15,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B14,C14,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
B15,C15,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
C2,C3,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
