route_id,E001:B10--B11,E002:B10--B9,E003:B10--C10,E004:B11--C11,E005:B13--B14,E006:B13--C13,E007:B14--B15,E008:B14--C14,E009:B15--C15,E010:B2--B3,E011:B2--C2,E012:B3--B4,E013:B3--C3,E014:B4--C4,E015:B6--B7,E016:B6--C6,E017:B7--B8,E018:B7--C7,E019:B8--B9,E020:B8--C8,E021:B9--C9,E022:C10--C11,E023:C10--C9,E024:C10--D10,E025:C11--D11,E026:C13--C14,E027:C13--D13,E028:C14--C15,E029:C14--E14,E030:C15--D15,E031:C2--C3,E032:C2--D2,E033:C3--C4,E034:C3--START_R01,E035:C4--D4,E036:C6--C7,E037:C6--D6,E038:C7--C8,E039:C7--D7,E040:C8--C9,E041:C8--START_R04,E042:C9--D9,E043:D10--D11,E044:D10--D9,E045:D10--E10,E046:D11--DOOR_09,E047:D11--E11,E048:D13--D15,E049:D13--DOOR_09,E050:D13--E13,E051:D15--E15,E052:D2--E2,E053:D2--START_R01,E054:D4--DOOR_03,E055:D4--E4,E056:D6--D7,E057:D6--DOOR_03,E058:D6--E6,E059:D7--E7,E060:D7--START_R04,E061:D9--E9,E062:E10--DOOR_07,E063:E10--E11,E064:E10--E9,E065:E13--E14,E066:E13--F13,E067:E14--E15,E068:E14--F14,E069:E15--F15,E070:E2--E3,E071:E2--F2,E072:E3--E4,E073:E3--F3,E074:E6--DOOR_05,E075:E6--E7,E076:E7--E8,E077:E8--E9,E078:F13--F14,E079:F13--H13,E080:F14--F15,E081:F14--H14,E082:F15--H15,E083:F2--DOOR_01,E084:F2--F3,E085:G10--DOOR_07,E086:G10--G11,E087:G10--G9,E088:G11--I11,E089:G4--G6,E090:G4--I4,E091:G6--DOOR_05,E092:G6--G7,E093:G7--G8,E094:G8--G9,E095:H13--H14,E096:H14--DOOR_11,E097:H14--H15,E098:I11--J11,E099:I2--DOOR_01,E100:I2--I3,E101:I2--J2,E102:I3--I4,E103:I3--J3,E104:I4--J4,E105:J11--J12,E106:J11--K11,E107:J12--J13,E108:J12--K12,E109:J13--J14,E110:J13--K13,E111:J14--DOOR_11,E112:J14--J15,E113:J14--K14,E114:J15--K15,E115:J2--J3,E116:J2--K2,E117:J3--START_R02,E118:J4--K4,E119:K11--K12,E120:K11--L11,E121:K12--K13,E122:K12--L12,E123:K13--K14,E124:K13--L13,E125:K14--K15,E126:K14--L14,E127:K15--EXIT_B,E128:K15--L15,E129:K2--EXIT_A,E130:K2--L2,E131:K4--L4,E132:L11--L12,E133:L11--M11,E134:L12--L13,E135:L13--L14,E136:L14--DOOR_12,E137:L14--L15,E138:L2--L3,E139:L2--M2,E140:L3--M3,E141:L4--M4,E142:M11--O11,E143:M2--DOOR_02,E144:M2--M3,E145:M3--M4,E146:M4--O4,E147:N13--N14,E148:N14--DOOR_12,E149:N14--N15,E150:N14--P14,E151:O10--DOOR_08,E152:O10--O11,E153:O10--O9,E154:O4--O6,E155:O6--DOOR_06,E156:O6--O7,E157:O7--O8,E158:O8--O9,E159:P13--P14,E160:P14--P15,E161:P14--Q14,E162:P2--DOOR_02,E163:P2--P3,E164:P2--Q2,E165:P3--Q3,E166:Q10--DOOR_08,E167:Q10--Q11,E168:Q10--Q9,E169:Q10--R10,E170:Q11--R11,E171:Q14--START_R08,E172:Q2--Q3,E173:Q2--R2,E174:Q3--Q4,E175:Q3--START_R03,E176:Q4--R4,E177:Q6--DOOR_06,E178:Q6--Q7,E179:Q6--R6,E180:Q7--Q8,E181:Q7--R7,E182:Q8--Q9,E183:Q9--R9,E184:R10--R11,E185:R10--R9,E186:R10--S10,E187:R11--DOOR_10,E188:R11--S11,E189:R13--DOOR_10,E190:R13--S13,E191:R15--S15,E192:R2--S2,E193:R2--START_R03,E194:R4--DOOR_04,E195:R4--S4,E196:R6--DOOR_04,E197:R6--R7,E198:R6--S6,E199:R7--S7,E200:R9--S9,E201:S10--S11,E202:S10--S9,E203:S10--T10,E204:S11--T11,E205:S13--S14,E206:S13--T13,E207:S14--S15,E208:S14--T14,E209:S15--T15,E210:S2--S3,E211:S2--T2,E212:S3--S4,E213:S3--T3,E214:S4--T4,E215:S6--S7,E216:S6--T6,E217:S7--T7,E218:S9--T9,E219:START_R01--D4,E220:START_R01--E3,E221:START_R02--K4,E222:START_R02--L3,E223:START_R03--R4,E224:START_R03--S3,E225:START_R04--D9,E226:START_R04--E8,E227:START_R07--K14,E228:START_R08--R13,E229:START_R08--R15,E230:START_R08--S14,E231:T10--T11,E232:T10--T9,E233:T13--T14,E234:T14--T15,E235:T2--T3,E236:T3--T4,E237:T6--T7,E238:T7--T8,E239:T8--T9,E240:START_R06--C14,E241:START_R06--D13,E242:START_R06--D15,E243:START_R06--E14,E244:START_R05--Q8,E245:START_R05--R7,E246:START_R05--R9,E247:START_R05--S8,E248:S8--S7,E249:S8--S9,E250:S8--T8,E251:Q13--Q14,E252:Q14--Q15,E253:P13--Q13,E254:Q13--R13,E255:P15--Q15,E256:Q15--R15,E257:N13--P13,E258:N15--P15
R01__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,25,0,25,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,25,25,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,25,0,25,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,0,4,4,4,0,0,0,4,0,0,0,4,4,0,4,0,4,0,4,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,25,0,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,25,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R04__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R04__EXIT_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,25,0,25,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R05__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,25,0,25,0,0,0,0,25,25,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R05__EXIT_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,0,25,0,25,0,0,0,0,25,25,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
