edge_id,source,target,edge_type,distance,capacity_units,effective_capacity_people,selected_load_people,utilization,utilization_percent,over_capacity,overload_ratio,congestion_cost,overload_cost
E129:K2--EXIT_A,K2,EXIT_A,exit,1.0,3.0,30.0,104.0,3.466666666666667,346.6666666666667,True,2.466666666666667,60.088888888888896,30.422222222222224
E074:E6--DOOR_05,E6,DOOR_05,room_to_door,1.0,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E083:F2--DOOR_01,F2,DOOR_01,room_to_door,1.0,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E091:G6--DOOR_05,G6,DOOR_05,room_to_door,0.5,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E096:H14--DOOR_11,H14,DOOR_11,room_to_door,1.0,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E099:I2--DOOR_01,I2,DOOR_01,room_to_door,0.5,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E111:J14--DOOR_11,J14,DOOR_11,room_to_door,0.5,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E136:L14--DOOR_12,L14,DOOR_12,room_to_door,0.5,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E143:M2--DOOR_02,M2,DOOR_02,room_to_door,0.5,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E148:N14--DOOR_12,N14,DOOR_12,room_to_door,1.0,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E155:O6--DOOR_06,O6,DOOR_06,door_to_hallway,0.5,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E162:P2--DOOR_02,P2,DOOR_02,room_to_door,1.0,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E177:Q6--DOOR_06,Q6,DOOR_06,room_to_door,0.5,1.0,10.0,25.0,2.5,250.0,True,1.5,31.25,11.25
E127:K15--EXIT_B,K15,EXIT_B,exit,1.0,3.0,30.0,60.0,2.0,200.0,True,1.0,20.0,5.0
E116:J2--K2,J2,K2,navigation,1.0,3.0,30.0,54.0,1.8,180.0,True,0.8,16.200000000000003,3.2000000000000006
E101:I2--J2,I2,J2,navigation,1.0,3.0,30.0,50.0,1.6666666666666667,166.66666666666669,True,0.6666666666666667,13.888888888888891,2.2222222222222228
E130:K2--L2,K2,L2,navigation,1.0,3.0,30.0,50.0,1.6666666666666667,166.66666666666669,True,0.6666666666666667,13.888888888888891,2.2222222222222228
E081:F14--H14,F14,H14,navigation,1.0,2.0,20.0,25.0,1.25,125.0,True,0.25,7.8125,0.3125
E089:G4--G6,G4,G6,navigation,1.5,2.0,20.0,25.0,1.25,125.0,True,0.25,7.8125,0.3125
E090:G4--I4,G4,I4,navigation,1.0,2.0,20.0,25.0,1.25,125.0,True,0.25,7.8125,0.3125
E146:M4--O4,M4,O4,navigation,1.0,2.0,20.0,25.0,1.25,125.0,True,0.25,7.8125,0.3125
E154:O4--O6,O4,O6,navigation,1.5,2.0,20.0,25.0,1.25,125.0,True,0.25,7.8125,0.3125
E178:Q6--Q7,Q6,Q7,navigation,1.0,2.0,20.0,25.0,1.25,125.0,True,0.25,7.8125,0.3125
E125:K14--K15,K14,K15,navigation,1.0,3.0,30.0,35.0,1.1666666666666667,116.66666666666667,True,0.16666666666666674,6.805555555555557,0.138888888888889
E052:D2--E2,D2,E2,navigation,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
E056:D6--D7,D6,D7,navigation,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
E058:D6--E6,D6,E6,navigation,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
E068:E14--F14,E14,F14,navigation,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
E071:E2--F2,E2,F2,navigation,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
E100:I2--I3,I2,I3,navigation,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
E102:I3--I4,I3,I4,navigation,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
E112:J14--J15,J14,J15,navigation,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
E114:J15--K15,J15,K15,navigation,1.0,3.0,30.0,25.0,0.8333333333333334,83.33333333333334,False,0.0,3.4722222222222228,0.0
