rank,energy,num_occurrences,valid_exactly_one_exit_per_room,constraint_violation_count,selected_variable_count,selected_variables
1,1.5026583666328914,43,True,0,8,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_A | x_R04_EXIT_A | x_R05_EXIT_A | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_B
2,1.5074346018775433,38,True,0,8,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_A | x_R04_EXIT_B | x_R05_EXIT_A | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_B
3,1.510551980239331,60,True,0,8,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_A | x_R04_EXIT_A | x_R05_EXIT_B | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_B
4,1.538209000075243,55,True,0,8,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_A | x_R04_EXIT_B | x_R05_EXIT_B | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_B
5,1.6206875829397696,31,True,0,8,x_R01_EXIT_A | x_R02_EXIT_B | x_R03_EXIT_A | x_R04_EXIT_A | x_R05_EXIT_A | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_B
6,1.632242122080811,30,True,0,8,x_R01_EXIT_A | x_R02_EXIT_B | x_R03_EXIT_A | x_R04_EXIT_A | x_R05_EXIT_B | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_B
7,1.6401075203228253,35,True,0,8,x_R01_EXIT_A | x_R02_EXIT_B | x_R03_EXIT_A | x_R04_EXIT_B | x_R05_EXIT_A | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_B
8,1.6745428440551269,33,True,0,8,x_R01_EXIT_A | x_R02_EXIT_B | x_R03_EXIT_A | x_R04_EXIT_B | x_R05_EXIT_B | x_R06_EXIT_B | x_R07_EXIT_B | x_R08_EXIT_B
9,1.6814159746687984,31,True,0,8,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_A | x_R04_EXIT_B | x_R05_EXIT_A | x_R06_EXIT_B | x_R07_EXIT_A | x_R08_EXIT_B
10,1.6995205240153979,28,True,0,8,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_A | x_R04_EXIT_A | x_R05_EXIT_A | x_R06_EXIT_B | x_R07_EXIT_A | x_R08_EXIT_B
11,1.7028379807035847,31,True,0,8,x_R01_EXIT_A | x_R02_EXIT_A | x_R03_EXIT_A | x_R04_EXIT_A | x_R05_EXIT_B | x_R06_EXIT_B | x_R07_EXIT_A | x_R08_EXIT_B
