route_id,room_id,room_name,start_node,exit_node,occupancy,distance,edge_count,path,edge_ids
R01__EXIT_A,R01,West Gallery A,START_R01,EXIT_A,25,7.5,8,START_R01 -> D2 -> E2 -> F2 -> DOOR_01 -> I2 -> J2 -> K2 -> EXIT_A,E053:D2--START_R01 | E052:D2--E2 | E071:E2--F2 | E083:F2--DOOR_01 | E099:I2--DOOR_01 | E101:I2--J2 | E116:J2--K2 | E129:K2--EXIT_A
R01__EXIT_B,R01,West Gallery A,START_R01,EXIT_B,25,17.0,19,START_R01 -> D4 -> DOOR_03 -> D6 -> D7 -> E7 -> E8 -> E9 -> E10 -> DOOR_07 -> G10 -> G11 -> I11 -> J11 -> J12 -> J13 -> J14 -> J15 -> K15 -> EXIT_B,E219:START_R01--D4 | E054:D4--DOOR_03 | E057:D6--DOOR_03 | E056:D6--D7 | E059:D7--E7 | E076:E7--E8 | E077:E8--E9 | E064:E10--E9 | E062:E10--DOOR_07 | E085:G10--DOOR_07 | E086:G10--G11 | E088:G11--I11 | E098:I11--J11 | E105:J11--J12 | E107:J12--J13 | E109:J13--J14 | E112:J14--J15 | E114:J15--K15 | E127:K15--EXIT_B
R02__EXIT_A,R02,Front Desk,START_R02,EXIT_A,4,4.0,4,START_R02 -> J3 -> J2 -> K2 -> EXIT_A,E117:J3--START_R02 | E115:J2--J3 | E116:J2--K2 | E129:K2--EXIT_A
R02__EXIT_B,R02,Front Desk,START_R02,EXIT_B,4,18.0,18,START_R02 -> J3 -> I3 -> I4 -> G4 -> G6 -> G7 -> G8 -> G9 -> G10 -> G11 -> I11 -> J11 -> J12 -> J13 -> J14 -> J15 -> K15 -> EXIT_B,E117:J3--START_R02 | E103:I3--J3 | E102:I3--I4 | E090:G4--I4 | E089:G4--G6 | E092:G6--G7 | E093:G7--G8 | E094:G8--G9 | E087:G10--G9 | E086:G10--G11 | E088:G11--I11 | E098:I11--J11 | E105:J11--J12 | E107:J12--J13 | E109:J13--J14 | E112:J14--J15 | E114:J15--K15 | E127:K15--EXIT_B
R03__EXIT_A,R03,East Gallery A,START_R03,EXIT_A,25,7.5,8,START_R03 -> Q3 -> P3 -> P2 -> DOOR_02 -> M2 -> L2 -> K2 -> EXIT_A,E175:Q3--START_R03 | E165:P3--Q3 | E163:P2--P3 | E162:P2--DOOR_02 | E143:M2--DOOR_02 | E139:L2--M2 | E130:K2--L2 | E129:K2--EXIT_A
R03__EXIT_B,R03,East Gallery A,START_R03,EXIT_B,25,17.0,19,START_R03 -> R4 -> DOOR_04 -> R6 -> Q6 -> DOOR_06 -> O6 -> O7 -> O8 -> O9 -> O10 -> O11 -> M11 -> L11 -> L12 -> K12 -> K13 -> K14 -> K15 -> EXIT_B,E223:START_R03--R4 | E194:R4--DOOR_04 | E196:R6--DOOR_04 | E179:Q6--R6 | E177:Q6--DOOR_06 | E155:O6--DOOR_06 | E156:O6--O7 | E157:O7--O8 | E158:O8--O9 | E153:O10--O9 | E152:O10--O11 | E142:M11--O11 | E133:L11--M11 | E132:L11--L12 | E122:K12--L12 | E121:K12--K13 | E123:K13--K14 | E125:K14--K15 | E127:K15--EXIT_B
R04__EXIT_A,R04,West Gallery B,START_R04,EXIT_A,25,12.0,12,START_R04 -> D7 -> D6 -> E6 -> DOOR_05 -> G6 -> G4 -> I4 -> I3 -> I2 -> J2 -> K2 -> EXIT_A,E060:D7--START_R04 | E056:D6--D7 | E058:D6--E6 | E074:E6--DOOR_05 | E091:G6--DOOR_05 | E089:G4--G6 | E090:G4--I4 | E102:I3--I4 | E100:I2--I3 | E101:I2--J2 | E116:J2--K2 | E129:K2--EXIT_A
R04__EXIT_B,R04,West Gallery B,START_R04,EXIT_B,25,12.5,14,START_R04 -> D9 -> D10 -> E10 -> DOOR_07 -> G10 -> G11 -> I11 -> J11 -> J12 -> J13 -> J14 -> J15 -> K15 -> EXIT_B,E225:START_R04--D9 | E044:D10--D9 | E045:D10--E10 | E062:E10--DOOR_07 | E085:G10--DOOR_07 | E086:G10--G11 | E088:G11--I11 | E098:I11--J11 | E105:J11--J12 | E107:J12--J13 | E109:J13--J14 | E112:J14--J15 | E114:J15--K15 | E127:K15--EXIT_B
R05__EXIT_A,R05,East Gallery B,START_R05,EXIT_A,25,11.5,12,START_R05 -> Q8 -> Q7 -> Q6 -> DOOR_06 -> O6 -> O4 -> M4 -> M3 -> L3 -> L2 -> K2 -> EXIT_A,E244:START_R05--Q8 | E180:Q7--Q8 | E178:Q6--Q7 | E177:Q6--DOOR_06 | E155:O6--DOOR_06 | E154:O4--O6 | E146:M4--O4 | E145:M3--M4 | E140:L3--M3 | E138:L2--L3 | E130:K2--L2 | E129:K2--EXIT_A
R05__EXIT_B,R05,East Gallery B,START_R05,EXIT_B,25,12.5,14,START_R05 -> Q8 -> Q9 -> Q10 -> DOOR_08 -> O10 -> O11 -> M11 -> L11 -> L12 -> K12 -> K13 -> K14 -> K15 -> EXIT_B,E244:START_R05--Q8 | E182:Q8--Q9 | E168:Q10--Q9 | E166:Q10--DOOR_08 | E151:O10--DOOR_08 | E152:O10--O11 | E142:M11--O11 | E133:L11--M11 | E132:L11--L12 | E122:K12--L12 | E121:K12--K13 | E123:K13--K14 | E125:K14--K15 | E127:K15--EXIT_B
