room_id,room_name,start_node,occupancy,selected_exit,distance,congestion_penalty,combined_cost,hops,path
R01,Doctor's Office,START_R01,3,EXIT_C,7.0,4.129513888888889,11.12951388888889,8,START_R01 -> N3 -> M3 -> L3 -> K3 -> DOOR_02 -> I3 -> I2 -> EXIT_C
R02,Staff Room,START_R02,6,EXIT_C,6.5,4.7625,11.2625,7,START_R02 -> E3 -> F3 -> G3 -> DOOR_01 -> I3 -> I2 -> EXIT_C
R03,Exam Room 1,START_R03,2,EXIT_C,16.0,10.325000000000003,26.324999999999996,18,START_R03 -> P8 -> DOOR_10 -> P10 -> O10 -> N10 -> M10 -> L10 -> DOOR_08 -> L8 -> START_R06 -> K7 -> DOOR_04 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C
R04,Exam Room 2,START_R04,2,EXIT_C,13.5,13.06111111111111,26.56111111111111,16,START_R04 -> D8 -> E8 -> DOOR_06 -> E10 -> F10 -> G10 -> DOOR_07 -> G8 -> G7 -> DOOR_03 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C
R05,Exam Room 3,START_R05,2,EXIT_C,7.5,16.68888888888889,24.18888888888889,8,START_R05 -> G7 -> DOOR_03 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C
R06,Exam Room 4,START_R06,2,EXIT_C,7.5,20.487500000000004,27.987500000000004,8,START_R06 -> K7 -> DOOR_04 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C
R07,Exam Room 5,START_R07,2,EXIT_B,20.75,11.893055555555556,32.643055555555556,22,START_R07 -> N8 -> DOOR_09 -> N10 -> M10 -> L10 -> K10 -> J10 -> J11 -> J12 -> I12 -> I14 -> I15 -> I16 -> I18 -> H18 -> G18 -> F18 -> E18 -> D18 -> C18 -> B18 -> EXIT_B
R08,Exam Room 6,START_R08,2,EXIT_B,26.5,16.34166666666667,42.841666666666654,29,START_R08 -> B8 -> C8 -> DOOR_05 -> C10 -> D10 -> E10 -> F10 -> G10 -> G11 -> DOOR_13 -> I11 -> I12 -> I14 -> I15 -> I16 -> I18 -> I20 -> I21 -> DOOR_22 -> G21 -> START_R14 -> F20 -> DOOR_19 -> F18 -> E18 -> D18 -> C18 -> B18 -> EXIT_B
R09,Lab Room 1,START_R09,4,EXIT_C,12.5,4.833333333333334,17.333333333333332,13,START_R09 -> E11 -> F11 -> G11 -> DOOR_13 -> I11 -> I10 -> I8 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C
R10,Bathroom A,START_R10,1,EXIT_C,12.5,22.83090277777778,35.33090277777778,14,START_R10 -> M11 -> L11 -> DOOR_11 -> L10 -> K10 -> J10 -> I10 -> I8 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C
R11,Bathroom B,START_R11,1,EXIT_C,13.5,26.246180555555558,39.746180555555554,15,START_R11 -> N11 -> DOOR_12 -> N10 -> M10 -> L10 -> K10 -> J10 -> I10 -> I8 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C
R12,Nurse Room,START_R12,3,EXIT_C,15.5,9.662847222222224,25.162847222222226,16,START_R12 -> E15 -> F15 -> G15 -> DOOR_16 -> I15 -> I14 -> I12 -> I11 -> I10 -> I8 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C
R13,Lab Room 2,START_R13,4,EXIT_B,14.0,3.627777777777779,17.627777777777773,14,START_R13 -> L15 -> K15 -> DOOR_17 -> I15 -> I16 -> I18 -> H18 -> G18 -> F18 -> E18 -> D18 -> C18 -> B18 -> EXIT_B
R14,Exam Room 7,START_R14,2,EXIT_B,7.0,12.538888888888888,19.538888888888888,8,START_R14 -> F20 -> DOOR_19 -> F18 -> E18 -> D18 -> C18 -> B18 -> EXIT_B
R15,Exam Room 8,START_R15,2,EXIT_B,12.5,19.87916666666667,32.37916666666668,14,START_R15 -> K21 -> DOOR_23 -> I21 -> DOOR_22 -> G21 -> G20 -> F20 -> DOOR_19 -> F18 -> E18 -> D18 -> C18 -> B18 -> EXIT_B
R16,Procedure Room,START_R16,4,EXIT_B,15.5,8.80555555555556,24.305555555555557,17,START_R16 -> O20 -> DOOR_21 -> O18 -> N18 -> M18 -> L18 -> K18 -> J18 -> I18 -> H18 -> G18 -> F18 -> E18 -> D18 -> C18 -> B18 -> EXIT_B
R17,Supply Room,START_R17,1,EXIT_B,4.0,5.321180555555555,9.321180555555555,5,START_R17 -> C20 -> DOOR_18 -> C18 -> B18 -> EXIT_B
R18,Observation Room,START_R18,4,EXIT_A,13.75,8.345833333333333,22.09583333333333,15,START_R18 -> E25 -> F25 -> DOOR_24 -> H25 -> H26 -> I26 -> DOOR_26 -> I28 -> I29 -> I30 -> I32 -> I33 -> START_R24 -> H34 -> EXIT_A
R19,Physical Therapy Room,START_R19,4,EXIT_A,14.25,15.834722222222227,30.084722222222226,15,START_R19 -> M25 -> L25 -> DOOR_25 -> J25 -> I25 -> I26 -> DOOR_26 -> I28 -> I29 -> I30 -> I32 -> H32 -> START_R24 -> H34 -> EXIT_A
R20,Consultation Room,START_R20,4,EXIT_A,6.1,9.840277777777779,15.940277777777778,8,START_R20 -> F30 -> G30 -> DOOR_30 -> G32 -> H32 -> START_R24 -> H34 -> EXIT_A
