edge_id,source,target,distance,capacity_units,edge_type
E001:B10--B11,B10,B11,1.0,3.0,navigation
E002:B10--C10,B10,C10,1.0,3.0,navigation
E003:B11--B12,B11,B12,1.0,3.0,navigation
E004:B11--C11,B11,C11,1.0,3.0,navigation
E005:B12--C12,B12,C12,1.0,3.0,navigation
E006:B14--B15,B14,B15,1.0,3.0,navigation
E007:B14--C14,B14,C14,1.0,3.0,navigation
E008:B15--B16,B15,B16,1.0,3.0,navigation
E009:B15--C15,B15,C15,1.0,3.0,navigation
E010:B16--C16,B16,C16,1.0,3.0,navigation
E011:B18--C18,B18,C18,1.0,2.0,navigation
E012:B18--EXIT_B,B18,EXIT_B,1.0,3.0,exit
E013:B2--B3,B2,B3,1.0,3.0,navigation
E014:B2--C2,B2,C2,1.0,3.0,navigation
E015:B20--B21,B20,B21,1.0,3.0,navigation
E016:B20--C20,B20,C20,1.0,3.0,navigation
E017:B21--B22,B21,B22,1.0,3.0,navigation
E018:B21--START_R17,B21,START_R17,1.0,4.0,room_start
E019:B22--C22,B22,C22,1.0,3.0,navigation
E020:B24--B25,B24,B25,1.0,3.0,navigation
E021:B24--C24,B24,C24,1.0,3.0,navigation
E022:B25--B26,B25,B26,1.0,3.0,navigation
E023:B25--C25,B25,C25,1.0,3.0,navigation
E024:B26--C26,B26,C26,1.0,3.0,navigation
E025:B28--C28,B28,C28,1.0,3.0,navigation
E026:B28--START_R22,B28,START_R22,1.2,4.0,room_start
E027:B3--B4,B3,B4,1.0,3.0,navigation
E028:B3--C3,B3,C3,1.0,3.0,navigation
E029:B30--C30,B30,C30,1.0,3.0,navigation
E030:B32--B33,B32,B33,1.0,2.0,navigation
E031:B32--C32,B32,C32,1.0,2.0,navigation
E032:B33--B34,B33,B34,1.0,2.0,navigation
E033:B33--C33,B33,C33,1.0,2.0,navigation
E034:B34--C34,B34,C34,1.0,2.0,navigation
E035:B4--C4,B4,C4,1.0,3.0,navigation
E036:B6--C6,B6,C6,1.0,3.0,navigation
E037:B8--C8,B8,C8,1.0,3.0,navigation
E038:C10--C11,C10,C11,1.0,3.0,navigation
E039:C10--D10,C10,D10,1.0,3.0,navigation
E040:C10--DOOR_05,C10,DOOR_05,0.5,1.0,room_to_door
E041:C11--C12,C11,C12,1.0,3.0,navigation
E042:C11--START_R09,C11,START_R09,1.0,4.0,room_start
E043:C12--D12,C12,D12,1.0,3.0,navigation
E044:C14--C15,C14,C15,1.0,3.0,navigation
E045:C14--D14,C14,D14,1.0,3.0,navigation
E046:C15--C16,C15,C16,1.0,3.0,navigation
E047:C15--START_R12,C15,START_R12,1.0,4.0,room_start
E048:C16--D16,C16,D16,1.0,3.0,navigation
E049:C18--D18,C18,D18,1.0,2.0,navigation
E050:C18--DOOR_18,C18,DOOR_18,0.5,1.0,door_to_hallway
E051:C2--C3,C2,C3,1.0,3.0,navigation
E052:C2--D2,C2,D2,1.0,3.0,navigation
E053:C20--D20,C20,D20,1.0,3.0,navigation
E054:C20--DOOR_18,C20,DOOR_18,0.5,1.0,room_to_door
E055:C22--D22,C22,D22,1.0,3.0,navigation
E056:C24--C25,C24,C25,1.0,3.0,navigation
E057:C24--D24,C24,D24,1.0,3.0,navigation
E058:C25--C26,C25,C26,1.0,3.0,navigation
E059:C25--START_R18,C25,START_R18,1.0,4.0,room_start
E060:C26--D26,C26,D26,1.0,3.0,navigation
E061:C28--C29,C28,C29,1.0,3.0,navigation
E062:C29--C30,C29,C30,1.0,3.0,navigation
E063:C29--DOOR_27,C29,DOOR_27,1.0,1.0,room_to_door
E064:C3--C4,C3,C4,1.0,3.0,navigation
E065:C3--START_R02,C3,START_R02,1.0,4.0,room_start
E066:C32--C33,C32,C33,1.0,2.0,navigation
E067:C32--D32,C32,D32,1.0,2.0,navigation
E068:C33--C34,C33,C34,1.0,2.0,navigation
E069:C33--D33,C33,D33,1.0,2.0,navigation
E070:C34--D34,C34,D34,1.0,2.0,navigation
E071:C4--D4,C4,D4,1.0,3.0,navigation
E072:C6--C7,C6,C7,1.0,3.0,navigation
E073:C7--C8,C7,C8,1.0,3.0,navigation
E074:C8--DOOR_05,C8,DOOR_05,0.5,1.0,room_to_door
E075:D10--E10,D10,E10,1.0,3.0,navigation
