room_id,room_name,primary_exit,sequence_index,node_id,node_type,grid_position
R01,Doctor's Office,EXIT_C,0,START_R01,room_start,N3
R01,Doctor's Office,EXIT_C,1,N3,navigation,N3
R01,Doctor's Office,EXIT_C,2,M3,navigation,M3
R01,Doctor's Office,EXIT_C,3,L3,navigation,L3
R01,Doctor's Office,EXIT_C,4,K3,navigation,K3
R01,Doctor's Office,EXIT_C,5,DOOR_02,door,J3
R01,Doctor's Office,EXIT_C,6,I3,navigation,I3
R01,Doctor's Office,EXIT_C,7,I2,navigation,I2
R01,Doctor's Office,EXIT_C,8,EXIT_C,exit,I1
R02,Staff Room,EXIT_C,0,START_R02,room_start,D3
R02,Staff Room,EXIT_C,1,E3,navigation,E3
R02,Staff Room,EXIT_C,2,F3,navigation,F3
R02,Staff Room,EXIT_C,3,G3,navigation,G3
R02,Staff Room,EXIT_C,4,DOOR_01,door,H3
R02,Staff Room,EXIT_C,5,I3,navigation,I3
R02,Staff Room,EXIT_C,6,I2,navigation,I2
R02,Staff Room,EXIT_C,7,EXIT_C,exit,I1
R03,Exam Room 1,EXIT_C,0,START_R03,room_start,P7
R03,Exam Room 1,EXIT_C,1,P8,navigation,P8
R03,Exam Room 1,EXIT_C,2,DOOR_10,door,P9
R03,Exam Room 1,EXIT_C,3,P10,navigation,P10
R03,Exam Room 1,EXIT_C,4,O10,navigation,O10
R03,Exam Room 1,EXIT_C,5,N10,navigation,N10
R03,Exam Room 1,EXIT_C,6,M10,navigation,M10
R03,Exam Room 1,EXIT_C,7,L10,navigation,L10
R03,Exam Room 1,EXIT_C,8,K10,navigation,K10
R03,Exam Room 1,EXIT_C,9,J10,navigation,J10
R03,Exam Room 1,EXIT_C,10,I10,navigation,I10
R03,Exam Room 1,EXIT_C,11,I8,navigation,I8
R03,Exam Room 1,EXIT_C,12,I7,navigation,I7
R03,Exam Room 1,EXIT_C,13,I5.5,navigation,I5.5
R03,Exam Room 1,EXIT_C,14,I4,navigation,I4
R03,Exam Room 1,EXIT_C,15,I3,navigation,I3
R03,Exam Room 1,EXIT_C,16,I2,navigation,I2
R03,Exam Room 1,EXIT_C,17,EXIT_C,exit,I1
R04,Exam Room 2,EXIT_C,0,START_R04,room_start,D7
R04,Exam Room 2,EXIT_C,1,D8,navigation,D8
R04,Exam Room 2,EXIT_C,2,E8,navigation,E8
R04,Exam Room 2,EXIT_C,3,DOOR_06,door,E9
R04,Exam Room 2,EXIT_C,4,E10,navigation,E10
R04,Exam Room 2,EXIT_C,5,F10,navigation,F10
R04,Exam Room 2,EXIT_C,6,G10,navigation,G10
R04,Exam Room 2,EXIT_C,7,DOOR_07,door,G9
R04,Exam Room 2,EXIT_C,8,G8,navigation,G8
R04,Exam Room 2,EXIT_C,9,G7,navigation,G7
R04,Exam Room 2,EXIT_C,10,DOOR_03,door,H7
R04,Exam Room 2,EXIT_C,11,I7,navigation,I7
R04,Exam Room 2,EXIT_C,12,I5.5,navigation,I5.5
R04,Exam Room 2,EXIT_C,13,I4,navigation,I4
R04,Exam Room 2,EXIT_C,14,I3,navigation,I3
R04,Exam Room 2,EXIT_C,15,I2,navigation,I2
R04,Exam Room 2,EXIT_C,16,EXIT_C,exit,I1
R05,Exam Room 3,EXIT_C,0,START_R05,room_start,F7
R05,Exam Room 3,EXIT_C,1,G7,navigation,G7
R05,Exam Room 3,EXIT_C,2,DOOR_03,door,H7
R05,Exam Room 3,EXIT_C,3,I7,navigation,I7
R05,Exam Room 3,EXIT_C,4,I5.5,navigation,I5.5
R05,Exam Room 3,EXIT_C,5,I4,navigation,I4
R05,Exam Room 3,EXIT_C,6,I3,navigation,I3
R05,Exam Room 3,EXIT_C,7,I2,navigation,I2
R05,Exam Room 3,EXIT_C,8,EXIT_C,exit,I1
R06,Exam Room 4,EXIT_C,0,START_R06,room_start,L7
R06,Exam Room 4,EXIT_C,1,K7,navigation,K7
R06,Exam Room 4,EXIT_C,2,DOOR_04,door,J7
R06,Exam Room 4,EXIT_C,3,I7,navigation,I7
R06,Exam Room 4,EXIT_C,4,I5.5,navigation,I5.5
R06,Exam Room 4,EXIT_C,5,I4,navigation,I4
R06,Exam Room 4,EXIT_C,6,I3,navigation,I3
R06,Exam Room 4,EXIT_C,7,I2,navigation,I2
R06,Exam Room 4,EXIT_C,8,EXIT_C,exit,I1
R07,Exam Room 5,EXIT_C,0,START_R07,room_start,N7
R07,Exam Room 5,EXIT_C,1,N8,navigation,N8
R07,Exam Room 5,EXIT_C,2,DOOR_09,door,N9
R07,Exam Room 5,EXIT_C,3,N10,navigation,N10
R07,Exam Room 5,EXIT_C,4,M10,navigation,M10
R07,Exam Room 5,EXIT_C,5,L10,navigation,L10
R07,Exam Room 5,EXIT_C,6,K10,navigation,K10
