room_id,room_name,occupancy,selected_exit,route_id,distance,edge_count,path,edge_ids
R01,Doctor's Office,3,EXIT_C,R01__EXIT_C,7.0,8,START_R01 -> N3 -> M3 -> L3 -> K3 -> DOOR_02 -> I3 -> I2 -> EXIT_C,E441:START_R01--N3 | E346:M3--N3 | E320:L3--M3 | E280:K3--L3 | E278:K3--DOOR_02 | E237:I3--DOOR_02 | E219:I2--I3 | E218:I2--EXIT_C
R02,Staff Room,6,EXIT_C,R02__EXIT_C,6.5,7,START_R02 -> E3 -> F3 -> G3 -> DOOR_01 -> I3 -> I2 -> EXIT_C,E443:START_R02--E3 | E128:E3--F3 | E160:F3--G3 | E183:G3--DOOR_01 | E236:I3--DOOR_01 | E219:I2--I3 | E218:I2--EXIT_C
R03,Exam Room 1,2,EXIT_C,R03__EXIT_C,15.75,17,START_R03 -> P8 -> DOOR_10 -> P10 -> O10 -> N10 -> M10 -> L10 -> K10 -> J10 -> I10 -> I8 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C,E445:START_R03--P8 | E440:P8--DOOR_10 | E425:P10--DOOR_10 | E392:O10--P10 | E359:N10--O10 | E329:M10--N10 | E296:L10--M10 | E260:K10--L10 | E250:J10--K10 | E205:I10--J10 | E204:I10--I8 | E248:I7--I8 | E245:I5.5--I7 | E244:I4--I5.5 | E238:I3--I4 | E219:I2--I3 | E218:I2--EXIT_C
R04,Exam Room 2,2,EXIT_C,R04__EXIT_C,13.5,16,START_R04 -> D8 -> E8 -> DOOR_06 -> E10 -> F10 -> G10 -> DOOR_07 -> G8 -> G7 -> DOOR_03 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C,E447:START_R04--D8 | E100:D8--E8 | E137:E8--DOOR_06 | E101:E10--DOOR_06 | E103:E10--F10 | E139:F10--G10 | E168:G10--DOOR_07 | E192:G8--DOOR_07 | E191:G7--G8 | E190:G7--DOOR_03 | E246:I7--DOOR_03 | E245:I5.5--I7 | E244:I4--I5.5 | E238:I3--I4 | E219:I2--I3 | E218:I2--EXIT_C
R05,Exam Room 3,2,EXIT_C,R05__EXIT_C,7.5,8,START_R05 -> G7 -> DOOR_03 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C,E497:START_R05--G7 | E190:G7--DOOR_03 | E246:I7--DOOR_03 | E245:I5.5--I7 | E244:I4--I5.5 | E238:I3--I4 | E219:I2--I3 | E218:I2--EXIT_C
R06,Exam Room 4,2,EXIT_C,R06__EXIT_C,7.5,8,START_R06 -> K7 -> DOOR_04 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C,E498:K7--START_R06 | E291:K7--DOOR_04 | E247:I7--DOOR_04 | E245:I5.5--I7 | E244:I4--I5.5 | E238:I3--I4 | E219:I2--I3 | E218:I2--EXIT_C
R07,Exam Room 5,2,EXIT_B,R07__EXIT_B,20.75,22,START_R07 -> N8 -> DOOR_09 -> N10 -> M10 -> L10 -> K10 -> J10 -> I10 -> I11 -> I12 -> I14 -> I15 -> I16 -> I18 -> H18 -> G18 -> F18 -> E18 -> D18 -> C18 -> B18 -> EXIT_B,E453:START_R07--N8 | E391:N8--DOOR_09 | E357:N10--DOOR_09 | E329:M10--N10 | E296:L10--M10 | E260:K10--L10 | E250:J10--K10 | E205:I10--J10 | E203:I10--I11 | E207:I11--I12 | E209:I12--I14 | E211:I14--I15 | E214:I15--I16 | E215:I16--I18 | E193:H18--I18 | E175:G18--H18 | E149:F18--G18 | E112:E18--F18 | E081:D18--E18 | E049:C18--D18 | E011:B18--C18 | E012:B18--EXIT_B
R08,Exam Room 6,2,EXIT_C,R08__EXIT_C,15.5,18,START_R08 -> B8 -> C8 -> DOOR_05 -> C10 -> D10 -> E10 -> F10 -> G10 -> DOOR_07 -> G8 -> G7 -> DOOR_03 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C,E455:START_R08--B8 | E037:B8--C8 | E074:C8--DOOR_05 | E040:C10--DOOR_05 | E039:C10--D10 | E075:D10--E10 | E103:E10--F10 | E139:F10--G10 | E168:G10--DOOR_07 | E192:G8--DOOR_07 | E191:G7--G8 | E190:G7--DOOR_03 | E246:I7--DOOR_03 | E245:I5.5--I7 | E244:I4--I5.5 | E238:I3--I4 | E219:I2--I3 | E218:I2--EXIT_C
R09,Lab Room 1,4,EXIT_C,R09__EXIT_C,12.5,13,START_R09 -> E11 -> F11 -> G11 -> DOOR_13 -> I11 -> I10 -> I8 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C,E457:START_R09--E11 | E105:E11--F11 | E141:F11--G11 | E170:G11--DOOR_13 | E206:I11--DOOR_13 | E203:I10--I11 | E204:I10--I8 | E248:I7--I8 | E245:I5.5--I7 | E244:I4--I5.5 | E238:I3--I4 | E219:I2--I3 | E218:I2--EXIT_C
R10,Bathroom A,1,EXIT_C,R10__EXIT_C,12.5,14,START_R10 -> M11 -> L11 -> DOOR_11 -> L10 -> K10 -> J10 -> I10 -> I8 -> I7 -> I5.5 -> I4 -> I3 -> I2 -> EXIT_C,E458:START_R10--M11 | E299:L11--M11 | E297:L11--DOOR_11 | E295:L10--DOOR_11 | E260:K10--L10 | E250:J10--K10 | E205:I10--J10 | E204:I10--I8 | E248:I7--I8 | E245:I5.5--I7 | E244:I4--I5.5 | E238:I3--I4 | E219:I2--I3 | E218:I2--EXIT_C
