i,j,variable_i,variable_j,coefficient
0,0,x_R01_EXIT_C,x_R01_EXIT_C,-2.199079118154716
0,1,x_R01_EXIT_C,x_R01_EXIT_B,4.429102508161945
0,2,x_R01_EXIT_C,x_R01_EXIT_A,4.429102508161945
0,3,x_R01_EXIT_C,x_R02_EXIT_C,0.000995756545184368
0,6,x_R01_EXIT_C,x_R03_EXIT_C,0.00033191884839478927
0,9,x_R01_EXIT_C,x_R04_EXIT_C,0.00033191884839478927
0,12,x_R01_EXIT_C,x_R05_EXIT_C,0.00033191884839478927
0,15,x_R01_EXIT_C,x_R06_EXIT_C,0.00033191884839478927
0,18,x_R01_EXIT_C,x_R07_EXIT_C,0.00033191884839478927
0,21,x_R01_EXIT_C,x_R08_EXIT_C,0.00033191884839478927
0,24,x_R01_EXIT_C,x_R09_EXIT_C,0.0006638376967895785
0,27,x_R01_EXIT_C,x_R10_EXIT_C,0.00016595942419739463
0,30,x_R01_EXIT_C,x_R11_EXIT_C,0.00016595942419739463
0,33,x_R01_EXIT_C,x_R12_EXIT_C,0.000497878272592184
0,36,x_R01_EXIT_C,x_R13_EXIT_C,0.0006638376967895785
0,39,x_R01_EXIT_C,x_R14_EXIT_C,0.00033191884839478927
0,42,x_R01_EXIT_C,x_R15_EXIT_C,0.00033191884839478927
0,45,x_R01_EXIT_C,x_R16_EXIT_C,0.0006638376967895785
0,48,x_R01_EXIT_C,x_R17_EXIT_C,0.00016595942419739463
0,51,x_R01_EXIT_C,x_R18_EXIT_C,0.0006638376967895785
0,54,x_R01_EXIT_C,x_R19_EXIT_C,0.0006638376967895785
0,57,x_R01_EXIT_C,x_R20_EXIT_C,0.0006638376967895785
0,60,x_R01_EXIT_C,x_R21_EXIT_C,0.0006638376967895785
0,63,x_R01_EXIT_C,x_R22_EXIT_C,0.0006638376967895785
0,66,x_R01_EXIT_C,x_R23_EXIT_C,0.0006638376967895785
0,69,x_R01_EXIT_C,x_R24_EXIT_C,0.0029872696355531035
1,1,x_R01_EXIT_B,x_R01_EXIT_B,-2.1672008072935505
1,2,x_R01_EXIT_B,x_R01_EXIT_A,4.4328940426993775
1,4,x_R01_EXIT_B,x_R02_EXIT_B,0.012715045115431157
1,5,x_R01_EXIT_B,x_R02_EXIT_A,0.007583069074865568
1,6,x_R01_EXIT_B,x_R03_EXIT_C,0.0011489498598281167
1,7,x_R01_EXIT_B,x_R03_EXIT_B,0.0030893985119822692
1,8,x_R01_EXIT_B,x_R03_EXIT_A,0.00137873983179374
1,9,x_R01_EXIT_B,x_R04_EXIT_C,0.00068936991589687
1,10,x_R01_EXIT_B,x_R04_EXIT_B,0.0028596085400166456
1,11,x_R01_EXIT_B,x_R04_EXIT_A,0.0011489498598281167
1,12,x_R01_EXIT_B,x_R05_EXIT_C,0.00068936991589687
1,13,x_R01_EXIT_B,x_R05_EXIT_B,0.0035489784559135165
1,14,x_R01_EXIT_B,x_R05_EXIT_A,0.0018383197757249866
1,15,x_R01_EXIT_B,x_R06_EXIT_C,0.00068936991589687
1,16,x_R01_EXIT_B,x_R06_EXIT_B,0.0035489784559135165
1,17,x_R01_EXIT_B,x_R06_EXIT_A,0.0018383197757249866
1,18,x_R01_EXIT_B,x_R07_EXIT_C,0.0011489498598281167
1,19,x_R01_EXIT_B,x_R07_EXIT_B,0.0030893985119822692
1,20,x_R01_EXIT_B,x_R07_EXIT_A,0.00137873983179374
1,21,x_R01_EXIT_B,x_R08_EXIT_C,0.00068936991589687
1,22,x_R01_EXIT_B,x_R08_EXIT_B,0.0028596085400166456
1,23,x_R01_EXIT_B,x_R08_EXIT_A,0.0011489498598281167
1,24,x_R01_EXIT_B,x_R09_EXIT_C,0.00275747966358748
