node_id,node_type,grid_position,capacity_units,effective_capacity_people,occupants_using_node,rooms_using_node,utilization_ratio,utilization_percent,is_congested
C0,navigation,B3,2.0,20.0,128,8,6.4,640.0,True
C3,navigation,E3,2.0,20.0,83,6,4.15,415.00000000000006,True
C1,navigation,C3,2.0,20.0,68,4,3.4,340.0,True
EXIT_A,exit,B2.5,5.0,50.0,128,8,2.56,256.0,True
C5,navigation,G3,2.0,20.0,48,3,2.4,240.0,True
C2,navigation,D3,3.0,30.0,51,3,1.7,170.0,True
EXIT_C,exit,E2.5,5.0,50.0,83,6,1.66,166.0,True
C4,navigation,F3,2.0,20.0,30,3,1.5,150.0,True
DOOR_10,door,E2,2.0,20.0,25,1,1.25,125.0,True
DOOR_16,door,E2,2.0,20.0,25,1,1.25,125.0,True
DOOR_09,door,D4,2.0,20.0,24,1,1.2,120.0,True
DOOR_07,door,B4,2.0,20.0,23,1,1.15,114.99999999999999,True
EXIT_B,exit,D2.5,5.0,50.0,51,3,1.02,102.0,True
DOOR_20,door,C2,2.0,20.0,20,1,1.0,100.0,False
DOOR_14,door,C2,2.0,20.0,18,1,0.9,90.0,False
DOOR_02,door,C2,2.0,20.0,17,1,0.85,85.0,False
DOOR_17,door,F4,2.0,20.0,17,1,0.85,85.0,False
EXIT_D,exit,G2.5,6.0,60.0,48,3,0.8,80.0,False
DOOR_12,door,G2,3.0,30.0,23,1,0.7666666666666667,76.66666666666667,False
DOOR_03,door,D4,2.0,20.0,14,1,0.7,70.0,False
DOOR_06,door,G2,2.0,20.0,14,1,0.7,70.0,False
DOOR_19,door,B4,3.0,30.0,21,1,0.7,70.0,False
DOOR_08,door,C2,2.0,20.0,13,1,0.65,65.0,False
DOOR_01,door,B4,2.0,20.0,11,1,0.55,55.00000000000001,False
DOOR_18,door,G2,2.0,20.0,11,1,0.55,55.00000000000001,False
DOOR_15,door,D4,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
DOOR_05,door,F4,3.0,30.0,9,1,0.3,30.0,False
DOOR_13,door,B4,2.0,20.0,5,1,0.25,25.0,False
DOOR_11,door,F4,2.0,20.0,4,1,0.2,20.0,False
DOOR_04,door,E2,2.0,20.0,3,1,0.15,15.0,False
