route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C0--EXIT_A,E007:C2--EXIT_B,E008:C3--EXIT_C,E009:C5--EXIT_D,E010:START_R01--DOOR_01,E011:DOOR_01--C0,E012:START_R02--DOOR_02,E013:DOOR_02--C1,E014:START_R03--DOOR_03,E015:DOOR_03--C2,E016:START_R04--DOOR_04,E017:DOOR_04--C3,E018:START_R05--DOOR_05,E019:DOOR_05--C4,E020:START_R06--DOOR_06,E021:DOOR_06--C5,E022:START_R07--DOOR_07,E023:DOOR_07--C0,E024:START_R08--DOOR_08,E025:DOOR_08--C1,E026:START_R09--DOOR_09,E027:DOOR_09--C2,E028:START_R10--DOOR_10,E029:DOOR_10--C3,E030:START_R11--DOOR_11,E031:DOOR_11--C4,E032:START_R12--DOOR_12,E033:DOOR_12--C5,E034:START_R13--DOOR_13,E035:DOOR_13--C0,E036:START_R14--DOOR_14,E037:DOOR_14--C1,E038:START_R15--DOOR_15,E039:DOOR_15--C2,E040:START_R16--DOOR_16,E041:DOOR_16--C3,E042:START_R17--DOOR_17,E043:DOOR_17--C4,E044:START_R18--DOOR_18,E045:DOOR_18--C5,E046:START_R19--DOOR_19,E047:DOOR_19--C0,E048:START_R20--DOOR_20,E049:DOOR_20--C1
R01__EXIT_A,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_B,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_C,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_D,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_A,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_B,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_C,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_D,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_A,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_B,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
