room_id,room_name,start_node,exit_node,dijkstra_distance,astar_distance,distances_match,same_exact_path,dijkstra_hops,astar_hops,dijkstra_path,astar_path
R01,Room 01,START_R01,EXIT_A,3.0,3.0,True,True,3,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A,START_R01 -> DOOR_01 -> C0 -> EXIT_A
R01,Room 01,START_R01,EXIT_B,5.0,5.0,True,True,5,5,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> EXIT_B,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> EXIT_B
R01,Room 01,START_R01,EXIT_C,6.0,6.0,True,True,6,6,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> EXIT_C,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> EXIT_C
R01,Room 01,START_R01,EXIT_D,8.0,8.0,True,True,8,8,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_D,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_D
R02,Room 02,START_R02,EXIT_A,4.0,4.0,True,True,4,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A
R02,Room 02,START_R02,EXIT_B,4.0,4.0,True,True,4,4,START_R02 -> DOOR_02 -> C1 -> C2 -> EXIT_B,START_R02 -> DOOR_02 -> C1 -> C2 -> EXIT_B
R02,Room 02,START_R02,EXIT_C,5.0,5.0,True,True,5,5,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> EXIT_C,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> EXIT_C
R02,Room 02,START_R02,EXIT_D,7.0,7.0,True,True,7,7,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_D,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> C4 -> C5 -> EXIT_D
R03,Room 03,START_R03,EXIT_A,5.0,5.0,True,True,5,5,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A
R03,Room 03,START_R03,EXIT_B,3.0,3.0,True,True,3,3,START_R03 -> DOOR_03 -> C2 -> EXIT_B,START_R03 -> DOOR_03 -> C2 -> EXIT_B
R03,Room 03,START_R03,EXIT_C,4.0,4.0,True,True,4,4,START_R03 -> DOOR_03 -> C2 -> C3 -> EXIT_C,START_R03 -> DOOR_03 -> C2 -> C3 -> EXIT_C
R03,Room 03,START_R03,EXIT_D,6.0,6.0,True,True,6,6,START_R03 -> DOOR_03 -> C2 -> C3 -> C4 -> C5 -> EXIT_D,START_R03 -> DOOR_03 -> C2 -> C3 -> C4 -> C5 -> EXIT_D
R04,Room 04,START_R04,EXIT_A,6.0,6.0,True,True,6,6,START_R04 -> DOOR_04 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,START_R04 -> DOOR_04 -> C3 -> C2 -> C1 -> C0 -> EXIT_A
R04,Room 04,START_R04,EXIT_B,4.0,4.0,True,True,4,4,START_R04 -> DOOR_04 -> C3 -> C2 -> EXIT_B,START_R04 -> DOOR_04 -> C3 -> C2 -> EXIT_B
