room_id,room_name,start_node,primary_exit,distance,hops,path,astar_matches_distance,astar_same_exact_path,capacity,occupancy
R01,Room 01,START_R01,EXIT_A,3.0,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A,True,True,26,23
R02,Room 02,START_R02,EXIT_A,4.0,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,True,True,18,16
R03,Room 03,START_R03,EXIT_B,3.0,3,START_R03 -> DOOR_03 -> C2 -> EXIT_B,True,True,25,20
R04,Room 04,START_R04,EXIT_C,3.0,3,START_R04 -> DOOR_04 -> C3 -> EXIT_C,True,True,24,19
R05,Room 05,START_R05,EXIT_C,4.0,4,START_R05 -> DOOR_05 -> C4 -> C3 -> EXIT_C,True,True,19,16
R06,Room 06,START_R06,EXIT_D,3.0,3,START_R06 -> DOOR_06 -> C5 -> EXIT_D,True,True,24,23
R07,Room 07,START_R07,EXIT_A,3.0,3,START_R07 -> DOOR_07 -> C0 -> EXIT_A,True,True,17,12
R08,Room 08,START_R08,EXIT_A,4.0,4,START_R08 -> DOOR_08 -> C1 -> C0 -> EXIT_A,True,True,11,7
R09,Room 09,START_R09,EXIT_B,3.0,3,START_R09 -> DOOR_09 -> C2 -> EXIT_B,True,True,13,10
R10,Room 10,START_R10,EXIT_C,3.0,3,START_R10 -> DOOR_10 -> C3 -> EXIT_C,True,True,13,11
R11,Room 11,START_R11,EXIT_C,4.0,4,START_R11 -> DOOR_11 -> C4 -> C3 -> EXIT_C,True,True,28,24
R12,Room 12,START_R12,EXIT_D,3.0,3,START_R12 -> DOOR_12 -> C5 -> EXIT_D,True,True,23,19
R13,Room 13,START_R13,EXIT_A,3.0,3,START_R13 -> DOOR_13 -> C0 -> EXIT_A,True,True,23,18
R14,Room 14,START_R14,EXIT_A,4.0,4,START_R14 -> DOOR_14 -> C1 -> C0 -> EXIT_A,True,True,25,21
R15,Room 15,START_R15,EXIT_B,3.0,3,START_R15 -> DOOR_15 -> C2 -> EXIT_B,True,True,17,15
R16,Room 16,START_R16,EXIT_C,3.0,3,START_R16 -> DOOR_16 -> C3 -> EXIT_C,True,True,26,25
R17,Room 17,START_R17,EXIT_C,4.0,4,START_R17 -> DOOR_17 -> C4 -> C3 -> EXIT_C,True,True,21,17
R18,Room 18,START_R18,EXIT_D,3.0,3,START_R18 -> DOOR_18 -> C5 -> EXIT_D,True,True,18,13
R19,Room 19,START_R19,EXIT_A,3.0,3,START_R19 -> DOOR_19 -> C0 -> EXIT_A,True,True,21,21
R20,Room 20,START_R20,EXIT_A,4.0,4,START_R20 -> DOOR_20 -> C1 -> C0 -> EXIT_A,True,True,17,12
