room_id,room_name,start_node,occupancy,selected_exit,distance,congestion_penalty,combined_cost,hops,path
R01,Room 01,START_R01,23,EXIT_A,3.0,13.95972222222222,16.95972222222222,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A
R02,Room 02,START_R02,16,EXIT_A,4.0,14.494444444444447,18.494444444444447,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A
R03,Room 03,START_R03,20,EXIT_B,3.0,6.779166666666667,9.779166666666667,3,START_R03 -> DOOR_03 -> C2 -> EXIT_B
R04,Room 04,START_R04,19,EXIT_C,3.0,7.883111111111111,10.883111111111111,3,START_R04 -> DOOR_04 -> C3 -> EXIT_C
R05,Room 05,START_R05,16,EXIT_C,4.0,17.003125,21.003125,4,START_R05 -> DOOR_05 -> C4 -> C3 -> EXIT_C
R06,Room 06,START_R06,23,EXIT_D,3.0,10.295777777777777,13.295777777777777,3,START_R06 -> DOOR_06 -> C5 -> EXIT_D
R07,Room 07,START_R07,12,EXIT_A,3.0,12.850000000000001,15.850000000000001,3,START_R07 -> DOOR_07 -> C0 -> EXIT_A
R08,Room 08,START_R08,7,EXIT_A,4.0,16.891666666666666,20.891666666666666,4,START_R08 -> DOOR_08 -> C1 -> C0 -> EXIT_A
R09,Room 09,START_R09,10,EXIT_B,3.0,15.034722222222221,18.03472222222222,3,START_R09 -> DOOR_09 -> C2 -> EXIT_B
R10,Room 10,START_R10,11,EXIT_C,3.0,13.107000000000001,16.107,3,START_R10 -> DOOR_10 -> C3 -> EXIT_C
R11,Room 11,START_R11,24,EXIT_D,4.0,14.752000000000002,18.752000000000002,4,START_R11 -> DOOR_11 -> C4 -> C5 -> EXIT_D
R12,Room 12,START_R12,19,EXIT_D,3.0,17.737000000000002,20.737000000000002,3,START_R12 -> DOOR_12 -> C5 -> EXIT_D
R13,Room 13,START_R13,18,EXIT_A,3.0,11.18888888888889,14.18888888888889,3,START_R13 -> DOOR_13 -> C0 -> EXIT_A
R14,Room 14,START_R14,21,EXIT_B,4.0,7.9624999999999995,11.962499999999999,4,START_R14 -> DOOR_14 -> C1 -> C2 -> EXIT_B
R15,Room 15,START_R15,15,EXIT_B,3.0,9.901388888888889,12.901388888888889,3,START_R15 -> DOOR_15 -> C2 -> EXIT_B
R16,Room 16,START_R16,25,EXIT_C,3.0,8.194444444444446,11.194444444444446,3,START_R16 -> DOOR_16 -> C3 -> EXIT_C
R17,Room 17,START_R17,17,EXIT_B,5.0,12.398958333333333,17.398958333333333,5,START_R17 -> DOOR_17 -> C4 -> C3 -> C2 -> EXIT_B
R18,Room 18,START_R18,13,EXIT_D,3.0,15.533388888888892,18.533388888888894,3,START_R18 -> DOOR_18 -> C5 -> EXIT_D
R19,Room 19,START_R19,21,EXIT_A,3.0,7.588888888888888,10.588888888888889,3,START_R19 -> DOOR_19 -> C0 -> EXIT_A
R20,Room 20,START_R20,12,EXIT_B,4.0,17.684722222222224,21.684722222222227,4,START_R20 -> DOOR_20 -> C1 -> C2 -> EXIT_B
