source,target,edge_type,distance,capacity,notes
C0,C1,navigation,1.0,3,
C1,C2,navigation,1.0,3,
C2,C3,navigation,1.0,3,
C3,C4,navigation,1.0,4,
C4,C5,navigation,1.0,3,
C5,C6,navigation,1.0,5,
C6,C7,navigation,1.0,5,
C7,C8,navigation,1.0,4,
C8,C9,navigation,1.0,4,
C0,EXIT_A,exit,1.0,6,
C3,EXIT_B,exit,1.0,4,
C6,EXIT_C,exit,1.0,6,
C9,EXIT_D,exit,1.0,4,
START_R01,DOOR_01,room_start,1.0,2,
DOOR_01,C0,door_to_hallway,1.0,3,
START_R02,DOOR_02,room_start,1.0,3,
DOOR_02,C1,door_to_hallway,1.0,3,
START_R03,DOOR_03,room_start,1.0,3,
DOOR_03,C2,door_to_hallway,1.0,3,
START_R04,DOOR_04,room_start,1.0,2,
DOOR_04,C3,door_to_hallway,1.0,2,
START_R05,DOOR_05,room_start,1.0,3,
DOOR_05,C4,door_to_hallway,1.0,3,
START_R06,DOOR_06,room_start,1.0,3,
DOOR_06,C5,door_to_hallway,1.0,3,
START_R07,DOOR_07,room_start,1.0,3,
DOOR_07,C6,door_to_hallway,1.0,2,
START_R08,DOOR_08,room_start,1.0,2,
DOOR_08,C7,door_to_hallway,1.0,2,
START_R09,DOOR_09,room_start,1.0,2,
DOOR_09,C8,door_to_hallway,1.0,2,
START_R10,DOOR_10,room_start,1.0,2,
DOOR_10,C9,door_to_hallway,1.0,3,
START_R11,DOOR_11,room_start,1.0,2,
DOOR_11,C0,door_to_hallway,1.0,2,
START_R12,DOOR_12,room_start,1.0,3,
DOOR_12,C1,door_to_hallway,1.0,2,
START_R13,DOOR_13,room_start,1.0,3,
DOOR_13,C2,door_to_hallway,1.0,3,
START_R14,DOOR_14,room_start,1.0,3,
DOOR_14,C3,door_to_hallway,1.0,3,
START_R15,DOOR_15,room_start,1.0,3,
DOOR_15,C4,door_to_hallway,1.0,3,
START_R16,DOOR_16,room_start,1.0,2,
DOOR_16,C5,door_to_hallway,1.0,3,
START_R17,DOOR_17,room_start,1.0,3,
DOOR_17,C6,door_to_hallway,1.0,2,
START_R18,DOOR_18,room_start,1.0,3,
DOOR_18,C7,door_to_hallway,1.0,3,
START_R19,DOOR_19,room_start,1.0,3,
DOOR_19,C8,door_to_hallway,1.0,3,
START_R20,DOOR_20,room_start,1.0,3,
DOOR_20,C9,door_to_hallway,1.0,3,
