route_id,room_id,room_name,start_node,exit_node,occupancy,distance,edge_count,path,edge_ids
R01__EXIT_A,R01,Room 01,START_R01,EXIT_A,15,3.0,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A,E018:START_R01--DOOR_01 | E019:DOOR_01--C0 | E014:C0--EXIT_A
R01__EXIT_B,R01,Room 01,START_R01,EXIT_B,15,7.0,7,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> C4 -> EXIT_B,E018:START_R01--DOOR_01 | E019:DOOR_01--C0 | E001:C0--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E015:C4--EXIT_B
R01__EXIT_C,R01,Room 01,START_R01,EXIT_C,15,12.0,12,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_C,E018:START_R01--DOOR_01 | E019:DOOR_01--C0 | E001:C0--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E016:C9--EXIT_C
R01__EXIT_D,R01,Room 01,START_R01,EXIT_D,15,16.0,16,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> C10 -> C11 -> C12 -> C13 -> EXIT_D,E018:START_R01--DOOR_01 | E019:DOOR_01--C0 | E001:C0--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E010:C9--C10 | E011:C10--C11 | E012:C11--C12 | E013:C12--C13 | E017:C13--EXIT_D
R02__EXIT_A,R02,Room 02,START_R02,EXIT_A,7,4.0,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,E020:START_R02--DOOR_02 | E021:DOOR_02--C1 | E001:C0--C1 | E014:C0--EXIT_A
R02__EXIT_B,R02,Room 02,START_R02,EXIT_B,7,6.0,6,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> C4 -> EXIT_B,E020:START_R02--DOOR_02 | E021:DOOR_02--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E015:C4--EXIT_B
R02__EXIT_C,R02,Room 02,START_R02,EXIT_C,7,11.0,11,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_C,E020:START_R02--DOOR_02 | E021:DOOR_02--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E016:C9--EXIT_C
R02__EXIT_D,R02,Room 02,START_R02,EXIT_D,7,15.0,15,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> C10 -> C11 -> C12 -> C13 -> EXIT_D,E020:START_R02--DOOR_02 | E021:DOOR_02--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E010:C9--C10 | E011:C10--C11 | E012:C11--C12 | E013:C12--C13 | E017:C13--EXIT_D
R03__EXIT_A,R03,Room 03,START_R03,EXIT_A,19,5.0,5,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A,E022:START_R03--DOOR_03 | E023:DOOR_03--C2 | E002:C1--C2 | E001:C0--C1 | E014:C0--EXIT_A
R03__EXIT_B,R03,Room 03,START_R03,EXIT_B,19,5.0,5,START_R03 -> DOOR_03 -> C2 -> C3 -> C4 -> EXIT_B,E022:START_R03--DOOR_03 | E023:DOOR_03--C2 | E003:C2--C3 | E004:C3--C4 | E015:C4--EXIT_B
