room_id,classical_exit,classical_distance,classical_hops,classical_path,occupancy,congestion_aware_exit,congestion_aware_distance,congestion_aware_hops,congestion_penalty,combined_cost,congestion_aware_path,exit_changed,path_changed,extra_distance,extra_hops
R01,EXIT_A,3.0,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A,4,EXIT_A,3.0,3,5.288888888888889,8.288888888888888,START_R01 -> DOOR_01 -> C0 -> EXIT_A,False,False,0.0,0
R02,EXIT_A,4.0,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,23,EXIT_A,4.0,4,17.221888888888888,21.221888888888888,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,False,False,0.0,0
R03,EXIT_A,5.0,5,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A,5,EXIT_A,5.0,5,17.670555555555556,22.670555555555556,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A,False,False,0.0,0
R04,EXIT_A,6.0,6,START_R04 -> DOOR_04 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,18,EXIT_A,6.0,6,20.99888888888889,26.99888888888889,START_R04 -> DOOR_04 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,False,False,0.0,0
R05,EXIT_B,5.0,5,START_R05 -> DOOR_05 -> C4 -> C5 -> C6 -> EXIT_B,13,EXIT_B,5.0,5,26.934777777777775,31.934777777777775,START_R05 -> DOOR_05 -> C4 -> C5 -> C6 -> EXIT_B,False,False,0.0,0
R06,EXIT_B,4.0,4,START_R06 -> DOOR_06 -> C5 -> C6 -> EXIT_B,25,EXIT_B,4.0,4,14.487847222222223,18.48784722222222,START_R06 -> DOOR_06 -> C5 -> C6 -> EXIT_B,False,False,0.0,0
R07,EXIT_B,3.0,3,START_R07 -> DOOR_07 -> C6 -> EXIT_B,17,EXIT_B,3.0,3,18.996055555555554,21.996055555555554,START_R07 -> DOOR_07 -> C6 -> EXIT_B,False,False,0.0,0
R08,EXIT_B,4.0,4,START_R08 -> DOOR_08 -> C7 -> C6 -> EXIT_B,11,EXIT_B,4.0,4,33.53272222222222,37.53272222222222,START_R08 -> DOOR_08 -> C7 -> C6 -> EXIT_B,False,False,0.0,0
R09,EXIT_B,5.0,5,START_R09 -> DOOR_09 -> C8 -> C7 -> C6 -> EXIT_B,21,EXIT_B,5.0,5,14.95075,19.95075,START_R09 -> DOOR_09 -> C8 -> C7 -> C6 -> EXIT_B,False,False,0.0,0
R10,EXIT_B,6.0,6,START_R10 -> DOOR_10 -> C9 -> C8 -> C7 -> C6 -> EXIT_B,20,EXIT_B,6.0,6,27.240472222222223,33.24047222222222,START_R10 -> DOOR_10 -> C9 -> C8 -> C7 -> C6 -> EXIT_B,False,False,0.0,0
R11,EXIT_C,6.0,6,START_R11 -> DOOR_11 -> C10 -> C11 -> C12 -> C13 -> EXIT_C,22,EXIT_C,6.0,6,16.301388888888887,22.301388888888887,START_R11 -> DOOR_11 -> C10 -> C11 -> C12 -> C13 -> EXIT_C,False,False,0.0,0
R12,EXIT_C,5.0,5,START_R12 -> DOOR_12 -> C11 -> C12 -> C13 -> EXIT_C,7,EXIT_C,5.0,5,18.519444444444446,23.519444444444446,START_R12 -> DOOR_12 -> C11 -> C12 -> C13 -> EXIT_C,False,False,0.0,0
R13,EXIT_C,4.0,4,START_R13 -> DOOR_13 -> C12 -> C13 -> EXIT_C,9,EXIT_C,4.0,4,9.978125000000002,13.978125000000002,START_R13 -> DOOR_13 -> C12 -> C13 -> EXIT_C,False,False,0.0,0
R14,EXIT_C,3.0,3,START_R14 -> DOOR_14 -> C13 -> EXIT_C,8,EXIT_C,3.0,3,8.156944444444445,11.156944444444445,START_R14 -> DOOR_14 -> C13 -> EXIT_C,False,False,0.0,0
R15,EXIT_C,4.0,4,START_R15 -> DOOR_15 -> C14 -> C13 -> EXIT_C,19,EXIT_C,4.0,4,8.351388888888888,12.351388888888888,START_R15 -> DOOR_15 -> C14 -> C13 -> EXIT_C,False,False,0.0,0
R16,EXIT_C,5.0,5,START_R16 -> DOOR_16 -> C15 -> C14 -> C13 -> EXIT_C,14,EXIT_D,7.0,7,8.066291666666668,15.066291666666666,START_R16 -> DOOR_16 -> C15 -> C16 -> C17 -> C18 -> C19 -> EXIT_D,True,True,2.0,2
R17,EXIT_C,6.0,6,START_R17 -> DOOR_17 -> C16 -> C15 -> C14 -> C13 -> EXIT_C,13,EXIT_C,6.0,6,15.59652777777778,21.59652777777778,START_R17 -> DOOR_17 -> C16 -> C15 -> C14 -> C13 -> EXIT_C,False,False,0.0,0
R18,EXIT_D,5.0,5,START_R18 -> DOOR_18 -> C17 -> C18 -> C19 -> EXIT_D,13,EXIT_D,5.0,5,15.171888888888889,20.171888888888887,START_R18 -> DOOR_18 -> C17 -> C18 -> C19 -> EXIT_D,False,False,0.0,0
R19,EXIT_D,4.0,4,START_R19 -> DOOR_19 -> C18 -> C19 -> EXIT_D,10,EXIT_D,4.0,4,14.343555555555554,18.343555555555554,START_R19 -> DOOR_19 -> C18 -> C19 -> EXIT_D,False,False,0.0,0
R20,EXIT_D,3.0,3,START_R20 -> DOOR_20 -> C19 -> EXIT_D,19,EXIT_D,3.0,3,5.139236111111111,8.13923611111111,START_R20 -> DOOR_20 -> C19 -> EXIT_D,False,False,0.0,0
