source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C0,C1,navigation,1.0,3.0,30.0,91,5,3.033333333333333,303.3333333333333,True
C2,C3,navigation,1.0,3.0,30.0,63,3,2.1,210.0,True
C19,EXIT_C,exit,1.0,4.0,40.0,83,5,2.075,207.50000000000003,True
C0,EXIT_A,exit,1.0,6.0,60.0,116,6,1.9333333333333333,193.33333333333334,True
C17,C18,navigation,1.0,3.0,30.0,57,3,1.9,190.0,True
C10,EXIT_B,exit,1.0,6.0,60.0,112,9,1.8666666666666667,186.66666666666666,True
C10,C11,navigation,1.0,3.0,30.0,55,4,1.8333333333333333,183.33333333333331,True
C18,C19,navigation,1.0,5.0,50.0,75,4,1.5,150.0,True
C1,C2,navigation,1.0,5.0,50.0,74,4,1.48,148.0,True
C11,C12,navigation,1.0,3.0,30.0,42,3,1.4,140.0,True
START_R01,DOOR_01,room_start,1.0,2.0,20.0,25,1,1.25,125.0,True
START_R16,DOOR_16,room_start,1.0,2.0,20.0,25,1,1.25,125.0,True
C9,C10,navigation,1.0,4.0,40.0,43,4,1.075,107.5,True
C3,C4,navigation,1.0,4.0,40.0,42,2,1.05,105.0,True
START_R04,DOOR_04,room_start,1.0,2.0,20.0,21,1,1.05,105.0,True
C4,DOOR_05,door_to_hallway,1.0,2.0,20.0,20,1,1.0,100.0,False
START_R05,DOOR_05,room_start,1.0,2.0,20.0,20,1,1.0,100.0,False
C17,DOOR_18,door_to_hallway,1.0,2.0,20.0,18,1,0.9,90.0,False
START_R19,DOOR_19,room_start,1.0,2.0,20.0,18,1,0.9,90.0,False
C1,DOOR_02,door_to_hallway,1.0,2.0,20.0,17,1,0.85,85.0,False
START_R02,DOOR_02,room_start,1.0,2.0,20.0,17,1,0.85,85.0,False
C0,DOOR_01,door_to_hallway,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
C15,DOOR_16,door_to_hallway,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
C16,C17,navigation,1.0,5.0,50.0,39,2,0.78,78.0,False
C4,C5,navigation,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
