edge_id,source,target,distance,capacity_units,edge_type
E001:C0--C1,C0,C1,1.0,3.0,navigation
E002:C1--C2,C1,C2,1.0,5.0,navigation
E003:C2--C3,C2,C3,1.0,3.0,navigation
E004:C3--C4,C3,C4,1.0,4.0,navigation
E005:C4--C5,C4,C5,1.0,3.0,navigation
E006:C5--C6,C5,C6,1.0,4.0,navigation
E007:C6--C7,C6,C7,1.0,4.0,navigation
E008:C7--C8,C7,C8,1.0,4.0,navigation
E009:C8--C9,C8,C9,1.0,5.0,navigation
E010:C9--C10,C9,C10,1.0,4.0,navigation
E011:C10--C11,C10,C11,1.0,3.0,navigation
E012:C11--C12,C11,C12,1.0,3.0,navigation
E013:C12--C13,C12,C13,1.0,4.0,navigation
E014:C13--C14,C13,C14,1.0,3.0,navigation
E015:C14--C15,C14,C15,1.0,4.0,navigation
E016:C15--C16,C15,C16,1.0,4.0,navigation
E017:C16--C17,C16,C17,1.0,5.0,navigation
E018:C17--C18,C17,C18,1.0,3.0,navigation
E019:C18--C19,C18,C19,1.0,5.0,navigation
E020:C19--C20,C19,C20,1.0,4.0,navigation
E021:C20--C21,C20,C21,1.0,4.0,navigation
E022:C21--C22,C21,C22,1.0,5.0,navigation
E023:C22--C23,C22,C23,1.0,3.0,navigation
E024:C23--C24,C23,C24,1.0,5.0,navigation
E025:C24--C25,C24,C25,1.0,3.0,navigation
E026:C25--C26,C25,C26,1.0,4.0,navigation
E027:C26--C27,C26,C27,1.0,3.0,navigation
E028:C27--C28,C27,C28,1.0,3.0,navigation
E029:C28--C29,C28,C29,1.0,3.0,navigation
E030:C29--C30,C29,C30,1.0,5.0,navigation
E031:C30--C31,C30,C31,1.0,5.0,navigation
E032:C31--C32,C31,C32,1.0,3.0,navigation
E033:C32--C33,C32,C33,1.0,4.0,navigation
E034:C33--C34,C33,C34,1.0,5.0,navigation
E035:C34--C35,C34,C35,1.0,3.0,navigation
E036:C35--C36,C35,C36,1.0,4.0,navigation
E037:C36--C37,C36,C37,1.0,5.0,navigation
E038:C37--C38,C37,C38,1.0,3.0,navigation
E039:C38--C39,C38,C39,1.0,5.0,navigation
E040:C39--C40,C39,C40,1.0,3.0,navigation
E041:C40--C41,C40,C41,1.0,4.0,navigation
E042:C0--EXIT_A,C0,EXIT_A,1.0,5.0,exit
E043:C14--EXIT_B,C14,EXIT_B,1.0,6.0,exit
E044:C27--EXIT_C,C27,EXIT_C,1.0,4.0,exit
E045:C41--EXIT_D,C41,EXIT_D,1.0,5.0,exit
E046:START_R01--DOOR_01,START_R01,DOOR_01,1.0,2.0,room_start
E047:DOOR_01--C0,DOOR_01,C0,1.0,2.0,door_to_hallway
E048:START_R02--DOOR_02,START_R02,DOOR_02,1.0,3.0,room_start
E049:DOOR_02--C1,DOOR_02,C1,1.0,3.0,door_to_hallway
E050:START_R03--DOOR_03,START_R03,DOOR_03,1.0,2.0,room_start
E051:DOOR_03--C2,DOOR_03,C2,1.0,3.0,door_to_hallway
E052:START_R04--DOOR_04,START_R04,DOOR_04,1.0,2.0,room_start
E053:DOOR_04--C3,DOOR_04,C3,1.0,2.0,door_to_hallway
E054:START_R05--DOOR_05,START_R05,DOOR_05,1.0,3.0,room_start
E055:DOOR_05--C4,DOOR_05,C4,1.0,2.0,door_to_hallway
E056:START_R06--DOOR_06,START_R06,DOOR_06,1.0,3.0,room_start
E057:DOOR_06--C5,DOOR_06,C5,1.0,3.0,door_to_hallway
E058:START_R07--DOOR_07,START_R07,DOOR_07,1.0,2.0,room_start
E059:DOOR_07--C6,DOOR_07,C6,1.0,3.0,door_to_hallway
E060:START_R08--DOOR_08,START_R08,DOOR_08,1.0,3.0,room_start
E061:DOOR_08--C7,DOOR_08,C7,1.0,3.0,door_to_hallway
E062:START_R09--DOOR_09,START_R09,DOOR_09,1.0,3.0,room_start
