route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C5--C6,E007:C6--C7,E008:C7--C8,E009:C8--C9,E010:C0--EXIT_A,E011:C9--EXIT_B,E012:START_R01--DOOR_01,E013:DOOR_01--C0,E014:START_R02--DOOR_02,E015:DOOR_02--C1,E016:START_R03--DOOR_03,E017:DOOR_03--C2,E018:START_R04--DOOR_04,E019:DOOR_04--C3,E020:START_R05--DOOR_05,E021:DOOR_05--C4,E022:START_R06--DOOR_06,E023:DOOR_06--C5,E024:START_R07--DOOR_07,E025:DOOR_07--C6,E026:START_R08--DOOR_08,E027:DOOR_08--C7,E028:START_R09--DOOR_09,E029:DOOR_09--C8,E030:START_R10--DOOR_10,E031:DOOR_10--C9
R01__EXIT_A,0,0,0,0,0,0,0,0,0,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_B,16,16,16,16,16,16,16,16,16,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_A,19,0,0,0,0,0,0,0,0,19,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_B,0,19,19,19,19,19,19,19,19,0,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_A,13,13,0,0,0,0,0,0,0,13,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_B,0,0,13,13,13,13,13,13,13,0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R04__EXIT_A,23,23,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0
R04__EXIT_B,0,0,0,23,23,23,23,23,23,0,23,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0
R05__EXIT_A,16,16,16,16,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0
R05__EXIT_B,0,0,0,0,16,16,16,16,16,0,16,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0
R06__EXIT_A,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
R06__EXIT_B,0,0,0,0,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
R07__EXIT_A,19,19,19,19,19,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0
R07__EXIT_B,0,0,0,0,0,0,19,19,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0
R08__EXIT_A,5,5,5,5,5,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
R08__EXIT_B,0,0,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
R09__EXIT_A,22,22,22,22,22,22,22,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0
R09__EXIT_B,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0
R10__EXIT_A,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
R10__EXIT_B,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
