source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C0,C1,navigation,1.0,3.0,30.0,71,4,2.3666666666666667,236.66666666666666,True
C0,EXIT_A,exit,1.0,5.0,50.0,87,5,1.74,174.0,True
C9,EXIT_B,exit,1.0,4.0,40.0,59,5,1.475,147.5,True
C2,C3,navigation,1.0,3.0,30.0,39,2,1.3,130.0,True
START_R09,DOOR_09,room_start,1.0,2.0,20.0,22,1,1.1,110.00000000000001,True
C1,C2,navigation,1.0,5.0,50.0,52,3,1.04,104.0,True
C8,C9,navigation,1.0,5.0,50.0,48,4,0.96,96.0,False
C6,DOOR_07,door_to_hallway,1.0,2.0,20.0,19,1,0.95,95.0,False
START_R02,DOOR_02,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
START_R07,DOOR_07,room_start,1.0,2.0,20.0,19,1,0.95,95.0,False
C4,DOOR_05,door_to_hallway,1.0,2.0,20.0,16,1,0.8,80.0,False
START_R01,DOOR_01,room_start,1.0,2.0,20.0,16,1,0.8,80.0,False
START_R05,DOOR_05,room_start,1.0,2.0,20.0,16,1,0.8,80.0,False
C3,DOOR_04,door_to_hallway,1.0,3.0,30.0,23,1,0.7666666666666667,76.66666666666667,False
START_R04,DOOR_04,room_start,1.0,3.0,30.0,23,1,0.7666666666666667,76.66666666666667,False
C8,DOOR_09,door_to_hallway,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
C2,DOOR_03,door_to_hallway,1.0,2.0,20.0,13,1,0.65,65.0,False
C7,C8,navigation,1.0,4.0,40.0,26,3,0.65,65.0,False
C1,DOOR_02,door_to_hallway,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
C9,DOOR_10,door_to_hallway,1.0,2.0,20.0,11,1,0.55,55.00000000000001,False
START_R10,DOOR_10,room_start,1.0,2.0,20.0,11,1,0.55,55.00000000000001,False
C0,DOOR_01,door_to_hallway,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
C6,C7,navigation,1.0,4.0,40.0,21,2,0.525,52.5,False
START_R03,DOOR_03,room_start,1.0,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
C3,C4,navigation,1.0,4.0,40.0,16,1,0.4,40.0,False
START_R08,DOOR_08,room_start,1.0,2.0,20.0,5,1,0.25,25.0,False
C7,DOOR_08,door_to_hallway,1.0,3.0,30.0,5,1,0.16666666666666666,16.666666666666664,False
C5,DOOR_06,door_to_hallway,1.0,2.0,20.0,2,1,0.1,10.0,False
START_R06,DOOR_06,room_start,1.0,3.0,30.0,2,1,0.06666666666666667,6.666666666666667,False
C5,C6,navigation,1.0,4.0,40.0,2,1,0.05,5.0,False
C4,C5,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
