source,target,edge_type,distance,capacity,notes
C0,C1,navigation,1.0,3,
C1,C2,navigation,1.0,3,
C2,C3,navigation,1.0,3,
C3,C4,navigation,1.0,4,
C4,C5,navigation,1.0,3,
C5,C6,navigation,1.0,5,
C6,C7,navigation,1.0,5,
C7,C8,navigation,1.0,4,
C8,C9,navigation,1.0,4,
C0,EXIT_A,exit,1.0,6,
C9,EXIT_B,exit,1.0,4,
START_R01,DOOR_01,room_start,1.0,2,
DOOR_01,C0,door_to_hallway,1.0,2,
START_R02,DOOR_02,room_start,1.0,3,
DOOR_02,C1,door_to_hallway,1.0,3,
START_R03,DOOR_03,room_start,1.0,3,
DOOR_03,C2,door_to_hallway,1.0,3,
START_R04,DOOR_04,room_start,1.0,3,
DOOR_04,C3,door_to_hallway,1.0,2,
START_R05,DOOR_05,room_start,1.0,2,
DOOR_05,C4,door_to_hallway,1.0,3,
START_R06,DOOR_06,room_start,1.0,3,
DOOR_06,C5,door_to_hallway,1.0,3,
START_R07,DOOR_07,room_start,1.0,3,
DOOR_07,C6,door_to_hallway,1.0,3,
START_R08,DOOR_08,room_start,1.0,2,
DOOR_08,C7,door_to_hallway,1.0,2,
START_R09,DOOR_09,room_start,1.0,2,
DOOR_09,C8,door_to_hallway,1.0,2,
START_R10,DOOR_10,room_start,1.0,2,
DOOR_10,C9,door_to_hallway,1.0,2,
