node_id,node_type,grid_position,capacity_units,effective_capacity_people,occupants_using_node,rooms_using_node,utilization_ratio,utilization_percent,is_congested
C9,navigation,K3,2.0,20.0,83,5,4.15,415.00000000000006,True
C0,navigation,B3,2.0,20.0,73,5,3.65,365.0,True
C8,navigation,J3,2.0,20.0,67,4,3.35,335.0,True
C7,navigation,I3,2.0,20.0,54,3,2.7,270.0,True
EXIT_B,exit,K2.5,4.0,40.0,83,5,2.075,207.50000000000003,True
C1,navigation,C3,3.0,30.0,61,4,2.033333333333333,203.33333333333331,True
C3,navigation,E3,2.0,20.0,37,2,1.85,185.0,True
C2,navigation,D3,3.0,30.0,55,3,1.8333333333333333,183.33333333333331,True
C6,navigation,H3,3.0,30.0,41,2,1.3666666666666667,136.66666666666666,True
EXIT_A,exit,B2.5,6.0,60.0,73,5,1.2166666666666666,121.66666666666666,True
DOOR_05,door,F4,2.0,20.0,19,1,0.95,95.0,False
DOOR_04,door,E2,2.0,20.0,18,1,0.9,90.0,False
DOOR_07,door,H4,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
DOOR_10,door,K2,2.0,20.0,16,1,0.8,80.0,False
DOOR_08,door,I2,2.0,20.0,13,1,0.65,65.0,False
DOOR_09,door,J4,2.0,20.0,13,1,0.65,65.0,False
C4,navigation,F3,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
DOOR_01,door,B4,2.0,20.0,12,1,0.6,60.0,False
DOOR_03,door,D4,3.0,30.0,18,1,0.6,60.0,False
C5,navigation,G3,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
DOOR_06,door,G2,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
DOOR_02,door,C2,3.0,30.0,6,1,0.2,20.0,False
