room_id,room_name,start_node,primary_exit,distance,hops,path,astar_matches_distance,astar_same_exact_path,capacity,occupancy
R01,Room 01,START_R01,EXIT_A,3.0,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A,True,True,13,12
R02,Room 02,START_R02,EXIT_A,4.0,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,True,True,10,6
R03,Room 03,START_R03,EXIT_A,5.0,5,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A,True,True,20,18
R04,Room 04,START_R04,EXIT_A,6.0,6,START_R04 -> DOOR_04 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,True,True,23,18
R05,Room 05,START_R05,EXIT_A,7.0,7,START_R05 -> DOOR_05 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,True,True,20,19
R06,Room 06,START_R06,EXIT_B,7.0,7,START_R06 -> DOOR_06 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,True,True,19,16
R07,Room 07,START_R07,EXIT_B,6.0,6,START_R07 -> DOOR_07 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,True,True,29,25
R08,Room 08,START_R08,EXIT_B,5.0,5,START_R08 -> DOOR_08 -> C7 -> C8 -> C9 -> EXIT_B,True,True,17,13
R09,Room 09,START_R09,EXIT_B,4.0,4,START_R09 -> DOOR_09 -> C8 -> C9 -> EXIT_B,True,True,15,13
R10,Room 10,START_R10,EXIT_B,3.0,3,START_R10 -> DOOR_10 -> C9 -> EXIT_B,True,True,17,16
