room_id,room_name,start_node,occupancy,selected_exit,distance,congestion_penalty,combined_cost,hops,path
R01,Room 01,START_R01,12,EXIT_A,3.0,6.934722222222222,9.934722222222222,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A
R02,Room 02,START_R02,6,EXIT_A,4.0,14.87361111111111,18.87361111111111,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A
R03,Room 03,START_R03,18,EXIT_A,5.0,20.7125,25.7125,5,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A
R04,Room 04,START_R04,18,EXIT_B,9.0,33.6085,42.60850000000001,9,START_R04 -> DOOR_04 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B
R05,Room 05,START_R05,19,EXIT_A,7.0,14.16423611111111,21.164236111111116,7,START_R05 -> DOOR_05 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A
R06,Room 06,START_R06,16,EXIT_B,7.0,44.75281944444444,51.75281944444444,7,START_R06 -> DOOR_06 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B
R07,Room 07,START_R07,25,EXIT_B,6.0,14.053819444444446,20.053819444444446,6,START_R07 -> DOOR_07 -> C6 -> C7 -> C8 -> C9 -> EXIT_B
R08,Room 08,START_R08,13,EXIT_B,5.0,60.82500000000001,65.82500000000002,5,START_R08 -> DOOR_08 -> C7 -> C8 -> C9 -> EXIT_B
R09,Room 09,START_R09,13,EXIT_B,4.0,58.68125,62.68125,4,START_R09 -> DOOR_09 -> C8 -> C9 -> EXIT_B
R10,Room 10,START_R10,16,EXIT_B,3.0,23.978125000000002,26.978125000000002,3,START_R10 -> DOOR_10 -> C9 -> EXIT_B
