route_id,room_id,room_name,start_node,exit_node,occupancy,distance,edge_count,path,edge_ids
R01__EXIT_A,R01,Room 01,START_R01,EXIT_A,12,3.0,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A,E012:START_R01--DOOR_01 | E013:DOOR_01--C0 | E010:C0--EXIT_A
R01__EXIT_B,R01,Room 01,START_R01,EXIT_B,12,12.0,12,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,E012:START_R01--DOOR_01 | E013:DOOR_01--C0 | E001:C0--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E011:C9--EXIT_B
R02__EXIT_A,R02,Room 02,START_R02,EXIT_A,6,4.0,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,E014:START_R02--DOOR_02 | E015:DOOR_02--C1 | E001:C0--C1 | E010:C0--EXIT_A
R02__EXIT_B,R02,Room 02,START_R02,EXIT_B,6,11.0,11,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,E014:START_R02--DOOR_02 | E015:DOOR_02--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E011:C9--EXIT_B
R03__EXIT_A,R03,Room 03,START_R03,EXIT_A,18,5.0,5,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A,E016:START_R03--DOOR_03 | E017:DOOR_03--C2 | E002:C1--C2 | E001:C0--C1 | E010:C0--EXIT_A
R03__EXIT_B,R03,Room 03,START_R03,EXIT_B,18,10.0,10,START_R03 -> DOOR_03 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,E016:START_R03--DOOR_03 | E017:DOOR_03--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E011:C9--EXIT_B
R04__EXIT_A,R04,Room 04,START_R04,EXIT_A,18,6.0,6,START_R04 -> DOOR_04 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,E018:START_R04--DOOR_04 | E019:DOOR_04--C3 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E010:C0--EXIT_A
R04__EXIT_B,R04,Room 04,START_R04,EXIT_B,18,9.0,9,START_R04 -> DOOR_04 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,E018:START_R04--DOOR_04 | E019:DOOR_04--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E011:C9--EXIT_B
R05__EXIT_A,R05,Room 05,START_R05,EXIT_A,19,7.0,7,START_R05 -> DOOR_05 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,E020:START_R05--DOOR_05 | E021:DOOR_05--C4 | E004:C3--C4 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E010:C0--EXIT_A
R05__EXIT_B,R05,Room 05,START_R05,EXIT_B,19,8.0,8,START_R05 -> DOOR_05 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,E020:START_R05--DOOR_05 | E021:DOOR_05--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E011:C9--EXIT_B
R06__EXIT_A,R06,Room 06,START_R06,EXIT_A,16,8.0,8,START_R06 -> DOOR_06 -> C5 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,E022:START_R06--DOOR_06 | E023:DOOR_06--C5 | E005:C4--C5 | E004:C3--C4 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E010:C0--EXIT_A
R06__EXIT_B,R06,Room 06,START_R06,EXIT_B,16,7.0,7,START_R06 -> DOOR_06 -> C5 -> C6 -> C7 -> C8 -> C9 -> EXIT_B,E022:START_R06--DOOR_06 | E023:DOOR_06--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E011:C9--EXIT_B
