route_id,room_id,room_name,start_node,exit_node,occupancy,distance,edge_count,path,edge_ids
R01__EXIT_A,R01,Room 01,START_R01,EXIT_A,4,3.0,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A,E024:START_R01--DOOR_01 | E025:DOOR_01--C0 | E020:C0--EXIT_A
R01__EXIT_B,R01,Room 01,START_R01,EXIT_B,4,9.0,9,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> EXIT_B,E024:START_R01--DOOR_01 | E025:DOOR_01--C0 | E001:C0--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E021:C6--EXIT_B
R01__EXIT_C,R01,Room 01,START_R01,EXIT_C,4,16.0,16,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> C10 -> C11 -> C12 -> C13 -> EXIT_C,E024:START_R01--DOOR_01 | E025:DOOR_01--C0 | E001:C0--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E010:C9--C10 | E011:C10--C11 | E012:C11--C12 | E013:C12--C13 | E022:C13--EXIT_C
R01__EXIT_D,R01,Room 01,START_R01,EXIT_D,4,22.0,22,START_R01 -> DOOR_01 -> C0 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> C10 -> C11 -> C12 -> C13 -> C14 -> C15 -> C16 -> C17 -> C18 -> C19 -> EXIT_D,E024:START_R01--DOOR_01 | E025:DOOR_01--C0 | E001:C0--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E010:C9--C10 | E011:C10--C11 | E012:C11--C12 | E013:C12--C13 | E014:C13--C14 | E015:C14--C15 | E016:C15--C16 | E017:C16--C17 | E018:C17--C18 | E019:C18--C19 | E023:C19--EXIT_D
R02__EXIT_A,R02,Room 02,START_R02,EXIT_A,23,4.0,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,E026:START_R02--DOOR_02 | E027:DOOR_02--C1 | E001:C0--C1 | E020:C0--EXIT_A
R02__EXIT_B,R02,Room 02,START_R02,EXIT_B,23,8.0,8,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> EXIT_B,E026:START_R02--DOOR_02 | E027:DOOR_02--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E021:C6--EXIT_B
R02__EXIT_C,R02,Room 02,START_R02,EXIT_C,23,15.0,15,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> C10 -> C11 -> C12 -> C13 -> EXIT_C,E026:START_R02--DOOR_02 | E027:DOOR_02--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E010:C9--C10 | E011:C10--C11 | E012:C11--C12 | E013:C12--C13 | E022:C13--EXIT_C
R02__EXIT_D,R02,Room 02,START_R02,EXIT_D,23,21.0,21,START_R02 -> DOOR_02 -> C1 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> C10 -> C11 -> C12 -> C13 -> C14 -> C15 -> C16 -> C17 -> C18 -> C19 -> EXIT_D,E026:START_R02--DOOR_02 | E027:DOOR_02--C1 | E002:C1--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E010:C9--C10 | E011:C10--C11 | E012:C11--C12 | E013:C12--C13 | E014:C13--C14 | E015:C14--C15 | E016:C15--C16 | E017:C16--C17 | E018:C17--C18 | E019:C18--C19 | E023:C19--EXIT_D
R03__EXIT_A,R03,Room 03,START_R03,EXIT_A,5,5.0,5,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A,E028:START_R03--DOOR_03 | E029:DOOR_03--C2 | E002:C1--C2 | E001:C0--C1 | E020:C0--EXIT_A
R03__EXIT_B,R03,Room 03,START_R03,EXIT_B,5,7.0,7,START_R03 -> DOOR_03 -> C2 -> C3 -> C4 -> C5 -> C6 -> EXIT_B,E028:START_R03--DOOR_03 | E029:DOOR_03--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E021:C6--EXIT_B
R03__EXIT_C,R03,Room 03,START_R03,EXIT_C,5,14.0,14,START_R03 -> DOOR_03 -> C2 -> C3 -> C4 -> C5 -> C6 -> C7 -> C8 -> C9 -> C10 -> C11 -> C12 -> C13 -> EXIT_C,E028:START_R03--DOOR_03 | E029:DOOR_03--C2 | E003:C2--C3 | E004:C3--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C8 | E009:C8--C9 | E010:C9--C10 | E011:C10--C11 | E012:C11--C12 | E013:C12--C13 | E022:C13--EXIT_C
