source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C6,EXIT_B,exit,1.0,5.0,50.0,107,6,2.14,214.0,True
C0,C1,navigation,1.0,3.0,30.0,46,3,1.5333333333333334,153.33333333333334,True
C19,EXIT_D,exit,1.0,4.0,40.0,56,4,1.4,140.0,True
C6,C7,navigation,1.0,4.0,40.0,52,3,1.3,130.0,True
C13,EXIT_C,exit,1.0,6.0,60.0,78,6,1.3,130.0,True
START_R06,DOOR_06,room_start,1.0,2.0,20.0,25,1,1.25,125.0,True
C1,DOOR_02,door_to_hallway,1.0,2.0,20.0,23,1,1.15,114.99999999999999,True
START_R02,DOOR_02,room_start,1.0,2.0,20.0,23,1,1.15,114.99999999999999,True
C10,DOOR_11,door_to_hallway,1.0,2.0,20.0,22,1,1.1,110.00000000000001,True
C13,C14,navigation,1.0,3.0,30.0,32,2,1.0666666666666667,106.66666666666667,True
START_R09,DOOR_09,room_start,1.0,2.0,20.0,21,1,1.05,105.0,True
C7,C8,navigation,1.0,4.0,40.0,41,2,1.025,102.49999999999999,True
C0,EXIT_A,exit,1.0,5.0,50.0,50,4,1.0,100.0,False
C9,DOOR_10,door_to_hallway,1.0,2.0,20.0,20,1,1.0,100.0,False
C11,C12,navigation,1.0,3.0,30.0,29,2,0.9666666666666667,96.66666666666667,False
C5,C6,navigation,1.0,4.0,40.0,38,2,0.95,95.0,False
C12,C13,navigation,1.0,4.0,40.0,38,3,0.95,95.0,False
C3,DOOR_04,door_to_hallway,1.0,2.0,20.0,18,1,0.9,90.0,False
C17,C18,navigation,1.0,3.0,30.0,27,2,0.9,90.0,False
C6,DOOR_07,door_to_hallway,1.0,2.0,20.0,17,1,0.85,85.0,False
C5,DOOR_06,door_to_hallway,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
C18,C19,navigation,1.0,5.0,50.0,37,3,0.74,74.0,False
C10,C11,navigation,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
START_R11,DOOR_11,room_start,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
C8,DOOR_09,door_to_hallway,1.0,3.0,30.0,21,1,0.7,70.0,False
C15,C16,navigation,1.0,4.0,40.0,27,2,0.675,67.5,False
START_R10,DOOR_10,room_start,1.0,3.0,30.0,20,1,0.6666666666666666,66.66666666666666,False
C4,DOOR_05,door_to_hallway,1.0,2.0,20.0,13,1,0.65,65.0,False
START_R17,DOOR_17,room_start,1.0,2.0,20.0,13,1,0.65,65.0,False
START_R18,DOOR_18,room_start,1.0,2.0,20.0,13,1,0.65,65.0,False
C14,DOOR_15,door_to_hallway,1.0,3.0,30.0,19,1,0.6333333333333333,63.33333333333333,False
