route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C5--C6,E007:C6--C7,E008:C7--C8,E009:C8--C9,E010:C9--C10,E011:C10--C11,E012:C11--C12,E013:C12--C13,E014:C13--C14,E015:C14--C15,E016:C15--C16,E017:C16--C17,E018:C17--C18,E019:C18--C19,E020:C19--C20,E021:C20--C21,E022:C21--C22,E023:C22--C23,E024:C23--C24,E025:C24--C25,E026:C25--C26,E027:C26--C27,E028:C27--C28,E029:C28--C29,E030:C0--EXIT_A,E031:C6--EXIT_B,E032:C12--EXIT_C,E033:C17--EXIT_D,E034:C23--EXIT_E,E035:C29--EXIT_F,E036:START_R01--DOOR_01,E037:DOOR_01--C0,E038:START_R02--DOOR_02,E039:DOOR_02--C1,E040:START_R03--DOOR_03,E041:DOOR_03--C2,E042:START_R04--DOOR_04,E043:DOOR_04--C3,E044:START_R05--DOOR_05,E045:DOOR_05--C4,E046:START_R06--DOOR_06,E047:DOOR_06--C5,E048:START_R07--DOOR_07,E049:DOOR_07--C6,E050:START_R08--DOOR_08,E051:DOOR_08--C7,E052:START_R09--DOOR_09,E053:DOOR_09--C8,E054:START_R10--DOOR_10,E055:DOOR_10--C9,E056:START_R11--DOOR_11,E057:DOOR_11--C10,E058:START_R12--DOOR_12,E059:DOOR_12--C11,E060:START_R13--DOOR_13,E061:DOOR_13--C12,E062:START_R14--DOOR_14,E063:DOOR_14--C13,E064:START_R15--DOOR_15,E065:DOOR_15--C14,E066:START_R16--DOOR_16,E067:DOOR_16--C15,E068:START_R17--DOOR_17,E069:DOOR_17--C16,E070:START_R18--DOOR_18,E071:DOOR_18--C17,E072:START_R19--DOOR_19,E073:DOOR_19--C18,E074:START_R20--DOOR_20,E075:DOOR_20--C19,E076:START_R21--DOOR_21,E077:DOOR_21--C20,E078:START_R22--DOOR_22,E079:DOOR_22--C21,E080:START_R23--DOOR_23,E081:DOOR_23--C22,E082:START_R24--DOOR_24,E083:DOOR_24--C23,E084:START_R25--DOOR_25,E085:DOOR_25--C24,E086:START_R26--DOOR_26,E087:DOOR_26--C25,E088:START_R27--DOOR_27,E089:DOOR_27--C26,E090:START_R28--DOOR_28,E091:DOOR_28--C27,E092:START_R29--DOOR_29,E093:DOOR_29--C28,E094:START_R30--DOOR_30,E095:DOOR_30--C29
R01__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_B,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_C,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_F,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_B,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_C,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_D,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
