room_id,room_name,capacity,occupancy
R01,Room 01,6,3
R02,Room 02,17,13
R03,Room 03,20,19
R04,Room 04,21,18
R05,Room 05,19,17
R06,Room 06,17,15
R07,Room 07,6,2
R08,Room 08,23,19
R09,Room 09,23,21
R10,Room 10,20,16
R11,Room 11,3,2
R12,Room 12,23,22
R13,Room 13,23,19
R14,Room 14,7,7
R15,Room 15,21,19
R16,Room 16,8,3
R17,Room 17,4,4
R18,Room 18,5,2
R19,Room 19,4,2
R20,Room 20,11,9
R21,Room 21,9,5
R22,Room 22,9,7
R23,Room 23,11,11
R24,Room 24,8,7
R25,Room 25,14,10
R26,Room 26,12,7
R27,Room 27,15,10
R28,Room 28,26,24
R29,Room 29,21,16
R30,Room 30,15,12
