edge_id,source,target,distance,capacity_units,edge_type
E001:C0--C1,C0,C1,1.0,3.0,navigation
E002:C1--C2,C1,C2,1.0,3.0,navigation
E003:C2--C3,C2,C3,1.0,3.0,navigation
E004:C3--C4,C3,C4,1.0,4.0,navigation
E005:C4--C5,C4,C5,1.0,3.0,navigation
E006:C5--C6,C5,C6,1.0,5.0,navigation
E007:C6--C7,C6,C7,1.0,5.0,navigation
E008:C7--C8,C7,C8,1.0,4.0,navigation
E009:C8--C9,C8,C9,1.0,4.0,navigation
E010:C9--C10,C9,C10,1.0,5.0,navigation
E011:C10--C11,C10,C11,1.0,3.0,navigation
E012:C11--C12,C11,C12,1.0,5.0,navigation
E013:C12--C13,C12,C13,1.0,3.0,navigation
E014:C13--C14,C13,C14,1.0,5.0,navigation
E015:C14--C15,C14,C15,1.0,5.0,navigation
E016:C15--C16,C15,C16,1.0,3.0,navigation
E017:C16--C17,C16,C17,1.0,4.0,navigation
E018:C17--C18,C17,C18,1.0,5.0,navigation
E019:C18--C19,C18,C19,1.0,4.0,navigation
E020:C19--C20,C19,C20,1.0,5.0,navigation
E021:C20--C21,C20,C21,1.0,5.0,navigation
E022:C21--C22,C21,C22,1.0,4.0,navigation
E023:C22--C23,C22,C23,1.0,5.0,navigation
E024:C23--C24,C23,C24,1.0,4.0,navigation
E025:C24--C25,C24,C25,1.0,5.0,navigation
E026:C25--C26,C25,C26,1.0,4.0,navigation
E027:C26--C27,C26,C27,1.0,3.0,navigation
E028:C27--C28,C27,C28,1.0,3.0,navigation
E029:C28--C29,C28,C29,1.0,4.0,navigation
E030:C0--EXIT_A,C0,EXIT_A,1.0,5.0,exit
E031:C6--EXIT_B,C6,EXIT_B,1.0,5.0,exit
E032:C12--EXIT_C,C12,EXIT_C,1.0,5.0,exit
E033:C17--EXIT_D,C17,EXIT_D,1.0,5.0,exit
E034:C23--EXIT_E,C23,EXIT_E,1.0,6.0,exit
E035:C29--EXIT_F,C29,EXIT_F,1.0,4.0,exit
E036:START_R01--DOOR_01,START_R01,DOOR_01,1.0,2.0,room_start
E037:DOOR_01--C0,DOOR_01,C0,1.0,2.0,door_to_hallway
E038:START_R02--DOOR_02,START_R02,DOOR_02,1.0,2.0,room_start
E039:DOOR_02--C1,DOOR_02,C1,1.0,2.0,door_to_hallway
E040:START_R03--DOOR_03,START_R03,DOOR_03,1.0,2.0,room_start
E041:DOOR_03--C2,DOOR_03,C2,1.0,3.0,door_to_hallway
E042:START_R04--DOOR_04,START_R04,DOOR_04,1.0,2.0,room_start
E043:DOOR_04--C3,DOOR_04,C3,1.0,2.0,door_to_hallway
E044:START_R05--DOOR_05,START_R05,DOOR_05,1.0,3.0,room_start
E045:DOOR_05--C4,DOOR_05,C4,1.0,2.0,door_to_hallway
E046:START_R06--DOOR_06,START_R06,DOOR_06,1.0,3.0,room_start
E047:DOOR_06--C5,DOOR_06,C5,1.0,3.0,door_to_hallway
E048:START_R07--DOOR_07,START_R07,DOOR_07,1.0,3.0,room_start
E049:DOOR_07--C6,DOOR_07,C6,1.0,3.0,door_to_hallway
E050:START_R08--DOOR_08,START_R08,DOOR_08,1.0,3.0,room_start
E051:DOOR_08--C7,DOOR_08,C7,1.0,3.0,door_to_hallway
E052:START_R09--DOOR_09,START_R09,DOOR_09,1.0,2.0,room_start
E053:DOOR_09--C8,DOOR_09,C8,1.0,3.0,door_to_hallway
E054:START_R10--DOOR_10,START_R10,DOOR_10,1.0,3.0,room_start
E055:DOOR_10--C9,DOOR_10,C9,1.0,2.0,door_to_hallway
E056:START_R11--DOOR_11,START_R11,DOOR_11,1.0,3.0,room_start
E057:DOOR_11--C10,DOOR_11,C10,1.0,3.0,door_to_hallway
E058:START_R12--DOOR_12,START_R12,DOOR_12,1.0,3.0,room_start
E059:DOOR_12--C11,DOOR_12,C11,1.0,3.0,door_to_hallway
E060:START_R13--DOOR_13,START_R13,DOOR_13,1.0,3.0,room_start
E061:DOOR_13--C12,DOOR_13,C12,1.0,3.0,door_to_hallway
E062:START_R14--DOOR_14,START_R14,DOOR_14,1.0,3.0,room_start
E063:DOOR_14--C13,DOOR_14,C13,1.0,3.0,door_to_hallway
E064:START_R15--DOOR_15,START_R15,DOOR_15,1.0,3.0,room_start
E065:DOOR_15--C14,DOOR_15,C14,1.0,2.0,door_to_hallway
E066:START_R16--DOOR_16,START_R16,DOOR_16,1.0,3.0,room_start
E067:DOOR_16--C15,DOOR_16,C15,1.0,2.0,door_to_hallway
E068:START_R17--DOOR_17,START_R17,DOOR_17,1.0,3.0,room_start
E069:DOOR_17--C16,DOOR_17,C16,1.0,3.0,door_to_hallway
E070:START_R18--DOOR_18,START_R18,DOOR_18,1.0,3.0,room_start
E071:DOOR_18--C17,DOOR_18,C17,1.0,3.0,door_to_hallway
E072:START_R19--DOOR_19,START_R19,DOOR_19,1.0,3.0,room_start
E073:DOOR_19--C18,DOOR_19,C18,1.0,3.0,door_to_hallway
E074:START_R20--DOOR_20,START_R20,DOOR_20,1.0,2.0,room_start
E075:DOOR_20--C19,DOOR_20,C19,1.0,3.0,door_to_hallway
E076:START_R21--DOOR_21,START_R21,DOOR_21,1.0,3.0,room_start
E077:DOOR_21--C20,DOOR_21,C20,1.0,2.0,door_to_hallway
E078:START_R22--DOOR_22,START_R22,DOOR_22,1.0,3.0,room_start
E079:DOOR_22--C21,DOOR_22,C21,1.0,2.0,door_to_hallway
E080:START_R23--DOOR_23,START_R23,DOOR_23,1.0,2.0,room_start
E081:DOOR_23--C22,DOOR_23,C22,1.0,2.0,door_to_hallway
E082:START_R24--DOOR_24,START_R24,DOOR_24,1.0,2.0,room_start
E083:DOOR_24--C23,DOOR_24,C23,1.0,2.0,door_to_hallway
E084:START_R25--DOOR_25,START_R25,DOOR_25,1.0,3.0,room_start
E085:DOOR_25--C24,DOOR_25,C24,1.0,2.0,door_to_hallway
E086:START_R26--DOOR_26,START_R26,DOOR_26,1.0,2.0,room_start
E087:DOOR_26--C25,DOOR_26,C25,1.0,2.0,door_to_hallway
E088:START_R27--DOOR_27,START_R27,DOOR_27,1.0,3.0,room_start
E089:DOOR_27--C26,DOOR_27,C26,1.0,2.0,door_to_hallway
E090:START_R28--DOOR_28,START_R28,DOOR_28,1.0,2.0,room_start
E091:DOOR_28--C27,DOOR_28,C27,1.0,2.0,door_to_hallway
E092:START_R29--DOOR_29,START_R29,DOOR_29,1.0,3.0,room_start
E093:DOOR_29--C28,DOOR_29,C28,1.0,2.0,door_to_hallway
E094:START_R30--DOOR_30,START_R30,DOOR_30,1.0,2.0,room_start
E095:DOOR_30--C29,DOOR_30,C29,1.0,3.0,door_to_hallway
