room_id,classical_exit,classical_distance,classical_hops,classical_path,occupancy,congestion_aware_exit,congestion_aware_distance,congestion_aware_hops,congestion_penalty,combined_cost,congestion_aware_path,exit_changed,path_changed,extra_distance,extra_hops
R01,EXIT_A,3.0,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A,13,EXIT_A,3.0,3,4.563000000000001,7.563000000000001,START_R01 -> DOOR_01 -> C0 -> EXIT_A,False,False,0.0,0
R02,EXIT_A,4.0,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,9,EXIT_A,4.0,4,3.4430000000000005,7.4430000000000005,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,False,False,0.0,0
R03,EXIT_A,5.0,5,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A,2,EXIT_A,5.0,5,3.448666666666667,8.448666666666666,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A,False,False,0.0,0
R04,EXIT_A,6.0,6,START_R04 -> DOOR_04 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,5,EXIT_A,6.0,6,3.449666666666667,9.449666666666667,START_R04 -> DOOR_04 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,False,False,0.0,0
R05,EXIT_B,5.0,5,START_R05 -> DOOR_05 -> C4 -> C5 -> C6 -> EXIT_B,2,EXIT_A,7.0,7,4.528944444444445,11.528944444444445,START_R05 -> DOOR_05 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,True,True,2.0,2
R06,EXIT_B,4.0,4,START_R06 -> DOOR_06 -> C5 -> C6 -> EXIT_B,25,EXIT_B,4.0,4,9.444444444444446,13.444444444444446,START_R06 -> DOOR_06 -> C5 -> C6 -> EXIT_B,False,False,0.0,0
R07,EXIT_B,3.0,3,START_R07 -> DOOR_07 -> C6 -> EXIT_B,13,EXIT_B,3.0,3,9.815777777777779,12.815777777777779,START_R07 -> DOOR_07 -> C6 -> EXIT_B,False,False,0.0,0
R08,EXIT_B,4.0,4,START_R08 -> DOOR_08 -> C7 -> C6 -> EXIT_B,6,EXIT_B,4.0,4,11.843999999999998,15.843999999999998,START_R08 -> DOOR_08 -> C7 -> C6 -> EXIT_B,False,False,0.0,0
R09,EXIT_B,5.0,5,START_R09 -> DOOR_09 -> C8 -> C7 -> C6 -> EXIT_B,25,EXIT_B,5.0,5,19.48784722222222,24.48784722222222,START_R09 -> DOOR_09 -> C8 -> C7 -> C6 -> EXIT_B,False,False,0.0,0
R10,EXIT_B,6.0,6,START_R10 -> DOOR_10 -> C9 -> C8 -> C7 -> C6 -> EXIT_B,18,EXIT_C,6.0,6,18.386,24.386,START_R10 -> DOOR_10 -> C9 -> C10 -> C11 -> C12 -> EXIT_C,True,True,0.0,0
R11,EXIT_C,5.0,5,START_R11 -> DOOR_11 -> C10 -> C11 -> C12 -> EXIT_C,2,EXIT_C,5.0,5,16.418666666666667,21.418666666666667,START_R11 -> DOOR_11 -> C10 -> C11 -> C12 -> EXIT_C,False,False,0.0,0
R12,EXIT_C,4.0,4,START_R12 -> DOOR_12 -> C11 -> C12 -> EXIT_C,20,EXIT_C,4.0,4,8.772444444444446,12.772444444444446,START_R12 -> DOOR_12 -> C11 -> C12 -> EXIT_C,False,False,0.0,0
R13,EXIT_C,3.0,3,START_R13 -> DOOR_13 -> C12 -> EXIT_C,9,EXIT_C,3.0,3,10.421999999999999,13.421999999999999,START_R13 -> DOOR_13 -> C12 -> EXIT_C,False,False,0.0,0
R14,EXIT_C,4.0,4,START_R14 -> DOOR_14 -> C13 -> C12 -> EXIT_C,3,EXIT_C,4.0,4,13.940222222222221,17.94022222222222,START_R14 -> DOOR_14 -> C13 -> C12 -> EXIT_C,False,False,0.0,0
R15,EXIT_C,5.0,5,START_R15 -> DOOR_15 -> C14 -> C13 -> C12 -> EXIT_C,13,EXIT_D,6.0,6,21.90477777777778,27.904777777777774,START_R15 -> DOOR_15 -> C14 -> C15 -> C16 -> C17 -> EXIT_D,True,True,1.0,1
R16,EXIT_D,5.0,5,START_R16 -> DOOR_16 -> C15 -> C16 -> C17 -> EXIT_D,22,EXIT_C,6.0,6,14.331777777777777,20.331777777777777,START_R16 -> DOOR_16 -> C15 -> C14 -> C13 -> C12 -> EXIT_C,True,True,1.0,1
R17,EXIT_D,4.0,4,START_R17 -> DOOR_17 -> C16 -> C17 -> EXIT_D,25,EXIT_D,4.0,4,10.147569444444446,14.147569444444446,START_R17 -> DOOR_17 -> C16 -> C17 -> EXIT_D,False,False,0.0,0
R18,EXIT_D,3.0,3,START_R18 -> DOOR_18 -> C17 -> EXIT_D,11,EXIT_D,3.0,3,15.794444444444444,18.794444444444444,START_R18 -> DOOR_18 -> C17 -> EXIT_D,False,False,0.0,0
R19,EXIT_D,4.0,4,START_R19 -> DOOR_19 -> C18 -> C17 -> EXIT_D,17,EXIT_D,4.0,4,13.245111111111111,17.24511111111111,START_R19 -> DOOR_19 -> C18 -> C17 -> EXIT_D,False,False,0.0,0
R20,EXIT_D,5.0,5,START_R20 -> DOOR_20 -> C19 -> C18 -> C17 -> EXIT_D,11,EXIT_E,7.0,7,19.75761111111111,26.75761111111111,START_R20 -> DOOR_20 -> C19 -> C20 -> C21 -> C22 -> C23 -> EXIT_E,True,True,2.0,2
