node_id,node_type,grid_position,description,space_type,space_id,space_name,room_id,room_name
C0,navigation,B_A3,navigation node,hallway,,,,
C1,navigation,C_A3,navigation node,hallway,,,,
C2,navigation,D_A3,navigation node,hallway,,,,
C3,navigation,D_A4,navigation node,hallway,,,,
C4,navigation,D_A5,navigation node,hallway,,,,
C5,navigation,C_A5,navigation node,hallway,,,,
C6,navigation,B_A5,navigation node,hallway,,,,
C7,navigation,B_A4,navigation node,hallway,,,,
EELBOW_EXIT_A,navigation,C3,navigation node,hallway,,,,
EXIT_A,exit,C4,exit node,,,,,
EELBOW_EXIT_B,navigation,C4,navigation node,hallway,,,,
EXIT_B,exit,C5,exit node,,,,,
DOOR_01,door,B2,door node,door,R01,,R01,Room 01
START_R01,room_start,B1,room_start node,room,R01,,R01,Room 01
ELBOW_R01,navigation,B3,navigation node,hallway,,,,
DOOR_02,door,C2,door node,door,R02,,R02,Room 02
START_R02,room_start,C1,room_start node,room,R02,,R02,Room 02
ELBOW_R02,navigation,C3,navigation node,hallway,,,,
DOOR_03,door,D2,door node,door,R03,,R03,Room 03
START_R03,room_start,D1,room_start node,room,R03,,R03,Room 03
ELBOW_R03,navigation,D3,navigation node,hallway,,,,
DOOR_04,door,D3,door node,door,R04,,R04,Room 04
START_R04,room_start,D2,room_start node,room,R04,,R04,Room 04
ELBOW_R04,navigation,D4,navigation node,hallway,,,,
DOOR_05,door,D4,door node,door,R05,,R05,Room 05
START_R05,room_start,D3,room_start node,room,R05,,R05,Room 05
ELBOW_R05,navigation,D5,navigation node,hallway,,,,
DOOR_06,door,C4,door node,door,R06,,R06,Room 06
START_R06,room_start,C3,room_start node,room,R06,,R06,Room 06
ELBOW_R06,navigation,C5,navigation node,hallway,,,,
DOOR_07,door,B4,door node,door,R07,,R07,Room 07
START_R07,room_start,B3,room_start node,room,R07,,R07,Room 07
ELBOW_R07,navigation,B5,navigation node,hallway,,,,
DOOR_08,door,B3,door node,door,R08,,R08,Room 08
START_R08,room_start,B2,room_start node,room,R08,,R08,Room 08
ELBOW_R08,navigation,B4,navigation node,hallway,,,,
DOOR_09,door,B2,door node,door,R09,,R09,Room 09
START_R09,room_start,B1,room_start node,room,R09,,R09,Room 09
ELBOW_R09,navigation,B3,navigation node,hallway,,,,
DOOR_10,door,C2,door node,door,R10,,R10,Room 10
START_R10,room_start,C1,room_start node,room,R10,,R10,Room 10
ELBOW_R10,navigation,C3,navigation node,hallway,,,,
