room_id,room_name,start_node,exit_node,dijkstra_distance,astar_distance,distances_match,same_exact_path,dijkstra_hops,astar_hops,dijkstra_path,astar_path
R01,Room 01,START_R01,EXIT_A,5.0,5.0,True,True,5,5,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> EELBOW_EXIT_A -> EXIT_A,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R01,Room 01,START_R01,EXIT_B,6.0,6.0,True,True,6,6,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B
R02,Room 02,START_R02,EXIT_A,6.0,6.0,True,True,6,6,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R02,Room 02,START_R02,EXIT_B,7.0,7.0,True,True,7,7,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B
R03,Room 03,START_R03,EXIT_A,7.0,7.0,True,True,7,7,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R03,Room 03,START_R03,EXIT_B,8.0,8.0,True,True,8,8,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B
R04,Room 04,START_R04,EXIT_A,8.0,8.0,True,True,8,8,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R04,Room 04,START_R04,EXIT_B,9.0,9.0,True,False,9,9,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C2 -> C1 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C4 -> C5 -> C6 -> C7 -> EELBOW_EXIT_B -> EXIT_B
R05,Room 05,START_R05,EXIT_A,9.0,9.0,True,False,9,9,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C3 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C5 -> C6 -> C7 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R05,Room 05,START_R05,EXIT_B,8.0,8.0,True,True,8,8,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C5 -> C6 -> C7 -> EELBOW_EXIT_B -> EXIT_B,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C5 -> C6 -> C7 -> EELBOW_EXIT_B -> EXIT_B
R06,Room 06,START_R06,EXIT_A,8.0,8.0,True,True,8,8,START_R06 -> DOOR_06 -> ELBOW_R06 -> C5 -> C6 -> C7 -> C0 -> EELBOW_EXIT_A -> EXIT_A,START_R06 -> DOOR_06 -> ELBOW_R06 -> C5 -> C6 -> C7 -> C0 -> EELBOW_EXIT_A -> EXIT_A
