route_id,room_id,room_name,start_node,exit_node,occupancy,distance,edge_count,path,edge_ids
R01__EXIT_A,R01,Room 01,START_R01,EXIT_A,7,5.0,5,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> EELBOW_EXIT_A -> EXIT_A,E013:START_R01--DOOR_01 | E014:DOOR_01--ELBOW_R01 | E015:ELBOW_R01--C0 | E009:C0--EELBOW_EXIT_A | E010:EELBOW_EXIT_A--EXIT_A
R01__EXIT_B,R01,Room 01,START_R01,EXIT_B,7,6.0,6,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B,E013:START_R01--DOOR_01 | E014:DOOR_01--ELBOW_R01 | E015:ELBOW_R01--C0 | E008:C7--C0 | E011:C7--EELBOW_EXIT_B | E012:EELBOW_EXIT_B--EXIT_B
R02__EXIT_A,R02,Room 02,START_R02,EXIT_A,25,6.0,6,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,E016:START_R02--DOOR_02 | E017:DOOR_02--ELBOW_R02 | E018:ELBOW_R02--C1 | E001:C0--C1 | E009:C0--EELBOW_EXIT_A | E010:EELBOW_EXIT_A--EXIT_A
R02__EXIT_B,R02,Room 02,START_R02,EXIT_B,25,7.0,7,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B,E016:START_R02--DOOR_02 | E017:DOOR_02--ELBOW_R02 | E018:ELBOW_R02--C1 | E001:C0--C1 | E008:C7--C0 | E011:C7--EELBOW_EXIT_B | E012:EELBOW_EXIT_B--EXIT_B
R03__EXIT_A,R03,Room 03,START_R03,EXIT_A,5,7.0,7,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,E019:START_R03--DOOR_03 | E020:DOOR_03--ELBOW_R03 | E021:ELBOW_R03--C2 | E002:C1--C2 | E001:C0--C1 | E009:C0--EELBOW_EXIT_A | E010:EELBOW_EXIT_A--EXIT_A
R03__EXIT_B,R03,Room 03,START_R03,EXIT_B,5,8.0,8,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B,E019:START_R03--DOOR_03 | E020:DOOR_03--ELBOW_R03 | E021:ELBOW_R03--C2 | E002:C1--C2 | E001:C0--C1 | E008:C7--C0 | E011:C7--EELBOW_EXIT_B | E012:EELBOW_EXIT_B--EXIT_B
R04__EXIT_A,R04,Room 04,START_R04,EXIT_A,12,8.0,8,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,E022:START_R04--DOOR_04 | E023:DOOR_04--ELBOW_R04 | E024:ELBOW_R04--C3 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E009:C0--EELBOW_EXIT_A | E010:EELBOW_EXIT_A--EXIT_A
R04__EXIT_B,R04,Room 04,START_R04,EXIT_B,12,9.0,9,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C2 -> C1 -> C0 -> C7 -> EELBOW_EXIT_B -> EXIT_B,E022:START_R04--DOOR_04 | E023:DOOR_04--ELBOW_R04 | E024:ELBOW_R04--C3 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E008:C7--C0 | E011:C7--EELBOW_EXIT_B | E012:EELBOW_EXIT_B--EXIT_B
R05__EXIT_A,R05,Room 05,START_R05,EXIT_A,24,9.0,9,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C3 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,E025:START_R05--DOOR_05 | E026:DOOR_05--ELBOW_R05 | E027:ELBOW_R05--C4 | E004:C3--C4 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E009:C0--EELBOW_EXIT_A | E010:EELBOW_EXIT_A--EXIT_A
R05__EXIT_B,R05,Room 05,START_R05,EXIT_B,24,8.0,8,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C5 -> C6 -> C7 -> EELBOW_EXIT_B -> EXIT_B,E025:START_R05--DOOR_05 | E026:DOOR_05--ELBOW_R05 | E027:ELBOW_R05--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E011:C7--EELBOW_EXIT_B | E012:EELBOW_EXIT_B--EXIT_B
