route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C5--C6,E007:C6--C7,E008:C7--C0,E009:C0--EXIT_A,E010:C7--EXIT_B,E011:START_R01--DOOR_01,E012:DOOR_01--C0,E013:START_R02--DOOR_02,E014:DOOR_02--C1,E015:START_R03--DOOR_03,E016:DOOR_03--C2,E017:START_R04--DOOR_04,E018:DOOR_04--C3,E019:START_R05--DOOR_05,E020:DOOR_05--C4,E021:START_R06--DOOR_06,E022:DOOR_06--C5,E023:START_R07--DOOR_07,E024:DOOR_07--C6,E025:START_R08--DOOR_08,E026:DOOR_08--C7,E027:START_R09--DOOR_09,E028:DOOR_09--C0,E029:START_R10--DOOR_10,E030:DOOR_10--C1
R01__EXIT_A,0,0,0,0,0,0,0,0,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_B,0,0,0,0,0,0,0,7,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_A,7,0,0,0,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_B,7,0,0,0,0,0,0,7,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_A,18,18,0,0,0,0,0,0,18,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_B,18,18,0,0,0,0,0,18,0,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R04__EXIT_A,13,13,13,0,0,0,0,0,13,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
R04__EXIT_B,13,13,13,0,0,0,0,13,0,13,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0
R05__EXIT_A,23,23,23,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0
R05__EXIT_B,0,0,0,0,23,23,23,0,0,23,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,0
R06__EXIT_A,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0
R06__EXIT_B,0,0,0,0,0,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0
R07__EXIT_A,0,0,0,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0
R07__EXIT_B,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0
R08__EXIT_A,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0
R08__EXIT_B,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0
R09__EXIT_A,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0
R09__EXIT_B,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0
R10__EXIT_A,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
R10__EXIT_B,13,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
