route_id,room_id,room_name,start_node,exit_node,occupancy,distance,edge_count,path,edge_ids
R01__EXIT_A,R01,Room 01,START_R01,EXIT_A,7,3.0,3,START_R01 -> DOOR_01 -> C0 -> EXIT_A,E011:START_R01--DOOR_01 | E012:DOOR_01--C0 | E009:C0--EXIT_A
R01__EXIT_B,R01,Room 01,START_R01,EXIT_B,7,4.0,4,START_R01 -> DOOR_01 -> C0 -> C7 -> EXIT_B,E011:START_R01--DOOR_01 | E012:DOOR_01--C0 | E008:C7--C0 | E010:C7--EXIT_B
R02__EXIT_A,R02,Room 02,START_R02,EXIT_A,7,4.0,4,START_R02 -> DOOR_02 -> C1 -> C0 -> EXIT_A,E013:START_R02--DOOR_02 | E014:DOOR_02--C1 | E001:C0--C1 | E009:C0--EXIT_A
R02__EXIT_B,R02,Room 02,START_R02,EXIT_B,7,5.0,5,START_R02 -> DOOR_02 -> C1 -> C0 -> C7 -> EXIT_B,E013:START_R02--DOOR_02 | E014:DOOR_02--C1 | E001:C0--C1 | E008:C7--C0 | E010:C7--EXIT_B
R03__EXIT_A,R03,Room 03,START_R03,EXIT_A,18,5.0,5,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> EXIT_A,E015:START_R03--DOOR_03 | E016:DOOR_03--C2 | E002:C1--C2 | E001:C0--C1 | E009:C0--EXIT_A
R03__EXIT_B,R03,Room 03,START_R03,EXIT_B,18,6.0,6,START_R03 -> DOOR_03 -> C2 -> C1 -> C0 -> C7 -> EXIT_B,E015:START_R03--DOOR_03 | E016:DOOR_03--C2 | E002:C1--C2 | E001:C0--C1 | E008:C7--C0 | E010:C7--EXIT_B
R04__EXIT_A,R04,Room 04,START_R04,EXIT_A,13,6.0,6,START_R04 -> DOOR_04 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,E017:START_R04--DOOR_04 | E018:DOOR_04--C3 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E009:C0--EXIT_A
R04__EXIT_B,R04,Room 04,START_R04,EXIT_B,13,7.0,7,START_R04 -> DOOR_04 -> C3 -> C2 -> C1 -> C0 -> C7 -> EXIT_B,E017:START_R04--DOOR_04 | E018:DOOR_04--C3 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E008:C7--C0 | E010:C7--EXIT_B
R05__EXIT_A,R05,Room 05,START_R05,EXIT_A,23,7.0,7,START_R05 -> DOOR_05 -> C4 -> C3 -> C2 -> C1 -> C0 -> EXIT_A,E019:START_R05--DOOR_05 | E020:DOOR_05--C4 | E004:C3--C4 | E003:C2--C3 | E002:C1--C2 | E001:C0--C1 | E009:C0--EXIT_A
R05__EXIT_B,R05,Room 05,START_R05,EXIT_B,23,6.0,6,START_R05 -> DOOR_05 -> C4 -> C5 -> C6 -> C7 -> EXIT_B,E019:START_R05--DOOR_05 | E020:DOOR_05--C4 | E005:C4--C5 | E006:C5--C6 | E007:C6--C7 | E010:C7--EXIT_B
R06__EXIT_A,R06,Room 06,START_R06,EXIT_A,7,6.0,6,START_R06 -> DOOR_06 -> C5 -> C6 -> C7 -> C0 -> EXIT_A,E021:START_R06--DOOR_06 | E022:DOOR_06--C5 | E006:C5--C6 | E007:C6--C7 | E008:C7--C0 | E009:C0--EXIT_A
R06__EXIT_B,R06,Room 06,START_R06,EXIT_B,7,5.0,5,START_R06 -> DOOR_06 -> C5 -> C6 -> C7 -> EXIT_B,E021:START_R06--DOOR_06 | E022:DOOR_06--C5 | E006:C5--C6 | E007:C6--C7 | E010:C7--EXIT_B
R07__EXIT_A,R07,Room 07,START_R07,EXIT_A,15,5.0,5,START_R07 -> DOOR_07 -> C6 -> C7 -> C0 -> EXIT_A,E023:START_R07--DOOR_07 | E024:DOOR_07--C6 | E007:C6--C7 | E008:C7--C0 | E009:C0--EXIT_A
R07__EXIT_B,R07,Room 07,START_R07,EXIT_B,15,4.0,4,START_R07 -> DOOR_07 -> C6 -> C7 -> EXIT_B,E023:START_R07--DOOR_07 | E024:DOOR_07--C6 | E007:C6--C7 | E010:C7--EXIT_B
R08__EXIT_A,R08,Room 08,START_R08,EXIT_A,18,4.0,4,START_R08 -> DOOR_08 -> C7 -> C0 -> EXIT_A,E025:START_R08--DOOR_08 | E026:DOOR_08--C7 | E008:C7--C0 | E009:C0--EXIT_A
R08__EXIT_B,R08,Room 08,START_R08,EXIT_B,18,3.0,3,START_R08 -> DOOR_08 -> C7 -> EXIT_B,E025:START_R08--DOOR_08 | E026:DOOR_08--C7 | E010:C7--EXIT_B
R09__EXIT_A,R09,Room 09,START_R09,EXIT_A,20,3.0,3,START_R09 -> DOOR_09 -> C0 -> EXIT_A,E027:START_R09--DOOR_09 | E028:DOOR_09--C0 | E009:C0--EXIT_A
R09__EXIT_B,R09,Room 09,START_R09,EXIT_B,20,4.0,4,START_R09 -> DOOR_09 -> C0 -> C7 -> EXIT_B,E027:START_R09--DOOR_09 | E028:DOOR_09--C0 | E008:C7--C0 | E010:C7--EXIT_B
R10__EXIT_A,R10,Room 10,START_R10,EXIT_A,13,4.0,4,START_R10 -> DOOR_10 -> C1 -> C0 -> EXIT_A,E029:START_R10--DOOR_10 | E030:DOOR_10--C1 | E001:C0--C1 | E009:C0--EXIT_A
R10__EXIT_B,R10,Room 10,START_R10,EXIT_B,13,5.0,5,START_R10 -> DOOR_10 -> C1 -> C0 -> C7 -> EXIT_B,E029:START_R10--DOOR_10 | E030:DOOR_10--C1 | E001:C0--C1 | E008:C7--C0 | E010:C7--EXIT_B
