source,target,edge_type,distance,capacity_units,effective_capacity_people,occupants_using_edge,rooms_using_edge,utilization_ratio,utilization_percent,is_congested
C7,EELBOW_EXIT_B,navigation,1.0,4.0,40.0,73,5,1.825,182.5,True
C0,C1,navigation,1.0,3.0,30.0,52,3,1.7333333333333334,173.33333333333334,True
C0,EELBOW_EXIT_A,navigation,1.0,5.0,50.0,83,5,1.66,166.0,True
EELBOW_EXIT_A,EXIT_A,exit,1.0,6.0,60.0,83,5,1.3833333333333333,138.33333333333334,True
C2,ELBOW_R03,navigation,1.0,2.0,20.0,25,1,1.25,125.0,True
DOOR_03,ELBOW_R03,door_to_hallway,1.0,2.0,20.0,25,1,1.25,125.0,True
EELBOW_EXIT_B,EXIT_B,exit,1.0,6.0,60.0,73,5,1.2166666666666666,121.66666666666666,True
C6,C7,navigation,1.0,5.0,50.0,59,4,1.18,118.0,True
C4,C5,navigation,1.0,3.0,30.0,31,2,1.0333333333333334,103.33333333333334,True
DOOR_07,START_R07,room_start,1.0,2.0,20.0,18,1,0.9,90.0,False
DOOR_07,ELBOW_R07,door_to_hallway,1.0,2.0,20.0,18,1,0.9,90.0,False
C1,C2,navigation,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
DOOR_03,START_R03,room_start,1.0,3.0,30.0,25,1,0.8333333333333334,83.33333333333334,False
C5,C6,navigation,1.0,5.0,50.0,41,3,0.82,82.0,False
DOOR_01,START_R01,room_start,1.0,2.0,20.0,16,1,0.8,80.0,False
DOOR_01,ELBOW_R01,door_to_hallway,1.0,2.0,20.0,16,1,0.8,80.0,False
DOOR_09,START_R09,room_start,1.0,2.0,20.0,16,1,0.8,80.0,False
C3,ELBOW_R04,navigation,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
DOOR_04,START_R04,room_start,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
DOOR_04,ELBOW_R04,door_to_hallway,1.0,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
C0,C7,navigation,1.0,4.0,40.0,27,2,0.675,67.5,False
DOOR_08,START_R08,room_start,1.0,2.0,20.0,13,1,0.65,65.0,False
DOOR_08,ELBOW_R08,door_to_hallway,1.0,2.0,20.0,13,1,0.65,65.0,False
C6,ELBOW_R07,navigation,1.0,3.0,30.0,18,1,0.6,60.0,False
C3,C4,navigation,1.0,4.0,40.0,22,1,0.55,55.00000000000001,False
C0,ELBOW_R01,navigation,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
C0,ELBOW_R09,navigation,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
DOOR_09,ELBOW_R09,door_to_hallway,1.0,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
C5,ELBOW_R06,navigation,1.0,2.0,20.0,10,1,0.5,50.0,False
DOOR_06,START_R06,room_start,1.0,2.0,20.0,10,1,0.5,50.0,False
DOOR_06,ELBOW_R06,door_to_hallway,1.0,2.0,20.0,10,1,0.5,50.0,False
C1,ELBOW_R02,navigation,1.0,3.0,30.0,14,1,0.4666666666666667,46.666666666666664,False
DOOR_02,START_R02,room_start,1.0,3.0,30.0,14,1,0.4666666666666667,46.666666666666664,False
DOOR_02,ELBOW_R02,door_to_hallway,1.0,3.0,30.0,14,1,0.4666666666666667,46.666666666666664,False
C4,ELBOW_R05,navigation,1.0,2.0,20.0,9,1,0.45,45.0,False
C1,ELBOW_R10,navigation,1.0,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
C7,ELBOW_R08,navigation,1.0,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
DOOR_10,START_R10,room_start,1.0,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
DOOR_10,ELBOW_R10,door_to_hallway,1.0,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
DOOR_05,START_R05,room_start,1.0,3.0,30.0,9,1,0.3,30.0,False
DOOR_05,ELBOW_R05,door_to_hallway,1.0,3.0,30.0,9,1,0.3,30.0,False
C2,C3,navigation,1.0,3.0,30.0,0,0,0.0,0.0,False
