node_id,node_type,grid_position,capacity_units,effective_capacity_people,occupants_using_node,rooms_using_node,utilization_ratio,utilization_percent,is_congested
C0,navigation,B_A3,3.0,30.0,97,6,3.2333333333333334,323.3333333333333,True
C7,navigation,B_A4,3.0,30.0,86,6,2.8666666666666667,286.6666666666667,True
C5,navigation,C_A5,2.0,20.0,41,3,2.05,204.99999999999997,True
C6,navigation,B_A5,3.0,30.0,59,4,1.9666666666666666,196.66666666666666,True
EELBOW_EXIT_B,navigation,C4,4.0,40.0,73,5,1.825,182.5,True
C1,navigation,C_A3,3.0,30.0,52,3,1.7333333333333334,173.33333333333334,True
EELBOW_EXIT_A,navigation,C3,5.0,50.0,83,5,1.66,166.0,True
C4,navigation,D_A5,2.0,20.0,31,2,1.55,155.0,True
EXIT_A,exit,C4,6.0,60.0,83,5,1.3833333333333333,138.33333333333334,True
C2,navigation,D_A3,2.0,20.0,25,1,1.25,125.0,True
DOOR_03,door,D2,2.0,20.0,25,1,1.25,125.0,True
ELBOW_R03,navigation,D3,2.0,20.0,25,1,1.25,125.0,True
EXIT_B,exit,C5,6.0,60.0,73,5,1.2166666666666666,121.66666666666666,True
DOOR_07,door,B4,2.0,20.0,18,1,0.9,90.0,False
ELBOW_R07,navigation,B5,2.0,20.0,18,1,0.9,90.0,False
DOOR_01,door,B2,2.0,20.0,16,1,0.8,80.0,False
ELBOW_R01,navigation,B3,2.0,20.0,16,1,0.8,80.0,False
DOOR_09,door,B2,2.0,20.0,16,1,0.8,80.0,False
C3,navigation,D_A4,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
DOOR_04,door,D3,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
ELBOW_R04,navigation,D4,3.0,30.0,22,1,0.7333333333333333,73.33333333333333,False
DOOR_08,door,B3,2.0,20.0,13,1,0.65,65.0,False
ELBOW_R08,navigation,B4,2.0,20.0,13,1,0.65,65.0,False
ELBOW_R09,navigation,B3,3.0,30.0,16,1,0.5333333333333333,53.333333333333336,False
DOOR_06,door,C4,2.0,20.0,10,1,0.5,50.0,False
ELBOW_R06,navigation,C5,2.0,20.0,10,1,0.5,50.0,False
DOOR_02,door,C2,3.0,30.0,14,1,0.4666666666666667,46.666666666666664,False
ELBOW_R02,navigation,C3,3.0,30.0,14,1,0.4666666666666667,46.666666666666664,False
ELBOW_R05,navigation,D5,2.0,20.0,9,1,0.45,45.0,False
DOOR_10,door,C2,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
ELBOW_R10,navigation,C3,3.0,30.0,13,1,0.43333333333333335,43.333333333333336,False
DOOR_05,door,D4,3.0,30.0,9,1,0.3,30.0,False
