route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C5--C6,E007:C6--C7,E008:C7--C8,E009:C8--C9,E010:C9--C10,E011:C10--C11,E012:C11--C12,E013:C12--C13,E014:C13--C14,E015:C14--C15,E016:C15--C0,E017:C0--EXIT_A,E018:C5--EXIT_B,E019:C10--EXIT_C,E020:C15--EXIT_D,E021:START_R01--DOOR_01,E022:DOOR_01--C0,E023:START_R02--DOOR_02,E024:DOOR_02--C1,E025:START_R03--DOOR_03,E026:DOOR_03--C2,E027:START_R04--DOOR_04,E028:DOOR_04--C3,E029:START_R05--DOOR_05,E030:DOOR_05--C4,E031:START_R06--DOOR_06,E032:DOOR_06--C5,E033:START_R07--DOOR_07,E034:DOOR_07--C6,E035:START_R08--DOOR_08,E036:DOOR_08--C7,E037:START_R09--DOOR_09,E038:DOOR_09--C8,E039:START_R10--DOOR_10,E040:DOOR_10--C9,E041:START_R11--DOOR_11,E042:DOOR_11--C10,E043:START_R12--DOOR_12,E044:DOOR_12--C11,E045:START_R13--DOOR_13,E046:DOOR_13--C12,E047:START_R14--DOOR_14,E048:DOOR_14--C13,E049:START_R15--DOOR_15,E050:DOOR_15--C14,E051:START_R16--DOOR_16,E052:DOOR_16--C15,E053:START_R17--DOOR_17,E054:DOOR_17--C0,E055:START_R18--DOOR_18,E056:DOOR_18--C1,E057:START_R19--DOOR_19,E058:DOOR_19--C2,E059:START_R20--DOOR_20,E060:DOOR_20--C3
R01__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_B,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_C,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,0,0,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_A,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_B,0,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_C,24,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,0,0,24,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_D,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_A,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_B,0,0,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
