room_id,room_name,start_node,occupancy,selected_exit,distance,congestion_penalty,combined_cost,hops,path
R01,Room 01,START_R01,20,EXIT_D,6.0,25.063194444444445,31.063194444444445,6,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> C15 -> EELBOW_EXIT_D -> EXIT_D
R02,Room 02,START_R02,16,EXIT_A,6.0,45.85,51.85,6,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R03,Room 03,START_R03,23,EXIT_A,7.0,18.875013888888887,25.875013888888887,7,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R04,Room 04,START_R04,21,EXIT_B,7.0,24.474013888888887,31.47401388888889,7,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B
R05,Room 05,START_R05,2,EXIT_B,6.0,38.3,44.3,6,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B
R06,Room 06,START_R06,25,EXIT_B,5.0,21.21527777777778,26.21527777777778,5,START_R06 -> DOOR_06 -> ELBOW_R06 -> C5 -> EELBOW_EXIT_B -> EXIT_B
R07,Room 07,START_R07,6,EXIT_B,6.0,28.47168055555555,34.47168055555555,6,START_R07 -> DOOR_07 -> ELBOW_R07 -> C6 -> C5 -> EELBOW_EXIT_B -> EXIT_B
R08,Room 08,START_R08,19,EXIT_C,8.0,19.163305555555556,27.163305555555556,8,START_R08 -> DOOR_08 -> ELBOW_R08 -> C7 -> C8 -> C9 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R09,Room 09,START_R09,15,EXIT_B,8.0,22.941305555555555,30.941305555555555,8,START_R09 -> DOOR_09 -> ELBOW_R09 -> C8 -> C7 -> C6 -> C5 -> EELBOW_EXIT_B -> EXIT_B
R10,Room 10,START_R10,17,EXIT_C,6.0,21.50116666666667,27.50116666666667,6,START_R10 -> DOOR_10 -> ELBOW_R10 -> C9 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R11,Room 11,START_R11,20,EXIT_C,5.0,10.8,15.8,5,START_R11 -> DOOR_11 -> ELBOW_R11 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R12,Room 12,START_R12,8,EXIT_C,6.0,25.600055555555556,31.600055555555556,6,START_R12 -> DOOR_12 -> ELBOW_R12 -> C11 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R13,Room 13,START_R13,15,EXIT_C,7.0,24.89588888888889,31.89588888888889,7,START_R13 -> DOOR_13 -> ELBOW_R13 -> C12 -> C11 -> C10 -> EELBOW_EXIT_C -> EXIT_C
R14,Room 14,START_R14,13,EXIT_D,7.0,29.511805555555554,36.511805555555554,7,START_R14 -> DOOR_14 -> ELBOW_R14 -> C13 -> C14 -> C15 -> EELBOW_EXIT_D -> EXIT_D
R15,Room 15,START_R15,13,EXIT_D,6.0,40.66111111111111,46.66111111111111,6,START_R15 -> DOOR_15 -> ELBOW_R15 -> C14 -> C15 -> EELBOW_EXIT_D -> EXIT_D
R16,Room 16,START_R16,19,EXIT_D,5.0,24.773611111111112,29.773611111111112,5,START_R16 -> DOOR_16 -> ELBOW_R16 -> C15 -> EELBOW_EXIT_D -> EXIT_D
R17,Room 17,START_R17,21,EXIT_D,6.0,13.78125,19.78125,6,START_R17 -> DOOR_17 -> ELBOW_R17 -> C0 -> C15 -> EELBOW_EXIT_D -> EXIT_D
R18,Room 18,START_R18,12,EXIT_B,9.0,38.984513888888884,47.984513888888884,9,START_R18 -> DOOR_18 -> ELBOW_R18 -> C1 -> C2 -> C3 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B
R19,Room 19,START_R19,21,EXIT_A,7.0,39.90394444444445,46.90394444444445,7,START_R19 -> DOOR_19 -> ELBOW_R19 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A
R20,Room 20,START_R20,9,EXIT_B,7.0,40.01188888888889,47.01188888888889,7,START_R20 -> DOOR_20 -> ELBOW_R20 -> C3 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B
