room_id,room_name,primary_exit,sequence_index,node_id,node_type,grid_position
R01,Room 01,EXIT_A,0,START_R01,room_start,B1
R01,Room 01,EXIT_A,1,DOOR_01,door,B2
R01,Room 01,EXIT_A,2,ELBOW_R01,navigation,B3
R01,Room 01,EXIT_A,3,C0,navigation,B_A3
R01,Room 01,EXIT_A,4,EELBOW_EXIT_A,navigation,C3
R01,Room 01,EXIT_A,5,EXIT_A,exit,C4
R02,Room 02,EXIT_A,0,START_R02,room_start,C1
R02,Room 02,EXIT_A,1,DOOR_02,door,C2
R02,Room 02,EXIT_A,2,ELBOW_R02,navigation,C3
R02,Room 02,EXIT_A,3,C1,navigation,C_A3
R02,Room 02,EXIT_A,4,C0,navigation,B_A3
R02,Room 02,EXIT_A,5,EELBOW_EXIT_A,navigation,C3
R02,Room 02,EXIT_A,6,EXIT_A,exit,C4
R03,Room 03,EXIT_A,0,START_R03,room_start,D1
R03,Room 03,EXIT_A,1,DOOR_03,door,D2
R03,Room 03,EXIT_A,2,ELBOW_R03,navigation,D3
R03,Room 03,EXIT_A,3,C2,navigation,D_A3
R03,Room 03,EXIT_A,4,C1,navigation,C_A3
R03,Room 03,EXIT_A,5,C0,navigation,B_A3
R03,Room 03,EXIT_A,6,EELBOW_EXIT_A,navigation,C3
R03,Room 03,EXIT_A,7,EXIT_A,exit,C4
R04,Room 04,EXIT_B,0,START_R04,room_start,E1
R04,Room 04,EXIT_B,1,DOOR_04,door,E2
R04,Room 04,EXIT_B,2,ELBOW_R04,navigation,E3
R04,Room 04,EXIT_B,3,C3,navigation,E_A3
R04,Room 04,EXIT_B,4,C4,navigation,F_A3
R04,Room 04,EXIT_B,5,C5,navigation,F_A4
R04,Room 04,EXIT_B,6,EELBOW_EXIT_B,navigation,G4
R04,Room 04,EXIT_B,7,EXIT_B,exit,G5
R05,Room 05,EXIT_B,0,START_R05,room_start,F1
R05,Room 05,EXIT_B,1,DOOR_05,door,F2
R05,Room 05,EXIT_B,2,ELBOW_R05,navigation,F3
R05,Room 05,EXIT_B,3,C4,navigation,F_A3
R05,Room 05,EXIT_B,4,C5,navigation,F_A4
R05,Room 05,EXIT_B,5,EELBOW_EXIT_B,navigation,G4
R05,Room 05,EXIT_B,6,EXIT_B,exit,G5
R06,Room 06,EXIT_B,0,START_R06,room_start,F2
R06,Room 06,EXIT_B,1,DOOR_06,door,F3
R06,Room 06,EXIT_B,2,ELBOW_R06,navigation,F4
R06,Room 06,EXIT_B,3,C5,navigation,F_A4
R06,Room 06,EXIT_B,4,EELBOW_EXIT_B,navigation,G4
R06,Room 06,EXIT_B,5,EXIT_B,exit,G5
R07,Room 07,EXIT_B,0,START_R07,room_start,F3
R07,Room 07,EXIT_B,1,DOOR_07,door,F4
R07,Room 07,EXIT_B,2,ELBOW_R07,navigation,F5
R07,Room 07,EXIT_B,3,C6,navigation,F_A5
R07,Room 07,EXIT_B,4,C5,navigation,F_A4
