room_id,classical_exit,classical_distance,classical_hops,classical_path,occupancy,congestion_aware_exit,congestion_aware_distance,congestion_aware_hops,congestion_penalty,combined_cost,congestion_aware_path,exit_changed,path_changed,extra_distance,extra_hops
R01,EXIT_A,5.0,5,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> EELBOW_EXIT_A -> EXIT_A,20,EXIT_D,6.0,6,25.063194444444445,31.063194444444445,START_R01 -> DOOR_01 -> ELBOW_R01 -> C0 -> C15 -> EELBOW_EXIT_D -> EXIT_D,True,True,1.0,1
R02,EXIT_A,6.0,6,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,16,EXIT_A,6.0,6,45.85,51.85,START_R02 -> DOOR_02 -> ELBOW_R02 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,False,False,0.0,0
R03,EXIT_A,7.0,7,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,23,EXIT_A,7.0,7,18.875013888888887,25.875013888888887,START_R03 -> DOOR_03 -> ELBOW_R03 -> C2 -> C1 -> C0 -> EELBOW_EXIT_A -> EXIT_A,False,False,0.0,0
R04,EXIT_B,7.0,7,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B,21,EXIT_B,7.0,7,24.474013888888887,31.47401388888889,START_R04 -> DOOR_04 -> ELBOW_R04 -> C3 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B,False,False,0.0,0
R05,EXIT_B,6.0,6,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B,2,EXIT_B,6.0,6,38.3,44.3,START_R05 -> DOOR_05 -> ELBOW_R05 -> C4 -> C5 -> EELBOW_EXIT_B -> EXIT_B,False,False,0.0,0
R06,EXIT_B,5.0,5,START_R06 -> DOOR_06 -> ELBOW_R06 -> C5 -> EELBOW_EXIT_B -> EXIT_B,25,EXIT_B,5.0,5,21.21527777777778,26.21527777777778,START_R06 -> DOOR_06 -> ELBOW_R06 -> C5 -> EELBOW_EXIT_B -> EXIT_B,False,False,0.0,0
R07,EXIT_B,6.0,6,START_R07 -> DOOR_07 -> ELBOW_R07 -> C6 -> C5 -> EELBOW_EXIT_B -> EXIT_B,6,EXIT_B,6.0,6,28.47168055555555,34.47168055555555,START_R07 -> DOOR_07 -> ELBOW_R07 -> C6 -> C5 -> EELBOW_EXIT_B -> EXIT_B,False,False,0.0,0
R08,EXIT_B,7.0,7,START_R08 -> DOOR_08 -> ELBOW_R08 -> C7 -> C6 -> C5 -> EELBOW_EXIT_B -> EXIT_B,19,EXIT_C,8.0,8,19.163305555555556,27.163305555555556,START_R08 -> DOOR_08 -> ELBOW_R08 -> C7 -> C8 -> C9 -> C10 -> EELBOW_EXIT_C -> EXIT_C,True,True,1.0,1
R09,EXIT_C,7.0,7,START_R09 -> DOOR_09 -> ELBOW_R09 -> C8 -> C9 -> C10 -> EELBOW_EXIT_C -> EXIT_C,15,EXIT_B,8.0,8,22.941305555555555,30.941305555555555,START_R09 -> DOOR_09 -> ELBOW_R09 -> C8 -> C7 -> C6 -> C5 -> EELBOW_EXIT_B -> EXIT_B,True,True,1.0,1
R10,EXIT_C,6.0,6,START_R10 -> DOOR_10 -> ELBOW_R10 -> C9 -> C10 -> EELBOW_EXIT_C -> EXIT_C,17,EXIT_C,6.0,6,21.50116666666667,27.50116666666667,START_R10 -> DOOR_10 -> ELBOW_R10 -> C9 -> C10 -> EELBOW_EXIT_C -> EXIT_C,False,False,0.0,0
R11,EXIT_C,5.0,5,START_R11 -> DOOR_11 -> ELBOW_R11 -> C10 -> EELBOW_EXIT_C -> EXIT_C,20,EXIT_C,5.0,5,10.8,15.8,START_R11 -> DOOR_11 -> ELBOW_R11 -> C10 -> EELBOW_EXIT_C -> EXIT_C,False,False,0.0,0
R12,EXIT_C,6.0,6,START_R12 -> DOOR_12 -> ELBOW_R12 -> C11 -> C10 -> EELBOW_EXIT_C -> EXIT_C,8,EXIT_C,6.0,6,25.600055555555556,31.600055555555556,START_R12 -> DOOR_12 -> ELBOW_R12 -> C11 -> C10 -> EELBOW_EXIT_C -> EXIT_C,False,False,0.0,0
R13,EXIT_C,7.0,7,START_R13 -> DOOR_13 -> ELBOW_R13 -> C12 -> C11 -> C10 -> EELBOW_EXIT_C -> EXIT_C,15,EXIT_C,7.0,7,24.89588888888889,31.89588888888889,START_R13 -> DOOR_13 -> ELBOW_R13 -> C12 -> C11 -> C10 -> EELBOW_EXIT_C -> EXIT_C,False,False,0.0,0
R14,EXIT_D,7.0,7,START_R14 -> DOOR_14 -> ELBOW_R14 -> C13 -> C14 -> C15 -> EELBOW_EXIT_D -> EXIT_D,13,EXIT_D,7.0,7,29.511805555555554,36.511805555555554,START_R14 -> DOOR_14 -> ELBOW_R14 -> C13 -> C14 -> C15 -> EELBOW_EXIT_D -> EXIT_D,False,False,0.0,0
R15,EXIT_D,6.0,6,START_R15 -> DOOR_15 -> ELBOW_R15 -> C14 -> C15 -> EELBOW_EXIT_D -> EXIT_D,13,EXIT_D,6.0,6,40.66111111111111,46.66111111111111,START_R15 -> DOOR_15 -> ELBOW_R15 -> C14 -> C15 -> EELBOW_EXIT_D -> EXIT_D,False,False,0.0,0
R16,EXIT_D,5.0,5,START_R16 -> DOOR_16 -> ELBOW_R16 -> C15 -> EELBOW_EXIT_D -> EXIT_D,19,EXIT_D,5.0,5,24.773611111111112,29.773611111111112,START_R16 -> DOOR_16 -> ELBOW_R16 -> C15 -> EELBOW_EXIT_D -> EXIT_D,False,False,0.0,0
R17,EXIT_A,5.0,5,START_R17 -> DOOR_17 -> ELBOW_R17 -> C0 -> EELBOW_EXIT_A -> EXIT_A,21,EXIT_D,6.0,6,13.78125,19.78125,START_R17 -> DOOR_17 -> ELBOW_R17 -> C0 -> C15 -> EELBOW_EXIT_D -> EXIT_D,True,True,1.0,1
