source,target,edge_type,distance,capacity,notes
C0,C1,navigation,1.0,3,
C1,C2,navigation,1.0,3,
C2,C3,navigation,1.0,3,
C3,C4,navigation,1.0,4,
C4,C5,navigation,1.0,3,
C5,C6,navigation,1.0,5,
C6,C7,navigation,1.0,5,
C7,C8,navigation,1.0,4,
C8,C9,navigation,1.0,4,
C9,C10,navigation,1.0,5,
C10,C11,navigation,1.0,3,
C11,C12,navigation,1.0,5,
C12,C13,navigation,1.0,3,
C13,C14,navigation,1.0,5,
C14,C15,navigation,1.0,5,
C15,C0,navigation,1.0,3,
C0,EELBOW_EXIT_A,navigation,1.0,5,
EELBOW_EXIT_A,EXIT_A,exit,1.0,6,
C5,EELBOW_EXIT_B,navigation,1.0,5,
EELBOW_EXIT_B,EXIT_B,exit,1.0,6,
C10,EELBOW_EXIT_C,navigation,1.0,6,
EELBOW_EXIT_C,EXIT_C,exit,1.0,5,
C15,EELBOW_EXIT_D,navigation,1.0,6,
EELBOW_EXIT_D,EXIT_D,exit,1.0,5,
START_R01,DOOR_01,room_start,1.0,3,
DOOR_01,ELBOW_R01,door_to_hallway,1.0,2,
ELBOW_R01,C0,navigation,1.0,2,
START_R02,DOOR_02,room_start,1.0,3,
DOOR_02,ELBOW_R02,door_to_hallway,1.0,3,
ELBOW_R02,C1,navigation,1.0,3,
START_R03,DOOR_03,room_start,1.0,3,
DOOR_03,ELBOW_R03,door_to_hallway,1.0,3,
ELBOW_R03,C2,navigation,1.0,2,
START_R04,DOOR_04,room_start,1.0,2,
DOOR_04,ELBOW_R04,door_to_hallway,1.0,2,
ELBOW_R04,C3,navigation,1.0,2,
START_R05,DOOR_05,room_start,1.0,2,
DOOR_05,ELBOW_R05,door_to_hallway,1.0,2,
ELBOW_R05,C4,navigation,1.0,3,
START_R06,DOOR_06,room_start,1.0,2,
DOOR_06,ELBOW_R06,door_to_hallway,1.0,2,
ELBOW_R06,C5,navigation,1.0,3,
START_R07,DOOR_07,room_start,1.0,2,
DOOR_07,ELBOW_R07,door_to_hallway,1.0,3,
ELBOW_R07,C6,navigation,1.0,3,
START_R08,DOOR_08,room_start,1.0,3,
DOOR_08,ELBOW_R08,door_to_hallway,1.0,3,
ELBOW_R08,C7,navigation,1.0,3,
START_R09,DOOR_09,room_start,1.0,3,
DOOR_09,ELBOW_R09,door_to_hallway,1.0,2,
ELBOW_R09,C8,navigation,1.0,3,
START_R10,DOOR_10,room_start,1.0,3,
DOOR_10,ELBOW_R10,door_to_hallway,1.0,2,
ELBOW_R10,C9,navigation,1.0,3,
START_R11,DOOR_11,room_start,1.0,3,
DOOR_11,ELBOW_R11,door_to_hallway,1.0,3,
ELBOW_R11,C10,navigation,1.0,3,
START_R12,DOOR_12,room_start,1.0,3,
DOOR_12,ELBOW_R12,door_to_hallway,1.0,3,
ELBOW_R12,C11,navigation,1.0,3,
START_R13,DOOR_13,room_start,1.0,3,
DOOR_13,ELBOW_R13,door_to_hallway,1.0,3,
ELBOW_R13,C12,navigation,1.0,2,
START_R14,DOOR_14,room_start,1.0,3,
DOOR_14,ELBOW_R14,door_to_hallway,1.0,2,
ELBOW_R14,C13,navigation,1.0,3,
START_R15,DOOR_15,room_start,1.0,3,
DOOR_15,ELBOW_R15,door_to_hallway,1.0,3,
ELBOW_R15,C14,navigation,1.0,3,
START_R16,DOOR_16,room_start,1.0,3,
DOOR_16,ELBOW_R16,door_to_hallway,1.0,3,
ELBOW_R16,C15,navigation,1.0,2,
START_R17,DOOR_17,room_start,1.0,3,
DOOR_17,ELBOW_R17,door_to_hallway,1.0,3,
ELBOW_R17,C0,navigation,1.0,2,
START_R18,DOOR_18,room_start,1.0,3,
DOOR_18,ELBOW_R18,door_to_hallway,1.0,2,
ELBOW_R18,C1,navigation,1.0,2,
START_R19,DOOR_19,room_start,1.0,2,
DOOR_19,ELBOW_R19,door_to_hallway,1.0,2,
ELBOW_R19,C2,navigation,1.0,2,
START_R20,DOOR_20,room_start,1.0,3,
DOOR_20,ELBOW_R20,door_to_hallway,1.0,2,
ELBOW_R20,C3,navigation,1.0,2,
