route_id,E001:C0--C1,E002:C1--C2,E003:C2--C3,E004:C3--C4,E005:C4--C5,E006:C5--C6,E007:C6--C7,E008:C7--C8,E009:C8--C9,E010:C9--C10,E011:C10--C11,E012:C11--C12,E013:C12--C13,E014:C13--C14,E015:C14--C15,E016:C15--C0,E017:C0--EELBOW_EXIT_A,E018:EELBOW_EXIT_A--EXIT_A,E019:C5--EELBOW_EXIT_B,E020:EELBOW_EXIT_B--EXIT_B,E021:C10--EELBOW_EXIT_C,E022:EELBOW_EXIT_C--EXIT_C,E023:C15--EELBOW_EXIT_D,E024:EELBOW_EXIT_D--EXIT_D,E025:START_R01--DOOR_01,E026:DOOR_01--ELBOW_R01,E027:ELBOW_R01--C0,E028:START_R02--DOOR_02,E029:DOOR_02--ELBOW_R02,E030:ELBOW_R02--C1,E031:START_R03--DOOR_03,E032:DOOR_03--ELBOW_R03,E033:ELBOW_R03--C2,E034:START_R04--DOOR_04,E035:DOOR_04--ELBOW_R04,E036:ELBOW_R04--C3,E037:START_R05--DOOR_05,E038:DOOR_05--ELBOW_R05,E039:ELBOW_R05--C4,E040:START_R06--DOOR_06,E041:DOOR_06--ELBOW_R06,E042:ELBOW_R06--C5,E043:START_R07--DOOR_07,E044:DOOR_07--ELBOW_R07,E045:ELBOW_R07--C6,E046:START_R08--DOOR_08,E047:DOOR_08--ELBOW_R08,E048:ELBOW_R08--C7,E049:START_R09--DOOR_09,E050:DOOR_09--ELBOW_R09,E051:ELBOW_R09--C8,E052:START_R10--DOOR_10,E053:DOOR_10--ELBOW_R10,E054:ELBOW_R10--C9,E055:START_R11--DOOR_11,E056:DOOR_11--ELBOW_R11,E057:ELBOW_R11--C10,E058:START_R12--DOOR_12,E059:DOOR_12--ELBOW_R12,E060:ELBOW_R12--C11,E061:START_R13--DOOR_13,E062:DOOR_13--ELBOW_R13,E063:ELBOW_R13--C12,E064:START_R14--DOOR_14,E065:DOOR_14--ELBOW_R14,E066:ELBOW_R14--C13,E067:START_R15--DOOR_15,E068:DOOR_15--ELBOW_R15,E069:ELBOW_R15--C14,E070:START_R16--DOOR_16,E071:DOOR_16--ELBOW_R16,E072:ELBOW_R16--C15,E073:START_R17--DOOR_17,E074:DOOR_17--ELBOW_R17,E075:ELBOW_R17--C0,E076:START_R18--DOOR_18,E077:DOOR_18--ELBOW_R18,E078:ELBOW_R18--C1,E079:START_R19--DOOR_19,E080:DOOR_19--ELBOW_R19,E081:ELBOW_R19--C2,E082:START_R20--DOOR_20,E083:DOOR_20--ELBOW_R20,E084:ELBOW_R20--C3
R01__EXIT_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_B,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_C,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,0,0,0,0,18,18,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R01__EXIT_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_A,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_B,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_C,10,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,0,0,0,0,10,10,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R02__EXIT_D,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,10,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_A,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R03__EXIT_B,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
