edge_id,source,target,distance,capacity_units,edge_type
E001:C0--C1,C0,C1,1.0,3.0,navigation
E002:C1--C2,C1,C2,1.0,5.0,navigation
E003:C2--C3,C2,C3,1.0,3.0,navigation
E004:C3--C4,C3,C4,1.0,4.0,navigation
E005:C4--C5,C4,C5,1.0,3.0,navigation
E006:C5--C6,C5,C6,1.0,4.0,navigation
E007:C6--C7,C6,C7,1.0,4.0,navigation
E008:C7--C8,C7,C8,1.0,4.0,navigation
E009:C8--C9,C8,C9,1.0,5.0,navigation
E010:C9--C10,C9,C10,1.0,4.0,navigation
E011:C10--C11,C10,C11,1.0,3.0,navigation
E012:C11--C12,C11,C12,1.0,3.0,navigation
E013:C12--C13,C12,C13,1.0,4.0,navigation
E014:C13--C14,C13,C14,1.0,3.0,navigation
E015:C14--C15,C14,C15,1.0,4.0,navigation
E016:C15--C16,C15,C16,1.0,4.0,navigation
E017:C16--C17,C16,C17,1.0,5.0,navigation
E018:C17--C18,C17,C18,1.0,3.0,navigation
E019:C18--C19,C18,C19,1.0,5.0,navigation
E020:C19--C20,C19,C20,1.0,4.0,navigation
E021:C20--C21,C20,C21,1.0,4.0,navigation
E022:C21--C22,C21,C22,1.0,5.0,navigation
E023:C22--C23,C22,C23,1.0,3.0,navigation
E024:C23--C0,C23,C0,1.0,5.0,navigation
E025:C0--EXIT_A,C0,EXIT_A,1.0,4.0,exit
E026:C5--EXIT_B,C5,EXIT_B,1.0,5.0,exit
E027:C9--EXIT_C,C9,EXIT_C,1.0,4.0,exit
E028:C14--EXIT_D,C14,EXIT_D,1.0,4.0,exit
E029:C18--EXIT_E,C18,EXIT_E,1.0,4.0,exit
E030:C23--EXIT_F,C23,EXIT_F,1.0,6.0,exit
E031:START_R01--DOOR_01,START_R01,DOOR_01,1.0,2.0,room_start
E032:DOOR_01--C0,DOOR_01,C0,1.0,3.0,door_to_hallway
E033:START_R02--DOOR_02,START_R02,DOOR_02,1.0,2.0,room_start
E034:DOOR_02--C1,DOOR_02,C1,1.0,3.0,door_to_hallway
E035:START_R03--DOOR_03,START_R03,DOOR_03,1.0,2.0,room_start
E036:DOOR_03--C2,DOOR_03,C2,1.0,2.0,door_to_hallway
E037:START_R04--DOOR_04,START_R04,DOOR_04,1.0,3.0,room_start
E038:DOOR_04--C3,DOOR_04,C3,1.0,3.0,door_to_hallway
E039:START_R05--DOOR_05,START_R05,DOOR_05,1.0,2.0,room_start
E040:DOOR_05--C4,DOOR_05,C4,1.0,3.0,door_to_hallway
E041:START_R06--DOOR_06,START_R06,DOOR_06,1.0,2.0,room_start
E042:DOOR_06--C5,DOOR_06,C5,1.0,2.0,door_to_hallway
E043:START_R07--DOOR_07,START_R07,DOOR_07,1.0,3.0,room_start
E044:DOOR_07--C6,DOOR_07,C6,1.0,3.0,door_to_hallway
E045:START_R08--DOOR_08,START_R08,DOOR_08,1.0,2.0,room_start
E046:DOOR_08--C7,DOOR_08,C7,1.0,3.0,door_to_hallway
E047:START_R09--DOOR_09,START_R09,DOOR_09,1.0,2.0,room_start
E048:DOOR_09--C8,DOOR_09,C8,1.0,2.0,door_to_hallway
E049:START_R10--DOOR_10,START_R10,DOOR_10,1.0,3.0,room_start
E050:DOOR_10--C9,DOOR_10,C9,1.0,2.0,door_to_hallway
E051:START_R11--DOOR_11,START_R11,DOOR_11,1.0,3.0,room_start
E052:DOOR_11--C10,DOOR_11,C10,1.0,3.0,door_to_hallway
E053:START_R12--DOOR_12,START_R12,DOOR_12,1.0,2.0,room_start
E054:DOOR_12--C11,DOOR_12,C11,1.0,3.0,door_to_hallway
E055:START_R13--DOOR_13,START_R13,DOOR_13,1.0,3.0,room_start
E056:DOOR_13--C12,DOOR_13,C12,1.0,3.0,door_to_hallway
E057:START_R14--DOOR_14,START_R14,DOOR_14,1.0,3.0,room_start
